Queens Park Rangers,Millwall,Swansea City,West Bromwich Albion,Bolton Wanderers,Charlton Athletic,Middlesbrough,Watford,Blackburn Rovers,West Ham United,Burnley,Wolverhampton Wanderers,Birmingham City,Sheffield United,Cardiff City,Wrexham,Derby County,Lincoln City,Preston North End,Norwich City,Stoke City,Portsmouth,Bristol City,Southampton
20.0,2424.0,194.0,21.0,370.0,2.0,3307.0,8.0,3.0,114.0,101.0,94.0,90.0,174.0,94.0,189.0,302.0,24.0,4.0,345.0,4.0,0.0,17.0,2099.0
62.0,1940.0,321.0,82.0,620.0,11.0,2193.0,13.0,5.0,253.0,213.0,215.0,198.0,277.0,208.0,380.0,491.0,57.0,14.0,561.0,10.0,6.0,58.0,1812.0
124.0,1483.0,496.0,142.0,784.0,26.0,1327.0,34.0,15.0,351.0,289.0,287.0,351.0,412.0,321.0,534.0,596.0,109.0,26.0,664.0,22.0,10.0,87.0,1510.0
141.0,1058.0,592.0,212.0,845.0,46.0,907.0,66.0,28.0,390.0,388.0,370.0,416.0,563.0,447.0,631.0,736.0,160.0,42.0,741.0,30.0,13.0,132.0,1046.0
221.0,775.0,638.0,265.0,817.0,70.0,643.0,82.0,47.0,486.0,401.0,466.0,462.0,575.0,467.0,636.0,783.0,221.0,70.0,815.0,50.0,24.0,182.0,804.0
235.0,564.0,672.0,277.0,808.0,128.0,430.0,100.0,70.0,522.0,523.0,508.0,552.0,627.0,544.0,656.0,712.0,269.0,101.0,738.0,76.0,29.0,229.0,630.0
324.0,434.0,665.0,343.0,765.0,139.0,332.0,157.0,71.0,567.0,539.0,526.0,538.0,652.0,566.0,647.0,711.0,302.0,120.0,704.0,106.0,37.0,290.0,465.0
389.0,319.0,660.0,376.0,654.0,180.0,233.0,172.0,115.0,607.0,589.0,531.0,581.0,666.0,571.0,619.0,687.0,380.0,133.0,700.0,110.0,62.0,298.0,368.0
389.0,251.0,654.0,493.0,637.0,211.0,154.0,210.0,139.0,606.0,575.0,564.0,603.0,628.0,557.0,577.0,629.0,393.0,209.0,647.0,140.0,87.0,339.0,308.0
483.0,195.0,606.0,456.0,578.0,283.0,130.0,260.0,208.0,558.0,556.0,583.0,586.0,605.0,610.0,590.0,560.0,412.0,238.0,571.0,196.0,99.0,401.0,236.0
481.0,146.0,589.0,475.0,513.0,295.0,98.0,306.0,215.0,592.0,628.0,588.0,592.0,555.0,573.0,575.0,550.0,478.0,271.0,498.0,244.0,135.0,424.0,179.0
502.0,99.0,592.0,526.0,452.0,338.0,72.0,352.0,251.0,557.0,562.0,588.0,554.0,580.0,559.0,562.0,530.0,507.0,316.0,452.0,269.0,157.0,484.0,139.0
503.0,77.0,481.0,583.0,385.0,358.0,56.0,440.0,301.0,551.0,565.0,541.0,631.0,517.0,601.0,500.0,445.0,491.0,363.0,451.0,319.0,214.0,510.0,117.0
577.0,84.0,448.0,564.0,366.0,441.0,36.0,436.0,382.0,510.0,557.0,575.0,543.0,471.0,552.0,451.0,420.0,563.0,458.0,386.0,334.0,249.0,533.0,64.0
599.0,46.0,423.0,609.0,285.0,524.0,23.0,487.0,396.0,530.0,514.0,528.0,516.0,465.0,492.0,402.0,378.0,600.0,458.0,348.0,438.0,297.0,581.0,61.0
587.0,35.0,414.0,583.0,253.0,588.0,21.0,535.0,453.0,456.0,517.0,450.0,514.0,435.0,499.0,403.0,324.0,616.0,490.0,313.0,488.0,376.0,610.0,40.0
644.0,21.0,312.0,639.0,218.0,617.0,10.0,639.0,532.0,407.0,455.0,455.0,447.0,388.0,441.0,372.0,315.0,628.0,545.0,241.0,573.0,440.0,622.0,39.0
579.0,22.0,314.0,611.0,149.0,636.0,8.0,643.0,625.0,416.0,441.0,465.0,395.0,347.0,431.0,312.0,228.0,672.0,655.0,226.0,639.0,497.0,651.0,38.0
652.0,10.0,263.0,555.0,166.0,734.0,5.0,733.0,729.0,369.0,410.0,404.0,375.0,278.0,359.0,257.0,179.0,636.0,727.0,199.0,706.0,612.0,626.0,16.0
575.0,9.0,223.0,576.0,120.0,767.0,9.0,791.0,832.0,349.0,368.0,381.0,286.0,228.0,293.0,219.0,162.0,615.0,794.0,149.0,837.0,745.0,656.0,16.0
571.0,3.0,157.0,499.0,73.0,861.0,3.0,851.0,899.0,297.0,273.0,325.0,289.0,211.0,304.0,187.0,105.0,537.0,952.0,103.0,908.0,924.0,662.0,6.0
552.0,3.0,128.0,460.0,79.0,928.0,3.0,916.0,1061.0,230.0,232.0,249.0,243.0,162.0,222.0,134.0,74.0,531.0,949.0,87.0,1033.0,1140.0,580.0,4.0
483.0,2.0,94.0,387.0,48.0,983.0,0.0,857.0,1215.0,175.0,165.0,191.0,158.0,115.0,171.0,95.0,62.0,454.0,1028.0,42.0,1166.0,1574.0,534.0,1.0
307.0,0.0,64.0,266.0,15.0,834.0,0.0,912.0,1408.0,107.0,139.0,116.0,80.0,69.0,118.0,72.0,21.0,345.0,1037.0,19.0,1302.0,2273.0,494.0,2.0
