AZ Alkmaar,FC Groningen,Go Ahead Eagles,Fortuna Sittard,Ajax Amsterdam,PSV Eindhoven,Feyenoord Rotterdam,Heerenveen,Excelsior,NEC Nijmegen,Sparta Rotterdam,FC Twente,Telstar,FC Utrecht,PEC Zwolle,ADO Den Haag,Willem II,SC Cambuur
252.0,155.0,30.0,1.0,745.0,7344.0,621.0,47.0,0.0,429.0,0.0,365.0,0.0,11.0,0.0,0.0,0.0,0.0
928.0,606.0,197.0,2.0,1874.0,1593.0,1955.0,234.0,14.0,1227.0,0.0,1273.0,15.0,82.0,0.0,0.0,0.0,0.0
1216.0,827.0,359.0,17.0,1698.0,581.0,1714.0,448.0,64.0,1458.0,0.0,1425.0,49.0,144.0,0.0,0.0,0.0,0.0
1257.0,1083.0,527.0,37.0,1421.0,262.0,1447.0,622.0,102.0,1401.0,0.0,1457.0,86.0,298.0,0.0,0.0,0.0,0.0
1320.0,1107.0,729.0,68.0,1269.0,113.0,1211.0,793.0,140.0,1324.0,4.0,1342.0,157.0,423.0,0.0,0.0,0.0,0.0
1247.0,1268.0,909.0,115.0,982.0,57.0,1013.0,997.0,271.0,1140.0,12.0,1157.0,224.0,604.0,0.0,2.0,0.0,2.0
1076.0,1272.0,1156.0,202.0,737.0,29.0,748.0,1162.0,447.0,977.0,23.0,973.0,404.0,783.0,1.0,4.0,5.0,1.0
938.0,1139.0,1330.0,348.0,508.0,13.0,523.0,1274.0,645.0,773.0,57.0,744.0,589.0,1086.0,3.0,13.0,13.0,4.0
715.0,941.0,1354.0,551.0,368.0,4.0,370.0,1281.0,921.0,554.0,127.0,549.0,892.0,1306.0,10.0,30.0,16.0,11.0
497.0,714.0,1204.0,915.0,215.0,4.0,206.0,1145.0,1235.0,348.0,255.0,361.0,1269.0,1457.0,18.0,62.0,65.0,30.0
301.0,458.0,928.0,1282.0,107.0,0.0,110.0,903.0,1586.0,208.0,490.0,194.0,1625.0,1396.0,58.0,141.0,127.0,86.0
141.0,266.0,648.0,1713.0,53.0,0.0,62.0,557.0,1743.0,100.0,878.0,100.0,1636.0,1132.0,146.0,329.0,309.0,187.0
83.0,116.0,379.0,1952.0,13.0,0.0,15.0,338.0,1360.0,50.0,1466.0,42.0,1409.0,700.0,338.0,713.0,580.0,446.0
18.0,35.0,171.0,1316.0,7.0,0.0,5.0,134.0,779.0,10.0,2126.0,15.0,876.0,341.0,714.0,1310.0,1181.0,962.0
10.0,9.0,61.0,782.0,2.0,0.0,0.0,42.0,404.0,1.0,1868.0,3.0,443.0,144.0,1354.0,1798.0,1636.0,1443.0
1.0,4.0,12.0,411.0,0.0,0.0,0.0,19.0,194.0,0.0,1281.0,0.0,221.0,62.0,1876.0,2006.0,1945.0,1968.0
0.0,0.0,5.0,217.0,1.0,0.0,0.0,1.0,71.0,0.0,927.0,0.0,82.0,26.0,2417.0,1947.0,2078.0,2228.0
0.0,0.0,1.0,71.0,0.0,0.0,0.0,3.0,24.0,0.0,486.0,0.0,23.0,5.0,3065.0,1645.0,2045.0,2632.0
