AZ Alkmaar,PSV Eindhoven,Feyenoord Rotterdam,Ajax Amsterdam,Go Ahead Eagles,Fortuna Sittard,NEC Nijmegen,Excelsior,FC Twente,FC Groningen,Heerenveen,Sparta Rotterdam,Telstar,PEC Zwolle,Willem II,ADO Den Haag,FC Utrecht,SC Cambuur
381.0,8241.0,238.0,619.0,7.0,1.0,219.0,1.0,287.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
1816.0,1212.0,1384.0,2758.0,53.0,3.0,1268.0,11.0,1408.0,34.0,35.0,1.0,1.0,0.0,5.0,4.0,6.0,1.0
1970.0,358.0,1715.0,2233.0,149.0,13.0,1559.0,44.0,1746.0,96.0,77.0,1.0,7.0,0.0,10.0,7.0,13.0,2.0
1843.0,136.0,1797.0,1674.0,305.0,37.0,1775.0,104.0,1868.0,188.0,172.0,1.0,20.0,0.0,12.0,10.0,57.0,1.0
1549.0,38.0,1730.0,1201.0,625.0,70.0,1798.0,234.0,1730.0,434.0,382.0,7.0,52.0,0.0,19.0,22.0,105.0,4.0
1157.0,10.0,1485.0,824.0,991.0,181.0,1533.0,544.0,1445.0,743.0,639.0,14.0,121.0,1.0,28.0,32.0,237.0,15.0
621.0,2.0,826.0,389.0,1665.0,388.0,921.0,954.0,758.0,1268.0,1223.0,32.0,294.0,6.0,75.0,47.0,508.0,23.0
353.0,2.0,426.0,166.0,1613.0,718.0,473.0,1201.0,383.0,1588.0,1398.0,85.0,527.0,17.0,82.0,95.0,842.0,31.0
156.0,1.0,224.0,84.0,1412.0,960.0,230.0,1464.0,211.0,1485.0,1439.0,174.0,736.0,55.0,123.0,106.0,1100.0,40.0
97.0,0.0,91.0,34.0,1046.0,1224.0,123.0,1474.0,88.0,1315.0,1370.0,339.0,1011.0,126.0,165.0,141.0,1288.0,68.0
42.0,0.0,50.0,14.0,862.0,1442.0,64.0,1260.0,37.0,1067.0,1176.0,556.0,1258.0,220.0,212.0,194.0,1438.0,108.0
9.0,0.0,21.0,4.0,606.0,1531.0,26.0,1074.0,24.0,801.0,920.0,928.0,1521.0,414.0,277.0,253.0,1457.0,134.0
5.0,0.0,11.0,0.0,400.0,1500.0,8.0,822.0,10.0,524.0,570.0,1531.0,1635.0,785.0,380.0,342.0,1277.0,200.0
1.0,0.0,2.0,0.0,163.0,1012.0,2.0,485.0,5.0,311.0,364.0,2235.0,1403.0,1529.0,594.0,587.0,949.0,358.0
0.0,0.0,0.0,0.0,80.0,637.0,1.0,235.0,0.0,111.0,171.0,2164.0,864.0,2772.0,979.0,901.0,489.0,596.0
0.0,0.0,0.0,0.0,20.0,216.0,0.0,78.0,0.0,25.0,53.0,1345.0,418.0,2536.0,1882.0,1858.0,179.0,1390.0
0.0,0.0,0.0,0.0,3.0,58.0,0.0,14.0,0.0,9.0,9.0,509.0,118.0,1256.0,2673.0,2847.0,46.0,2458.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,78.0,14.0,283.0,2484.0,2553.0,7.0,4571.0
