AS Roma,Internazionale,AC Milan,Juventus,Atalanta,Lazio,Udinese,Como,Frosinone,Napoli,Sassuolo,Cagliari,Lecce,Torino,Bologna,Genoa,Parma,Monza,Venezia,Fiorentina
1968.0,6043.0,77.0,585.0,60.0,1.0,0.0,1195.0,12.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3094.0,2243.0,273.0,1477.0,262.0,10.0,5.0,2301.0,27.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2212.0,1036.0,634.0,2163.0,612.0,35.0,19.0,2560.0,44.0,667.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,3.0,0.0
1424.0,450.0,1135.0,2337.0,1148.0,122.0,79.0,1937.0,92.0,1241.0,16.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,3.0,0.0
729.0,160.0,1871.0,1603.0,1752.0,325.0,202.0,1088.0,145.0,1996.0,49.0,11.0,0.0,0.0,30.0,2.0,0.0,32.0,5.0,0.0
349.0,56.0,2183.0,1002.0,2066.0,686.0,425.0,553.0,201.0,2095.0,154.0,37.0,0.0,3.0,107.0,7.0,0.0,49.0,18.0,9.0
157.0,10.0,1799.0,546.0,1994.0,1294.0,972.0,263.0,362.0,1702.0,366.0,93.0,4.0,14.0,254.0,28.0,0.0,79.0,45.0,18.0
49.0,2.0,1038.0,202.0,1105.0,2132.0,1639.0,75.0,486.0,1037.0,835.0,269.0,22.0,65.0,645.0,109.0,5.0,149.0,66.0,70.0
13.0,0.0,529.0,57.0,570.0,1807.0,1944.0,21.0,580.0,509.0,1400.0,557.0,61.0,136.0,1053.0,251.0,29.0,190.0,116.0,177.0
4.0,0.0,252.0,18.0,253.0,1370.0,1584.0,5.0,617.0,219.0,1624.0,847.0,142.0,298.0,1453.0,522.0,63.0,284.0,132.0,313.0
1.0,0.0,134.0,9.0,92.0,962.0,1175.0,1.0,662.0,109.0,1557.0,1141.0,249.0,497.0,1516.0,736.0,134.0,316.0,214.0,495.0
0.0,0.0,50.0,1.0,48.0,542.0,775.0,1.0,689.0,40.0,1354.0,1335.0,478.0,724.0,1379.0,1009.0,263.0,356.0,243.0,713.0
0.0,0.0,15.0,0.0,23.0,339.0,526.0,0.0,666.0,16.0,970.0,1392.0,667.0,1021.0,1129.0,1164.0,375.0,411.0,287.0,999.0
0.0,0.0,4.0,0.0,12.0,191.0,291.0,0.0,630.0,5.0,601.0,1295.0,981.0,1182.0,890.0,1318.0,625.0,463.0,356.0,1156.0
0.0,0.0,3.0,0.0,2.0,98.0,175.0,0.0,716.0,0.0,477.0,1002.0,1217.0,1278.0,618.0,1237.0,922.0,499.0,436.0,1320.0
0.0,0.0,2.0,0.0,1.0,49.0,112.0,0.0,711.0,0.0,282.0,789.0,1494.0,1281.0,417.0,1218.0,1217.0,596.0,495.0,1336.0
0.0,0.0,0.0,0.0,0.0,26.0,50.0,0.0,789.0,0.0,176.0,633.0,1577.0,1283.0,248.0,1030.0,1613.0,715.0,648.0,1212.0
0.0,0.0,1.0,0.0,0.0,5.0,23.0,0.0,860.0,0.0,88.0,368.0,1543.0,1151.0,157.0,749.0,1986.0,990.0,963.0,1116.0
0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,945.0,0.0,43.0,169.0,1126.0,774.0,68.0,467.0,1859.0,1875.0,1883.0,782.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,766.0,0.0,6.0,62.0,439.0,293.0,24.0,153.0,909.0,2976.0,4087.0,284.0
