FC Porto,Sporting CP,Arouca,Santa Clara,Benfica,Gil Vicente,Maritimo,Estrela,Braga,Moreirense,C.D. Nacional,Vitória de Guimaraes,Rio Ave,FC Famalicao,Académico de Viseu,Alverca,Estoril,Casa Pia
4959.0,3386.0,0.0,0.0,1631.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3222.0,3830.0,1.0,0.0,2847.0,4.0,1.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1689.0,2627.0,4.0,0.0,4930.0,56.0,26.0,1.0,661.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0
123.0,150.0,291.0,127.0,553.0,1492.0,249.0,25.0,6624.0,3.0,20.0,9.0,0.0,265.0,60.0,2.0,7.0,0.0
6.0,6.0,1298.0,712.0,37.0,3713.0,525.0,181.0,1746.0,49.0,165.0,78.0,1.0,1236.0,152.0,9.0,86.0,0.0
1.0,1.0,1857.0,1236.0,1.0,2012.0,646.0,432.0,530.0,146.0,448.0,202.0,21.0,1978.0,236.0,38.0,215.0,0.0
0.0,0.0,1734.0,1568.0,1.0,1139.0,659.0,718.0,188.0,287.0,747.0,374.0,48.0,1822.0,262.0,86.0,367.0,0.0
0.0,0.0,1411.0,1561.0,0.0,694.0,643.0,933.0,89.0,449.0,1027.0,556.0,128.0,1462.0,307.0,168.0,572.0,0.0
0.0,0.0,1133.0,1300.0,0.0,394.0,685.0,1124.0,26.0,636.0,1144.0,755.0,204.0,1087.0,361.0,301.0,847.0,3.0
0.0,0.0,806.0,1050.0,0.0,231.0,620.0,1209.0,12.0,854.0,1241.0,1004.0,300.0,781.0,429.0,472.0,982.0,9.0
0.0,0.0,575.0,865.0,0.0,136.0,703.0,1207.0,3.0,986.0,1221.0,1039.0,503.0,527.0,466.0,696.0,1058.0,15.0
0.0,0.0,341.0,645.0,0.0,71.0,699.0,1120.0,2.0,1187.0,1154.0,1233.0,638.0,389.0,508.0,845.0,1130.0,38.0
0.0,0.0,240.0,423.0,0.0,31.0,693.0,1008.0,0.0,1298.0,912.0,1318.0,880.0,226.0,591.0,1106.0,1193.0,81.0
0.0,0.0,161.0,281.0,0.0,13.0,725.0,866.0,0.0,1310.0,835.0,1132.0,1169.0,127.0,726.0,1349.0,1127.0,179.0
0.0,0.0,97.0,140.0,0.0,11.0,810.0,583.0,0.0,1161.0,574.0,1020.0,1641.0,54.0,888.0,1626.0,1054.0,341.0
0.0,0.0,34.0,65.0,0.0,2.0,945.0,371.0,0.0,934.0,336.0,750.0,1994.0,33.0,1243.0,1638.0,786.0,869.0
0.0,0.0,15.0,21.0,0.0,0.0,875.0,191.0,0.0,556.0,146.0,433.0,1864.0,6.0,1859.0,1267.0,467.0,2300.0
0.0,0.0,2.0,6.0,0.0,1.0,496.0,31.0,0.0,144.0,30.0,97.0,609.0,2.0,1911.0,397.0,109.0,6165.0
