Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Coritiba,Atlético-MG,Red Bull Bragantino,Corinthians,São Paulo,Botafogo,Vitória,Santos,Grêmio,Mirassol,Vasco da Gama,Internacional,Remo,Chapecoense
3922.0,6068.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5927.0,3853.0,116.0,81.0,4.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.0,75.0,4224.0,3298.0,536.0,1229.0,32.0,348.0,55.0,4.0,8.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,3.0,2716.0,2989.0,1099.0,1790.0,138.0,783.0,225.0,14.0,39.0,179.0,0.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0
1.0,1.0,1446.0,1820.0,1796.0,2119.0,301.0,1371.0,483.0,76.0,93.0,459.0,4.0,16.0,7.0,7.0,0.0,0.0,0.0,0.0
0.0,0.0,776.0,915.0,1967.0,1760.0,608.0,1781.0,828.0,181.0,224.0,819.0,10.0,63.0,34.0,30.0,3.0,1.0,0.0,0.0
0.0,0.0,402.0,494.0,1662.0,1289.0,922.0,1752.0,1215.0,374.0,409.0,1167.0,25.0,98.0,93.0,87.0,10.0,1.0,0.0,0.0
0.0,0.0,191.0,236.0,1169.0,843.0,1278.0,1389.0,1503.0,708.0,678.0,1373.0,52.0,227.0,174.0,141.0,23.0,15.0,0.0,0.0
0.0,0.0,79.0,94.0,783.0,477.0,1442.0,1031.0,1538.0,1031.0,957.0,1436.0,118.0,360.0,298.0,257.0,61.0,37.0,1.0,0.0
0.0,0.0,33.0,43.0,467.0,257.0,1493.0,645.0,1353.0,1285.0,1232.0,1298.0,239.0,543.0,498.0,446.0,94.0,69.0,5.0,0.0
0.0,0.0,7.0,14.0,282.0,132.0,1329.0,430.0,1061.0,1458.0,1361.0,1025.0,354.0,837.0,753.0,622.0,168.0,154.0,13.0,0.0
0.0,0.0,2.0,8.0,138.0,63.0,974.0,231.0,714.0,1441.0,1427.0,841.0,549.0,1094.0,1004.0,904.0,312.0,272.0,26.0,0.0
0.0,0.0,3.0,2.0,58.0,16.0,665.0,116.0,500.0,1229.0,1193.0,620.0,793.0,1333.0,1313.0,1145.0,476.0,485.0,53.0,0.0
0.0,0.0,0.0,0.0,27.0,6.0,408.0,82.0,266.0,885.0,899.0,365.0,1146.0,1440.0,1474.0,1411.0,755.0,697.0,137.0,2.0
0.0,0.0,0.0,1.0,6.0,3.0,243.0,27.0,124.0,637.0,656.0,204.0,1416.0,1350.0,1403.0,1499.0,1142.0,1067.0,222.0,0.0
0.0,0.0,0.0,0.0,5.0,0.0,110.0,6.0,89.0,381.0,456.0,104.0,1535.0,1115.0,1207.0,1348.0,1576.0,1577.0,491.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,47.0,4.0,38.0,198.0,241.0,35.0,1668.0,808.0,918.0,1103.0,1961.0,1954.0,1011.0,12.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7.0,81.0,96.0,18.0,1430.0,522.0,587.0,771.0,2151.0,2294.0,1993.0,41.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,17.0,31.0,3.0,655.0,184.0,229.0,223.0,1234.0,1343.0,5766.0,313.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,4.0,34.0,34.0,282.0,9632.0
