Barcelona,Real Madrid,Atlético Madrid,Alavés,Osasuna,Sevilla,Real Betis,Deportivo La Coruña,Levante,Racing Santander,Espanyol,Athletic Club,Real Sociedad,Getafe,Villarreal,Valencia,Celta Vigo,Rayo Vallecano,Elche,Málaga
7713.0,2254.0,17.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
2215.0,7143.0,324.0,0.0,3.0,0.0,50.0,31.0,0.0,28.0,0.0,0.0,0.0,0.0,201.0,0.0,1.0,0.0,0.0,4.0
67.0,511.0,4223.0,128.0,170.0,30.0,1207.0,321.0,25.0,215.0,12.0,2.0,100.0,7.0,2845.0,3.0,74.0,21.0,3.0,36.0
5.0,77.0,2651.0,391.0,510.0,95.0,1915.0,342.0,116.0,260.0,57.0,16.0,267.0,38.0,2852.0,22.0,227.0,74.0,24.0,61.0
0.0,12.0,1398.0,813.0,894.0,275.0,2128.0,383.0,231.0,349.0,155.0,60.0,521.0,95.0,1835.0,74.0,444.0,202.0,48.0,83.0
0.0,3.0,667.0,1123.0,1167.0,436.0,1458.0,432.0,431.0,332.0,273.0,122.0,884.0,213.0,1017.0,158.0,698.0,373.0,100.0,113.0
0.0,0.0,333.0,1165.0,1233.0,674.0,985.0,419.0,572.0,317.0,376.0,206.0,966.0,299.0,542.0,259.0,870.0,508.0,161.0,115.0
0.0,0.0,155.0,1077.0,1129.0,679.0,707.0,419.0,741.0,319.0,463.0,313.0,983.0,463.0,272.0,320.0,952.0,633.0,242.0,133.0
0.0,0.0,80.0,968.0,977.0,761.0,467.0,380.0,845.0,315.0,563.0,428.0,968.0,500.0,178.0,462.0,887.0,755.0,342.0,124.0
0.0,0.0,56.0,871.0,865.0,826.0,352.0,373.0,797.0,368.0,687.0,445.0,893.0,596.0,106.0,535.0,881.0,769.0,436.0,144.0
0.0,0.0,38.0,686.0,699.0,872.0,283.0,368.0,821.0,362.0,768.0,564.0,855.0,660.0,63.0,624.0,817.0,846.0,511.0,163.0
0.0,0.0,26.0,630.0,554.0,889.0,161.0,378.0,858.0,354.0,849.0,635.0,730.0,790.0,33.0,701.0,786.0,832.0,614.0,180.0
0.0,0.0,19.0,574.0,487.0,833.0,110.0,385.0,834.0,377.0,833.0,764.0,624.0,840.0,19.0,823.0,774.0,822.0,675.0,207.0
0.0,0.0,3.0,462.0,401.0,800.0,73.0,412.0,789.0,385.0,871.0,870.0,582.0,928.0,16.0,881.0,686.0,836.0,762.0,243.0
0.0,0.0,7.0,395.0,326.0,710.0,52.0,474.0,765.0,456.0,895.0,931.0,514.0,950.0,7.0,935.0,552.0,783.0,973.0,275.0
0.0,0.0,1.0,256.0,252.0,685.0,27.0,533.0,691.0,536.0,895.0,1039.0,399.0,998.0,3.0,1056.0,479.0,750.0,1066.0,334.0
0.0,0.0,2.0,230.0,162.0,559.0,13.0,674.0,583.0,641.0,828.0,1157.0,301.0,966.0,1.0,1076.0,379.0,731.0,1236.0,461.0
0.0,0.0,0.0,147.0,107.0,492.0,8.0,876.0,486.0,1004.0,748.0,1129.0,232.0,807.0,2.0,997.0,281.0,553.0,1392.0,739.0
0.0,0.0,0.0,68.0,47.0,296.0,3.0,1463.0,313.0,1651.0,515.0,924.0,140.0,613.0,1.0,802.0,164.0,386.0,1012.0,1602.0
0.0,0.0,0.0,16.0,17.0,88.0,0.0,1331.0,102.0,1729.0,212.0,395.0,41.0,237.0,0.0,272.0,48.0,126.0,403.0,4983.0
