Manchester City,Arsenal,Hull City,Chelsea,Brentford,Newcastle United,Everton,Leeds United,Brighton & Hove Albion,Manchester United,Sunderland,Ipswich Town,Liverpool,AFC Bournemouth,Nottingham Forest,Fulham,Coventry City,Crystal Palace,Aston Villa,Tottenham Hotspur
3891.0,5979.0,41.0,13.0,3.0,0.0,0.0,0.0,9.0,47.0,0.0,11.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5298.0,3655.0,143.0,62.0,69.0,15.0,12.0,9.0,109.0,481.0,0.0,45.0,65.0,24.0,5.0,0.0,6.0,0.0,2.0,0.0
632.0,301.0,546.0,1011.0,874.0,298.0,199.0,165.0,1157.0,3138.0,26.0,181.0,767.0,363.0,156.0,12.0,39.0,0.0,134.0,1.0
118.0,50.0,405.0,1232.0,1165.0,554.0,403.0,304.0,1366.0,1987.0,83.0,161.0,1045.0,559.0,251.0,45.0,42.0,2.0,227.0,1.0
42.0,11.0,358.0,1221.0,1150.0,659.0,560.0,417.0,1340.0,1304.0,154.0,171.0,1097.0,644.0,387.0,82.0,40.0,1.0,352.0,10.0
11.0,1.0,398.0,1083.0,1111.0,790.0,630.0,548.0,1135.0,890.0,235.0,147.0,1051.0,828.0,477.0,141.0,62.0,18.0,435.0,9.0
5.0,2.0,388.0,982.0,1037.0,817.0,743.0,641.0,1000.0,632.0,298.0,177.0,1013.0,818.0,585.0,212.0,58.0,17.0,553.0,22.0
2.0,1.0,389.0,873.0,927.0,918.0,806.0,721.0,854.0,457.0,352.0,160.0,971.0,845.0,689.0,281.0,81.0,33.0,598.0,42.0
0.0,0.0,367.0,771.0,798.0,837.0,886.0,841.0,703.0,359.0,489.0,178.0,821.0,920.0,735.0,367.0,79.0,56.0,727.0,66.0
1.0,0.0,403.0,702.0,668.0,852.0,904.0,861.0,597.0,258.0,596.0,223.0,726.0,856.0,796.0,484.0,72.0,89.0,799.0,113.0
0.0,0.0,370.0,562.0,568.0,836.0,911.0,950.0,514.0,173.0,718.0,213.0,637.0,844.0,907.0,552.0,98.0,117.0,872.0,158.0
0.0,0.0,422.0,468.0,469.0,812.0,937.0,822.0,392.0,119.0,827.0,289.0,551.0,843.0,885.0,685.0,131.0,203.0,913.0,232.0
0.0,0.0,469.0,344.0,396.0,731.0,765.0,906.0,291.0,65.0,998.0,329.0,380.0,699.0,962.0,954.0,182.0,287.0,917.0,325.0
0.0,0.0,504.0,245.0,264.0,646.0,739.0,857.0,209.0,47.0,1090.0,394.0,339.0,590.0,905.0,1064.0,220.0,476.0,912.0,499.0
0.0,0.0,622.0,209.0,230.0,483.0,572.0,719.0,156.0,26.0,1215.0,486.0,224.0,478.0,762.0,1207.0,292.0,669.0,821.0,829.0
0.0,0.0,718.0,114.0,132.0,370.0,460.0,557.0,100.0,11.0,1135.0,603.0,154.0,334.0,651.0,1298.0,428.0,1125.0,688.0,1122.0
0.0,0.0,801.0,70.0,82.0,233.0,254.0,384.0,40.0,4.0,887.0,859.0,83.0,206.0,431.0,1126.0,596.0,1708.0,537.0,1699.0
0.0,0.0,932.0,26.0,43.0,106.0,143.0,194.0,21.0,2.0,542.0,1168.0,60.0,99.0,285.0,854.0,949.0,2210.0,329.0,2037.0
0.0,0.0,1045.0,10.0,9.0,30.0,58.0,87.0,5.0,0.0,274.0,1867.0,12.0,42.0,108.0,485.0,1773.0,2097.0,146.0,1952.0
0.0,0.0,679.0,2.0,5.0,13.0,18.0,17.0,2.0,0.0,81.0,2338.0,0.0,6.0,23.0,151.0,4852.0,892.0,38.0,883.0
