Bayern Munich,SC Freiburg,FC Augsburg,RB Leipzig,Borussia Dortmund,SV Elversberg,FC Cologne,Eintracht Frankfurt,1. FC Union Berlin,Mainz,SC Paderborn 07,Bayer Leverkusen,TSG Hoffenheim,Hamburg SV,Werder Bremen,Borussia Mönchengladbach,Schalke 04,VfB Stuttgart
9457.0,0.0,0.0,25.0,488.0,17.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0
522.0,30.0,4.0,1262.0,7069.0,160.0,0.0,8.0,0.0,2.0,33.0,396.0,74.0,0.0,0.0,0.0,8.0,432.0
16.0,196.0,42.0,3466.0,1639.0,337.0,19.0,81.0,6.0,33.0,120.0,1759.0,513.0,2.0,0.0,7.0,31.0,1733.0
5.0,506.0,129.0,2305.0,528.0,375.0,52.0,240.0,40.0,103.0,149.0,2215.0,1056.0,14.0,0.0,25.0,64.0,2194.0
0.0,841.0,262.0,1346.0,202.0,427.0,177.0,508.0,103.0,241.0,187.0,1990.0,1497.0,38.0,4.0,75.0,71.0,2031.0
0.0,1160.0,490.0,813.0,41.0,491.0,351.0,770.0,218.0,481.0,256.0,1442.0,1687.0,120.0,9.0,144.0,100.0,1427.0
0.0,1388.0,725.0,378.0,22.0,528.0,564.0,1119.0,321.0,693.0,292.0,858.0,1570.0,210.0,24.0,285.0,141.0,882.0
0.0,1384.0,912.0,195.0,10.0,497.0,750.0,1235.0,539.0,854.0,305.0,537.0,1164.0,362.0,53.0,478.0,157.0,568.0
0.0,1258.0,1085.0,104.0,1.0,484.0,943.0,1255.0,687.0,1011.0,344.0,344.0,756.0,487.0,93.0,649.0,176.0,323.0
0.0,956.0,1134.0,51.0,0.0,489.0,1131.0,1116.0,899.0,1115.0,351.0,208.0,601.0,672.0,159.0,763.0,191.0,164.0
0.0,673.0,1128.0,27.0,0.0,523.0,1114.0,1018.0,1055.0,1154.0,440.0,114.0,418.0,836.0,210.0,943.0,246.0,101.0
0.0,574.0,1038.0,15.0,0.0,519.0,1155.0,843.0,1208.0,1138.0,470.0,63.0,260.0,980.0,346.0,1052.0,272.0,67.0
0.0,409.0,952.0,10.0,0.0,553.0,1099.0,666.0,1210.0,954.0,511.0,36.0,182.0,1218.0,597.0,1217.0,354.0,32.0
0.0,289.0,784.0,1.0,0.0,657.0,962.0,494.0,1198.0,860.0,634.0,24.0,124.0,1378.0,891.0,1269.0,412.0,23.0
0.0,175.0,648.0,1.0,0.0,769.0,763.0,323.0,1074.0,678.0,786.0,9.0,63.0,1420.0,1422.0,1233.0,623.0,13.0
0.0,109.0,429.0,1.0,0.0,951.0,542.0,212.0,810.0,422.0,1106.0,2.0,26.0,1210.0,2192.0,1031.0,955.0,2.0
0.0,48.0,185.0,0.0,0.0,1116.0,293.0,90.0,476.0,222.0,1812.0,0.0,7.0,769.0,2573.0,611.0,1798.0,0.0
0.0,4.0,53.0,0.0,0.0,1107.0,85.0,22.0,156.0,39.0,2203.0,0.0,1.0,284.0,1427.0,218.0,4401.0,0.0
