Charlton Athletic,Wolverhampton Wanderers,Swansea City,Queens Park Rangers,Middlesbrough,Millwall,West Bromwich Albion,Birmingham City,Watford,Blackburn Rovers,Bolton Wanderers,Bristol City,Cardiff City,Sheffield United,Portsmouth,Norwich City,Lincoln City,Southampton,West Ham United,Wrexham,Derby County,Burnley,Preston North End,Stoke City
7.0,4074.0,108.0,12.0,951.0,501.0,10.0,34.0,2.0,0.0,46.0,9.0,88.0,31.0,0.0,69.0,36.0,1742.0,1426.0,19.0,13.0,822.0,0.0,0.0
26.0,1412.0,347.0,36.0,1651.0,1164.0,33.0,118.0,7.0,4.0,82.0,42.0,103.0,102.0,1.0,254.0,75.0,2543.0,1124.0,43.0,57.0,776.0,0.0,0.0
57.0,808.0,578.0,81.0,1896.0,1513.0,81.0,241.0,13.0,12.0,88.0,87.0,128.0,202.0,7.0,423.0,97.0,1949.0,806.0,125.0,122.0,684.0,1.0,1.0
121.0,641.0,779.0,183.0,1556.0,1529.0,147.0,421.0,35.0,18.0,107.0,159.0,171.0,312.0,13.0,662.0,86.0,1396.0,680.0,211.0,201.0,564.0,2.0,6.0
221.0,468.0,953.0,262.0,1210.0,1322.0,251.0,570.0,69.0,42.0,144.0,264.0,161.0,509.0,32.0,792.0,116.0,865.0,617.0,294.0,319.0,505.0,6.0,8.0
317.0,390.0,1023.0,338.0,856.0,1062.0,313.0,733.0,101.0,75.0,131.0,349.0,177.0,617.0,50.0,911.0,125.0,539.0,507.0,433.0,443.0,471.0,17.0,22.0
413.0,290.0,974.0,407.0,565.0,781.0,457.0,787.0,183.0,126.0,154.0,431.0,185.0,749.0,80.0,946.0,134.0,391.0,454.0,522.0,532.0,373.0,37.0,29.0
492.0,242.0,927.0,513.0,423.0,558.0,582.0,850.0,235.0,190.0,154.0,491.0,177.0,759.0,116.0,882.0,152.0,210.0,403.0,623.0,570.0,357.0,49.0,45.0
585.0,224.0,838.0,561.0,285.0,438.0,628.0,855.0,281.0,211.0,157.0,601.0,176.0,773.0,147.0,829.0,145.0,133.0,340.0,622.0,676.0,354.0,65.0,76.0
639.0,180.0,657.0,693.0,203.0,308.0,668.0,785.0,324.0,291.0,171.0,610.0,199.0,769.0,212.0,794.0,141.0,96.0,291.0,690.0,731.0,318.0,113.0,117.0
733.0,165.0,596.0,670.0,117.0,251.0,673.0,747.0,428.0,346.0,191.0,706.0,196.0,704.0,261.0,650.0,179.0,54.0,299.0,738.0,733.0,316.0,123.0,124.0
737.0,143.0,520.0,730.0,110.0,175.0,705.0,680.0,512.0,411.0,220.0,699.0,224.0,703.0,352.0,578.0,158.0,34.0,278.0,668.0,682.0,288.0,209.0,184.0
704.0,128.0,403.0,703.0,70.0,139.0,697.0,632.0,598.0,475.0,214.0,674.0,239.0,664.0,381.0,515.0,194.0,18.0,282.0,741.0,695.0,336.0,254.0,244.0
770.0,113.0,335.0,716.0,36.0,79.0,746.0,569.0,666.0,598.0,262.0,708.0,268.0,595.0,474.0,385.0,208.0,11.0,236.0,719.0,692.0,252.0,304.0,258.0
771.0,101.0,249.0,697.0,26.0,65.0,730.0,500.0,698.0,644.0,256.0,700.0,266.0,539.0,576.0,338.0,214.0,8.0,235.0,631.0,670.0,306.0,399.0,381.0
679.0,95.0,224.0,715.0,17.0,42.0,645.0,368.0,740.0,786.0,298.0,675.0,305.0,464.0,698.0,288.0,252.0,6.0,244.0,586.0,627.0,292.0,512.0,442.0
609.0,80.0,162.0,662.0,14.0,34.0,620.0,316.0,819.0,799.0,317.0,620.0,334.0,434.0,772.0,232.0,320.0,3.0,223.0,573.0,582.0,292.0,599.0,584.0
585.0,93.0,110.0,556.0,7.0,21.0,541.0,283.0,829.0,907.0,389.0,622.0,353.0,308.0,892.0,161.0,351.0,1.0,216.0,472.0,475.0,317.0,789.0,722.0
537.0,83.0,105.0,474.0,1.0,10.0,461.0,183.0,836.0,998.0,436.0,495.0,415.0,281.0,963.0,113.0,417.0,1.0,213.0,449.0,413.0,296.0,935.0,885.0
389.0,81.0,58.0,382.0,3.0,4.0,401.0,154.0,891.0,889.0,538.0,384.0,478.0,202.0,1061.0,81.0,484.0,0.0,219.0,349.0,279.0,337.0,1230.0,1106.0
283.0,57.0,29.0,296.0,3.0,3.0,308.0,91.0,724.0,875.0,690.0,337.0,669.0,141.0,1047.0,51.0,651.0,0.0,245.0,220.0,244.0,394.0,1269.0,1373.0
195.0,51.0,19.0,191.0,0.0,1.0,181.0,61.0,552.0,664.0,1036.0,211.0,938.0,91.0,977.0,28.0,954.0,0.0,253.0,161.0,146.0,441.0,1389.0,1460.0
105.0,58.0,4.0,99.0,0.0,0.0,98.0,17.0,353.0,456.0,1663.0,99.0,1515.0,41.0,631.0,16.0,1616.0,0.0,232.0,85.0,75.0,464.0,1134.0,1239.0
25.0,23.0,2.0,23.0,0.0,0.0,24.0,5.0,104.0,183.0,2256.0,27.0,2235.0,10.0,257.0,2.0,2895.0,0.0,177.0,26.0,23.0,445.0,564.0,694.0
