Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Grêmio,Cruzeiro,Vitória,Corinthians,Atlético-MG,Internacional,Santos,Remo,Mirassol,Chapecoense
471.0,507.0,16.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428.0,398.0,110.0,29.0,27.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.0,74.0,423.0,197.0,109.0,80.0,7.0,10.0,10.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17.0,17.0,230.0,250.0,190.0,164.0,27.0,22.0,37.0,7.0,17.0,10.0,1.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0
0.0,3.0,109.0,217.0,236.0,189.0,54.0,49.0,44.0,20.0,32.0,19.0,8.0,5.0,2.0,8.0,4.0,1.0,0.0,0.0
0.0,1.0,66.0,125.0,161.0,170.0,85.0,99.0,95.0,44.0,50.0,35.0,8.0,16.0,6.0,24.0,14.0,0.0,1.0,0.0
1.0,0.0,27.0,79.0,114.0,109.0,104.0,102.0,100.0,72.0,96.0,57.0,29.0,38.0,9.0,33.0,29.0,0.0,1.0,0.0
0.0,0.0,11.0,44.0,46.0,98.0,105.0,123.0,121.0,78.0,101.0,70.0,42.0,43.0,20.0,57.0,39.0,1.0,1.0,0.0
0.0,0.0,3.0,27.0,41.0,62.0,111.0,118.0,114.0,103.0,91.0,69.0,42.0,47.0,27.0,83.0,53.0,1.0,8.0,0.0
0.0,0.0,2.0,13.0,30.0,51.0,116.0,90.0,84.0,100.0,114.0,93.0,71.0,56.0,33.0,73.0,60.0,10.0,4.0,0.0
0.0,0.0,3.0,6.0,18.0,21.0,106.0,99.0,100.0,105.0,89.0,84.0,78.0,92.0,37.0,74.0,68.0,7.0,13.0,0.0
0.0,0.0,0.0,7.0,11.0,13.0,81.0,78.0,67.0,103.0,82.0,107.0,88.0,94.0,61.0,94.0,88.0,12.0,13.0,1.0
0.0,0.0,0.0,1.0,1.0,17.0,68.0,63.0,63.0,90.0,85.0,97.0,89.0,97.0,74.0,100.0,96.0,26.0,32.0,1.0
0.0,0.0,0.0,2.0,7.0,8.0,47.0,56.0,54.0,82.0,74.0,92.0,106.0,112.0,75.0,92.0,111.0,33.0,47.0,2.0
0.0,0.0,0.0,1.0,2.0,7.0,38.0,36.0,38.0,71.0,57.0,89.0,101.0,123.0,122.0,103.0,105.0,47.0,57.0,3.0
0.0,0.0,0.0,0.0,2.0,3.0,19.0,23.0,34.0,49.0,52.0,71.0,120.0,103.0,151.0,98.0,111.0,87.0,72.0,5.0
0.0,0.0,0.0,0.0,0.0,1.0,22.0,18.0,17.0,42.0,28.0,56.0,99.0,81.0,159.0,83.0,114.0,138.0,136.0,6.0
0.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,17.0,20.0,23.0,36.0,70.0,61.0,129.0,47.0,69.0,223.0,250.0,38.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,8.0,8.0,13.0,38.0,28.0,83.0,26.0,31.0,331.0,287.0,135.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,0.0,10.0,2.0,5.0,83.0,78.0,809.0
