Arsenal,Manchester City,Manchester United,Liverpool,Aston Villa,Brentford,Brighton & Hove Albion,AFC Bournemouth,Chelsea,Fulham,Everton,Sunderland,Newcastle United,Crystal Palace,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
756.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,754.0,153.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,205.0,458.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,41.0,380.0,554.0,1.0,13.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,8.0,15.0,161.0,306.0,173.0,257.0,43.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,203.0,243.0,188.0,195.0,85.0,66.0,8.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,230.0,165.0,179.0,181.0,110.0,91.0,20.0,17.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,190.0,133.0,154.0,146.0,141.0,148.0,39.0,36.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,128.0,81.0,149.0,96.0,170.0,207.0,54.0,83.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,65.0,38.0,85.0,56.0,189.0,229.0,122.0,163.0,31.0,21.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,18.0,17.0,39.0,43.0,162.0,107.0,249.0,204.0,98.0,52.0,11.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,3.0,26.0,13.0,74.0,72.0,264.0,240.0,136.0,140.0,28.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,21.0,39.0,163.0,171.0,294.0,243.0,59.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,73.0,71.0,299.0,376.0,156.0,5.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,89.0,158.0,628.0,46.0,62.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,100.0,418.0,477.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,530.0,453.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.0,249.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,751.0
