AS Monaco,Paris FC,Lyon,Lille,Stade Rennais,Strasbourg,Brest,Lorient,Troyes,Marseille,Lens,Angers,Paris Saint-Germain,Le Mans,Nice,Le Havre AC,Toulouse,AJ Auxerre
1389.0,428.0,1099.0,1364.0,704.0,608.0,29.0,81.0,0.0,325.0,1295.0,3.0,2658.0,0.0,1.0,2.0,12.0,2.0
1438.0,561.0,1086.0,1445.0,880.0,772.0,71.0,155.0,0.0,480.0,1244.0,10.0,1811.0,1.0,1.0,7.0,32.0,6.0
1265.0,723.0,1132.0,1308.0,995.0,834.0,98.0,253.0,1.0,634.0,1205.0,14.0,1427.0,2.0,4.0,18.0,71.0,16.0
1154.0,817.0,1086.0,1244.0,983.0,928.0,193.0,337.0,5.0,792.0,1155.0,30.0,1092.0,5.0,6.0,23.0,123.0,27.0
1021.0,889.0,1089.0,1089.0,1015.0,1025.0,297.0,433.0,4.0,841.0,1072.0,52.0,869.0,10.0,14.0,57.0,184.0,39.0
875.0,1035.0,933.0,899.0,1044.0,988.0,382.0,618.0,6.0,949.0,1034.0,73.0,640.0,16.0,30.0,100.0,299.0,79.0
801.0,1043.0,930.0,791.0,975.0,1052.0,484.0,711.0,20.0,1025.0,806.0,130.0,482.0,29.0,55.0,161.0,384.0,121.0
685.0,996.0,777.0,607.0,898.0,950.0,673.0,912.0,26.0,1063.0,676.0,210.0,385.0,59.0,90.0,255.0,520.0,218.0
485.0,936.0,653.0,455.0,777.0,867.0,842.0,1075.0,58.0,1004.0,552.0,335.0,261.0,104.0,144.0,401.0,717.0,334.0
340.0,813.0,506.0,345.0,618.0,690.0,1068.0,1157.0,136.0,895.0,371.0,481.0,175.0,168.0,252.0,586.0,899.0,500.0
247.0,627.0,309.0,205.0,442.0,532.0,1264.0,1150.0,188.0,696.0,261.0,763.0,95.0,298.0,410.0,802.0,1057.0,654.0
154.0,430.0,171.0,119.0,315.0,343.0,1137.0,1053.0,350.0,505.0,165.0,960.0,58.0,492.0,615.0,1050.0,1203.0,880.0
70.0,320.0,104.0,71.0,160.0,197.0,1093.0,738.0,531.0,357.0,88.0,1185.0,29.0,701.0,863.0,1194.0,1189.0,1110.0
45.0,190.0,72.0,35.0,114.0,109.0,867.0,566.0,765.0,212.0,45.0,1303.0,12.0,995.0,1074.0,1307.0,1037.0,1252.0
17.0,112.0,29.0,17.0,42.0,58.0,656.0,372.0,1121.0,137.0,17.0,1386.0,4.0,1309.0,1347.0,1247.0,874.0,1255.0
9.0,48.0,18.0,2.0,23.0,32.0,432.0,223.0,1515.0,50.0,10.0,1251.0,1.0,1660.0,1578.0,1167.0,680.0,1301.0
4.0,29.0,3.0,3.0,11.0,13.0,288.0,120.0,2085.0,29.0,2.0,1045.0,0.0,1967.0,1775.0,947.0,478.0,1201.0
1.0,3.0,3.0,1.0,4.0,2.0,126.0,46.0,3189.0,6.0,2.0,769.0,1.0,2184.0,1741.0,676.0,241.0,1005.0
