Manchester City,Arsenal,Hull City,Chelsea,Brentford,Liverpool,Newcastle United,Everton,Leeds United,Brighton & Hove Albion,Manchester United,Sunderland,Crystal Palace,Ipswich Town,AFC Bournemouth,Nottingham Forest,Aston Villa,Tottenham Hotspur,Fulham,Coventry City
4259.0,4890.0,2.0,94.0,92.0,138.0,43.0,34.0,31.0,86.0,255.0,10.0,2.0,0.0,39.0,11.0,11.0,0.0,3.0,0.0
3590.0,3339.0,24.0,367.0,320.0,504.0,172.0,150.0,131.0,324.0,761.0,29.0,12.0,0.0,127.0,59.0,73.0,11.0,7.0,0.0
1094.0,963.0,134.0,915.0,857.0,1209.0,473.0,435.0,407.0,845.0,1598.0,147.0,51.0,0.0,410.0,205.0,194.0,21.0,42.0,0.0
474.0,382.0,192.0,1004.0,913.0,1147.0,633.0,590.0,578.0,933.0,1389.0,279.0,102.0,0.0,581.0,316.0,351.0,48.0,88.0,0.0
231.0,200.0,276.0,1022.0,966.0,1082.0,737.0,630.0,674.0,929.0,1124.0,329.0,137.0,2.0,667.0,369.0,403.0,75.0,147.0,0.0
137.0,107.0,342.0,918.0,852.0,965.0,813.0,735.0,665.0,940.0,972.0,438.0,209.0,5.0,685.0,485.0,458.0,101.0,173.0,0.0
88.0,54.0,410.0,878.0,794.0,865.0,800.0,737.0,779.0,881.0,804.0,489.0,258.0,2.0,690.0,600.0,499.0,150.0,222.0,0.0
44.0,34.0,475.0,733.0,760.0,785.0,767.0,758.0,725.0,809.0,692.0,599.0,319.0,8.0,765.0,581.0,622.0,212.0,309.0,3.0
31.0,10.0,608.0,675.0,739.0,650.0,748.0,787.0,760.0,706.0,527.0,646.0,351.0,17.0,787.0,671.0,678.0,237.0,372.0,0.0
26.0,4.0,635.0,641.0,728.0,569.0,750.0,752.0,751.0,663.0,443.0,670.0,463.0,30.0,739.0,718.0,665.0,318.0,435.0,0.0
8.0,7.0,730.0,593.0,578.0,497.0,683.0,764.0,733.0,575.0,422.0,775.0,514.0,28.0,673.0,731.0,761.0,404.0,522.0,2.0
8.0,4.0,719.0,522.0,558.0,427.0,708.0,692.0,696.0,552.0,270.0,776.0,653.0,68.0,762.0,761.0,710.0,480.0,628.0,6.0
5.0,1.0,798.0,467.0,497.0,359.0,624.0,667.0,665.0,480.0,218.0,829.0,744.0,83.0,721.0,780.0,769.0,607.0,679.0,7.0
2.0,2.0,846.0,368.0,400.0,255.0,540.0,582.0,651.0,422.0,191.0,828.0,839.0,151.0,602.0,821.0,832.0,783.0,868.0,17.0
3.0,2.0,933.0,290.0,345.0,217.0,493.0,541.0,541.0,306.0,143.0,856.0,1011.0,210.0,565.0,798.0,794.0,894.0,1029.0,29.0
0.0,1.0,945.0,216.0,258.0,161.0,435.0,485.0,477.0,238.0,98.0,818.0,1133.0,363.0,518.0,753.0,770.0,1130.0,1132.0,69.0
0.0,0.0,909.0,156.0,195.0,101.0,299.0,365.0,381.0,167.0,62.0,715.0,1277.0,849.0,350.0,673.0,643.0,1454.0,1263.0,141.0
0.0,0.0,675.0,108.0,112.0,54.0,203.0,223.0,274.0,121.0,24.0,553.0,1217.0,1684.0,235.0,473.0,503.0,1761.0,1302.0,478.0
0.0,0.0,303.0,32.0,34.0,15.0,72.0,61.0,77.0,22.0,7.0,194.0,598.0,4436.0,64.0,163.0,233.0,1083.0,655.0,1951.0
0.0,0.0,44.0,1.0,2.0,0.0,7.0,12.0,4.0,1.0,0.0,20.0,110.0,2064.0,20.0,32.0,31.0,231.0,124.0,7297.0
