AZ Alkmaar,PSV Eindhoven,Feyenoord Rotterdam,Excelsior,FC Twente,Fortuna Sittard,Go Ahead Eagles,Ajax Amsterdam,NEC Nijmegen,FC Groningen,Sparta Rotterdam,Heerenveen,PEC Zwolle,Telstar,FC Utrecht,Willem II,ADO Den Haag,SC Cambuur
811.0,7917.0,543.0,16.0,344.0,4.0,21.0,260.0,72.0,7.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0
2849.0,1357.0,2073.0,202.0,1412.0,70.0,168.0,1237.0,457.0,99.0,1.0,42.0,0.0,11.0,22.0,0.0,0.0,0.0
2089.0,445.0,2059.0,428.0,1702.0,163.0,359.0,1507.0,799.0,239.0,7.0,120.0,5.0,25.0,53.0,0.0,0.0,0.0
1527.0,162.0,1643.0,629.0,1725.0,295.0,539.0,1595.0,1127.0,382.0,16.0,199.0,10.0,34.0,117.0,0.0,0.0,0.0
1050.0,73.0,1281.0,856.0,1455.0,432.0,756.0,1533.0,1311.0,588.0,32.0,345.0,17.0,81.0,190.0,0.0,0.0,0.0
649.0,29.0,858.0,1110.0,1128.0,648.0,960.0,1187.0,1376.0,908.0,90.0,531.0,41.0,161.0,324.0,0.0,0.0,0.0
414.0,10.0,599.0,1152.0,780.0,894.0,1204.0,937.0,1286.0,992.0,184.0,756.0,69.0,276.0,447.0,0.0,0.0,0.0
275.0,5.0,400.0,1231.0,556.0,1026.0,1250.0,647.0,1045.0,1139.0,273.0,932.0,128.0,420.0,672.0,0.0,1.0,0.0
149.0,1.0,246.0,1128.0,372.0,1228.0,1160.0,419.0,833.0,1218.0,408.0,1139.0,195.0,593.0,909.0,0.0,2.0,0.0
107.0,1.0,143.0,1019.0,224.0,1231.0,1087.0,291.0,631.0,1195.0,623.0,1220.0,360.0,810.0,1049.0,6.0,3.0,0.0
39.0,0.0,92.0,835.0,123.0,1150.0,849.0,199.0,480.0,1071.0,922.0,1326.0,590.0,1047.0,1253.0,7.0,14.0,3.0
28.0,0.0,32.0,625.0,106.0,1047.0,729.0,111.0,293.0,886.0,1209.0,1138.0,935.0,1381.0,1409.0,21.0,45.0,5.0
8.0,0.0,18.0,423.0,52.0,868.0,490.0,51.0,183.0,657.0,1649.0,1022.0,1378.0,1660.0,1357.0,58.0,103.0,23.0
4.0,0.0,10.0,244.0,18.0,579.0,262.0,20.0,79.0,423.0,2111.0,772.0,2082.0,1667.0,1212.0,147.0,273.0,97.0
1.0,0.0,3.0,93.0,3.0,318.0,149.0,6.0,24.0,164.0,1827.0,392.0,2951.0,1449.0,794.0,522.0,932.0,372.0
0.0,0.0,0.0,8.0,0.0,42.0,11.0,0.0,4.0,31.0,496.0,55.0,876.0,323.0,164.0,2489.0,3752.0,1749.0
0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,127.0,8.0,282.0,54.0,26.0,3397.0,2989.0,3108.0
0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,25.0,1.0,81.0,7.0,0.0,3353.0,1886.0,4643.0
