FC Porto,Benfica,Sporting CP,Santa Clara,Arouca,Braga,Gil Vicente,Maritimo,Estrela,Académico de Viseu,Vitória de Guimaraes,C.D. Nacional,Moreirense,FC Famalicao,Rio Ave,Alverca,Estoril,Casa Pia
3114.0,3062.0,3715.0,4.0,1.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3077.0,3296.0,3320.0,10.0,5.0,274.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3175.0,3013.0,2545.0,89.0,41.0,1003.0,99.0,1.0,6.0,0.0,1.0,3.0,1.0,21.0,0.0,0.0,2.0,0.0
556.0,551.0,370.0,1099.0,749.0,5059.0,929.0,12.0,148.0,2.0,28.0,76.0,13.0,358.0,2.0,10.0,38.0,0.0
64.0,63.0,45.0,2054.0,1540.0,1890.0,2043.0,48.0,529.0,23.0,181.0,299.0,73.0,957.0,13.0,46.0,131.0,1.0
11.0,10.0,5.0,1963.0,1594.0,852.0,1935.0,121.0,745.0,65.0,310.0,507.0,181.0,1286.0,42.0,111.0,255.0,7.0
1.0,4.0,0.0,1405.0,1560.0,401.0,1476.0,244.0,950.0,137.0,532.0,727.0,307.0,1477.0,105.0,215.0,443.0,16.0
2.0,1.0,0.0,1082.0,1254.0,215.0,1146.0,350.0,1116.0,214.0,699.0,913.0,450.0,1396.0,209.0,300.0,633.0,20.0
0.0,0.0,0.0,753.0,1046.0,108.0,830.0,497.0,1253.0,298.0,839.0,1073.0,640.0,1127.0,293.0,449.0,735.0,59.0
0.0,0.0,0.0,529.0,707.0,53.0,566.0,717.0,1148.0,430.0,992.0,1158.0,733.0,983.0,373.0,608.0,920.0,83.0
0.0,0.0,0.0,402.0,517.0,24.0,376.0,834.0,1026.0,595.0,1069.0,1063.0,890.0,696.0,529.0,823.0,1004.0,152.0
0.0,0.0,0.0,244.0,360.0,13.0,212.0,965.0,875.0,772.0,1083.0,983.0,988.0,564.0,737.0,905.0,1081.0,218.0
0.0,0.0,0.0,157.0,243.0,6.0,166.0,1103.0,691.0,995.0,1013.0,907.0,1061.0,438.0,866.0,994.0,1010.0,350.0
0.0,0.0,0.0,105.0,171.0,0.0,114.0,1192.0,534.0,1124.0,929.0,773.0,1122.0,297.0,1051.0,1108.0,984.0,496.0
0.0,0.0,0.0,56.0,108.0,0.0,42.0,1143.0,403.0,1293.0,782.0,600.0,1118.0,217.0,1287.0,1225.0,939.0,787.0
0.0,0.0,0.0,29.0,63.0,2.0,36.0,1145.0,321.0,1399.0,700.0,443.0,1052.0,109.0,1504.0,1238.0,807.0,1152.0
0.0,0.0,0.0,17.0,30.0,0.0,7.0,1021.0,177.0,1525.0,529.0,321.0,850.0,53.0,1683.0,1169.0,650.0,1968.0
0.0,0.0,0.0,2.0,11.0,0.0,4.0,607.0,77.0,1128.0,313.0,154.0,521.0,20.0,1306.0,799.0,367.0,4691.0
