Flamengo,Palmeiras,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Coritiba,Atlético-MG,Red Bull Bragantino,São Paulo,Vitória,Corinthians,Santos,Botafogo,Grêmio,Mirassol,Vasco da Gama,Internacional,Remo,Chapecoense
7346.0,2651.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2620.0,7102.0,168.0,74.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,218.0,4560.0,3092.0,673.0,1280.0,14.0,93.0,7.0,10.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,27.0,2800.0,3243.0,1366.0,2028.0,52.0,279.0,64.0,38.0,1.0,0.0,5.0,90.0,0.0,3.0,0.0,0.0,0.0,0.0
0.0,2.0,1469.0,1998.0,2371.0,2597.0,174.0,711.0,184.0,158.0,3.0,14.0,38.0,269.0,2.0,10.0,0.0,0.0,0.0,0.0
0.0,0.0,661.0,1001.0,2650.0,2057.0,479.0,1333.0,483.0,376.0,16.0,50.0,104.0,740.0,5.0,45.0,0.0,0.0,0.0,0.0
0.0,0.0,228.0,370.0,1488.0,1084.0,1032.0,2060.0,1055.0,790.0,37.0,149.0,252.0,1286.0,40.0,121.0,7.0,1.0,0.0,0.0
0.0,0.0,74.0,156.0,733.0,494.0,1433.0,1715.0,1377.0,1198.0,117.0,310.0,476.0,1551.0,98.0,253.0,11.0,4.0,0.0,0.0
0.0,0.0,19.0,41.0,418.0,242.0,1602.0,1224.0,1448.0,1430.0,223.0,504.0,680.0,1511.0,171.0,456.0,23.0,7.0,1.0,0.0
0.0,0.0,13.0,17.0,157.0,119.0,1435.0,999.0,1471.0,1471.0,340.0,800.0,895.0,1323.0,261.0,591.0,75.0,31.0,2.0,0.0
0.0,0.0,4.0,2.0,94.0,52.0,1377.0,651.0,1232.0,1327.0,550.0,1072.0,1108.0,1075.0,422.0,840.0,122.0,62.0,10.0,0.0
0.0,0.0,3.0,3.0,31.0,9.0,971.0,425.0,1002.0,1116.0,794.0,1342.0,1250.0,805.0,743.0,1174.0,207.0,109.0,16.0,0.0
0.0,0.0,0.0,1.0,9.0,7.0,637.0,266.0,685.0,831.0,1100.0,1465.0,1433.0,596.0,1002.0,1332.0,354.0,241.0,41.0,0.0
0.0,0.0,0.0,0.0,5.0,0.0,415.0,150.0,450.0,571.0,1437.0,1349.0,1323.0,370.0,1363.0,1473.0,551.0,451.0,92.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,232.0,67.0,336.0,343.0,1690.0,1189.0,1075.0,177.0,1617.0,1412.0,892.0,787.0,181.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,102.0,20.0,131.0,207.0,1709.0,941.0,755.0,115.0,1771.0,1133.0,1441.0,1216.0,449.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,37.0,5.0,60.0,104.0,1238.0,525.0,420.0,53.0,1369.0,705.0,2344.0,2123.0,984.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,13.0,24.0,608.0,250.0,146.0,16.0,822.0,355.0,2379.0,2929.0,2315.0,133.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,135.0,39.0,39.0,2.0,311.0,93.0,1499.0,1898.0,5359.0,617.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,95.0,141.0,550.0,9205.0
