FC Augsburg,SC Freiburg,Borussia Dortmund,SV Elversberg,Mainz,Bayern Munich,Bayer Leverkusen,RB Leipzig,VfB Stuttgart,Werder Bremen,FC Cologne,SC Paderborn 07,Eintracht Frankfurt,Schalke 04,1. FC Union Berlin,TSG Hoffenheim,Borussia Mönchengladbach,Hamburg SV
29.0,50.0,1491.0,6.0,32.0,7897.0,178.0,116.0,180.0,0.0,2.0,0.0,4.0,0.0,2.0,13.0,0.0,0.0
231.0,362.0,4486.0,46.0,210.0,1557.0,1069.0,760.0,1031.0,12.0,24.0,0.0,26.0,0.0,13.0,157.0,14.0,2.0
559.0,770.0,1825.0,181.0,552.0,368.0,1801.0,1460.0,1754.0,39.0,86.0,0.0,114.0,0.0,34.0,408.0,30.0,19.0
784.0,980.0,952.0,317.0,789.0,108.0,1641.0,1464.0,1646.0,74.0,188.0,3.0,208.0,0.0,89.0,618.0,96.0,43.0
937.0,1057.0,516.0,478.0,872.0,43.0,1389.0,1347.0,1376.0,180.0,281.0,4.0,301.0,0.0,166.0,796.0,165.0,92.0
959.0,1072.0,327.0,545.0,1008.0,19.0,1063.0,1176.0,1095.0,258.0,419.0,11.0,457.0,3.0,242.0,976.0,253.0,117.0
987.0,1041.0,160.0,724.0,995.0,3.0,859.0,943.0,871.0,377.0,553.0,11.0,584.0,5.0,327.0,1047.0,318.0,195.0
1029.0,985.0,124.0,803.0,976.0,2.0,598.0,784.0,587.0,493.0,666.0,24.0,737.0,6.0,454.0,1021.0,442.0,269.0
971.0,868.0,63.0,898.0,965.0,1.0,459.0,570.0,461.0,617.0,769.0,48.0,826.0,22.0,535.0,946.0,591.0,390.0
827.0,778.0,23.0,1001.0,853.0,1.0,334.0,468.0,372.0,754.0,868.0,89.0,902.0,26.0,679.0,887.0,688.0,450.0
721.0,624.0,16.0,906.0,733.0,0.0,222.0,325.0,248.0,908.0,983.0,116.0,995.0,72.0,813.0,865.0,825.0,628.0
591.0,482.0,12.0,979.0,641.0,1.0,145.0,213.0,150.0,1004.0,1041.0,228.0,1033.0,85.0,1020.0,651.0,941.0,783.0
477.0,365.0,3.0,910.0,494.0,0.0,114.0,158.0,123.0,1114.0,1071.0,338.0,1012.0,183.0,1101.0,584.0,1017.0,936.0
398.0,272.0,1.0,799.0,369.0,0.0,56.0,118.0,64.0,1147.0,984.0,546.0,957.0,288.0,1152.0,423.0,1182.0,1244.0
263.0,170.0,1.0,672.0,280.0,0.0,47.0,69.0,27.0,1187.0,856.0,873.0,776.0,514.0,1263.0,325.0,1194.0,1483.0
160.0,91.0,0.0,452.0,152.0,0.0,19.0,25.0,10.0,1004.0,687.0,1676.0,612.0,1089.0,1062.0,188.0,1171.0,1602.0
68.0,29.0,0.0,222.0,63.0,0.0,5.0,4.0,5.0,603.0,381.0,3083.0,353.0,2485.0,734.0,77.0,748.0,1140.0
9.0,4.0,0.0,61.0,16.0,0.0,1.0,0.0,0.0,229.0,141.0,2950.0,103.0,5222.0,314.0,18.0,325.0,607.0
