Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Osasuna,Espanyol,Girona,Athletic Club,Rayo Vallecano,Valencia,Mallorca,Sevilla,Alavés,Elche,Levante,Real Oviedo
9911.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,9841.0,69.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,70.0,9050.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,880.0,9071.0,24.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,45.0,6159.0,1999.0,1407.0,254.0,59.0,19.0,37.0,14.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,2348.0,3909.0,2260.0,780.0,280.0,123.0,170.0,86.0,22.0,11.0,3.0,3.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,1031.0,2413.0,2976.0,1606.0,794.0,312.0,456.0,239.0,87.0,30.0,36.0,10.0,6.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,304.0,1010.0,1648.0,2395.0,1820.0,756.0,892.0,638.0,235.0,94.0,132.0,31.0,26.0,19.0,0.0,0.0
0.0,0.0,0.0,0.0,101.0,404.0,817.0,2036.0,1887.0,1151.0,1406.0,954.0,438.0,212.0,355.0,87.0,98.0,54.0,0.0,0.0
0.0,0.0,0.0,0.0,23.0,160.0,457.0,1277.0,1545.0,1450.0,1625.0,1281.0,696.0,407.0,553.0,179.0,211.0,135.0,1.0,0.0
0.0,0.0,0.0,0.0,8.0,50.0,241.0,761.0,1336.0,1447.0,1461.0,1456.0,990.0,595.0,737.0,288.0,366.0,255.0,9.0,0.0
0.0,0.0,0.0,0.0,2.0,21.0,113.0,453.0,931.0,1344.0,1205.0,1455.0,1221.0,848.0,955.0,434.0,588.0,411.0,19.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,52.0,237.0,576.0,1135.0,990.0,1288.0,1227.0,1122.0,1147.0,676.0,801.0,701.0,34.0,5.0
0.0,0.0,0.0,0.0,0.0,3.0,16.0,121.0,379.0,883.0,690.0,1051.0,1329.0,1325.0,1292.0,927.0,1006.0,885.0,88.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,45.0,216.0,620.0,486.0,705.0,1207.0,1426.0,1335.0,1302.0,1280.0,1213.0,134.0,26.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,118.0,413.0,314.0,474.0,1022.0,1465.0,1220.0,1598.0,1584.0,1396.0,297.0,68.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,46.0,256.0,181.0,243.0,832.0,1286.0,1066.0,1929.0,1618.0,1745.0,634.0,155.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,72.0,79.0,107.0,552.0,956.0,847.0,1779.0,1680.0,2078.0,1343.0,495.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,8.0,9.0,127.0,203.0,261.0,675.0,620.0,863.0,5150.0,2065.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,19.0,61.0,81.0,116.0,239.0,2291.0,7181.0
