Palmeiras,Flamengo,São Paulo,Fluminense,Bahia,Athletico Paranaense,Coritiba,Atlético-MG,Red Bull Bragantino,Vitória,Botafogo,Grêmio,Vasco da Gama,Internacional,Santos,Corinthians,Cruzeiro,Remo,Chapecoense,Mirassol
6601.0,2244.0,358.0,259.0,378.0,138.0,6.0,10.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2151.0,3769.0,1188.0,906.0,1325.0,479.0,45.0,69.0,13.0,9.0,12.0,15.0,5.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0
760.0,1888.0,2123.0,1674.0,2084.0,842.0,138.0,202.0,46.0,33.0,55.0,56.0,29.0,48.0,19.0,1.0,2.0,0.0,0.0,0.0
300.0,1019.0,1953.0,1884.0,2025.0,1361.0,322.0,404.0,142.0,83.0,119.0,109.0,78.0,144.0,46.0,6.0,3.0,1.0,0.0,1.0
119.0,575.0,1585.0,1695.0,1589.0,1673.0,547.0,708.0,276.0,176.0,248.0,224.0,151.0,255.0,135.0,24.0,15.0,2.0,0.0,3.0
41.0,279.0,1053.0,1295.0,1095.0,1585.0,941.0,1094.0,480.0,323.0,422.0,358.0,291.0,432.0,225.0,59.0,20.0,6.0,0.0,1.0
18.0,123.0,690.0,844.0,630.0,1209.0,1127.0,1309.0,711.0,463.0,581.0,634.0,456.0,650.0,370.0,102.0,60.0,13.0,1.0,9.0
7.0,51.0,440.0,550.0,354.0,902.0,1216.0,1205.0,846.0,640.0,739.0,792.0,636.0,853.0,491.0,166.0,84.0,14.0,1.0,13.0
2.0,23.0,235.0,345.0,222.0,590.0,1163.0,1127.0,960.0,764.0,817.0,942.0,793.0,898.0,651.0,255.0,152.0,35.0,1.0,25.0
1.0,15.0,156.0,213.0,122.0,391.0,1002.0,1001.0,1018.0,835.0,935.0,983.0,913.0,927.0,843.0,338.0,204.0,59.0,5.0,39.0
0.0,10.0,98.0,142.0,80.0,291.0,842.0,791.0,1012.0,912.0,975.0,1051.0,955.0,1030.0,896.0,469.0,295.0,91.0,12.0,48.0
0.0,4.0,58.0,77.0,45.0,208.0,742.0,630.0,992.0,891.0,954.0,1030.0,991.0,983.0,1025.0,634.0,473.0,151.0,24.0,88.0
0.0,0.0,25.0,59.0,29.0,147.0,584.0,513.0,902.0,1039.0,920.0,946.0,1036.0,942.0,1125.0,737.0,599.0,221.0,29.0,147.0
0.0,0.0,17.0,33.0,15.0,91.0,496.0,370.0,802.0,1046.0,963.0,807.0,994.0,866.0,1026.0,999.0,801.0,371.0,71.0,232.0
0.0,0.0,12.0,17.0,2.0,46.0,389.0,254.0,672.0,913.0,774.0,719.0,911.0,730.0,1038.0,1232.0,1143.0,548.0,157.0,443.0
0.0,0.0,8.0,6.0,1.0,24.0,240.0,173.0,530.0,783.0,656.0,614.0,756.0,567.0,901.0,1461.0,1399.0,879.0,264.0,738.0
0.0,0.0,1.0,0.0,3.0,19.0,110.0,90.0,318.0,580.0,460.0,393.0,553.0,384.0,653.0,1499.0,1727.0,1377.0,599.0,1234.0
0.0,0.0,0.0,1.0,1.0,3.0,65.0,38.0,195.0,340.0,235.0,208.0,292.0,180.0,373.0,1120.0,1482.0,2183.0,1229.0,2055.0
0.0,0.0,0.0,0.0,0.0,1.0,22.0,10.0,73.0,130.0,99.0,92.0,126.0,77.0,138.0,662.0,1045.0,2434.0,2387.0,2704.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,10.0,39.0,34.0,26.0,34.0,26.0,39.0,236.0,496.0,1615.0,5220.0,2220.0
