PSV Eindhoven,AZ Alkmaar,Feyenoord Rotterdam,FC Twente,Ajax Amsterdam,Excelsior,Fortuna Sittard,Go Ahead Eagles,FC Groningen,NEC Nijmegen,Heerenveen,Sparta Rotterdam,Telstar,FC Utrecht,SC Cambuur,PEC Zwolle,Willem II,ADO Den Haag
7931.0,390.0,956.0,307.0,370.0,4.0,1.0,11.0,5.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1375.0,1662.0,3384.0,1424.0,1784.0,63.0,9.0,71.0,68.0,115.0,18.0,1.0,4.0,22.0,0.0,0.0,0.0,0.0
462.0,2073.0,2356.0,1880.0,2140.0,163.0,38.0,224.0,170.0,335.0,57.0,1.0,19.0,82.0,0.0,0.0,0.0,0.0
156.0,2005.0,1443.0,2069.0,2054.0,347.0,124.0,435.0,372.0,634.0,142.0,11.0,37.0,171.0,0.0,0.0,0.0,0.0
53.0,1575.0,900.0,1733.0,1554.0,654.0,257.0,764.0,696.0,1017.0,347.0,27.0,92.0,327.0,0.0,4.0,0.0,0.0
13.0,961.0,464.0,1088.0,914.0,1072.0,492.0,1192.0,1014.0,1375.0,535.0,68.0,188.0,614.0,0.0,10.0,0.0,0.0
6.0,584.0,237.0,633.0,519.0,1327.0,583.0,1286.0,1227.0,1463.0,822.0,93.0,364.0,830.0,1.0,23.0,2.0,0.0
1.0,331.0,127.0,395.0,300.0,1332.0,918.0,1314.0,1309.0,1259.0,942.0,208.0,477.0,1032.0,4.0,51.0,0.0,0.0
2.0,184.0,62.0,241.0,187.0,1218.0,1118.0,1192.0,1278.0,1079.0,1149.0,330.0,714.0,1149.0,18.0,73.0,3.0,3.0
0.0,110.0,37.0,115.0,89.0,1080.0,1228.0,1117.0,1131.0,946.0,1337.0,491.0,909.0,1212.0,27.0,166.0,3.0,2.0
1.0,80.0,22.0,62.0,47.0,947.0,1438.0,853.0,985.0,678.0,1297.0,746.0,1151.0,1320.0,62.0,297.0,11.0,3.0
0.0,24.0,10.0,32.0,31.0,796.0,1297.0,700.0,775.0,511.0,1286.0,1131.0,1457.0,1231.0,134.0,525.0,41.0,19.0
0.0,16.0,1.0,15.0,8.0,556.0,1151.0,474.0,535.0,357.0,1013.0,1720.0,1756.0,1017.0,278.0,923.0,109.0,71.0
0.0,4.0,1.0,6.0,2.0,296.0,804.0,236.0,302.0,147.0,665.0,2323.0,1561.0,624.0,748.0,1725.0,329.0,227.0
0.0,1.0,0.0,0.0,1.0,100.0,388.0,101.0,104.0,55.0,275.0,1649.0,874.0,281.0,1809.0,2763.0,920.0,679.0
0.0,0.0,0.0,0.0,0.0,38.0,122.0,27.0,24.0,8.0,79.0,832.0,289.0,72.0,3149.0,1922.0,1855.0,1583.0
0.0,0.0,0.0,0.0,0.0,7.0,28.0,3.0,5.0,1.0,28.0,281.0,87.0,16.0,2362.0,1031.0,3341.0,2810.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,88.0,21.0,0.0,1408.0,487.0,3386.0,4603.0
