West Ham United,Swansea City,West Bromwich Albion,Middlesbrough,Queens Park Rangers,Charlton Athletic,Wolverhampton Wanderers,Southampton,Birmingham City,Stoke City,Bristol City,Norwich City,Millwall,Sheffield United,Blackburn Rovers,Lincoln City,Watford,Portsmouth,Wrexham,Bolton Wanderers,Cardiff City,Derby County,Preston North End,Burnley
6857.0,92.0,20.0,524.0,8.0,2.0,1767.0,581.0,16.0,3.0,16.0,33.0,67.0,8.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
1966.0,445.0,126.0,1470.0,47.0,19.0,3282.0,1762.0,131.0,31.0,99.0,182.0,313.0,58.0,3.0,0.0,3.0,10.0,38.0,0.0,0.0,11.0,0.0,4.0
691.0,771.0,305.0,1870.0,112.0,61.0,2045.0,2102.0,298.0,87.0,245.0,419.0,644.0,162.0,21.0,1.0,21.0,14.0,85.0,0.0,0.0,28.0,2.0,16.0
264.0,1095.0,492.0,1639.0,240.0,128.0,1152.0,1668.0,502.0,203.0,393.0,600.0,923.0,277.0,59.0,6.0,48.0,49.0,146.0,0.0,0.0,70.0,4.0,42.0
112.0,1128.0,677.0,1289.0,364.0,183.0,663.0,1172.0,661.0,292.0,534.0,778.0,1034.0,351.0,102.0,6.0,73.0,83.0,285.0,1.0,0.0,119.0,9.0,84.0
51.0,1025.0,805.0,883.0,488.0,248.0,413.0,808.0,760.0,371.0,640.0,921.0,1050.0,494.0,135.0,15.0,122.0,114.0,333.0,0.0,0.0,177.0,21.0,126.0
28.0,904.0,800.0,659.0,560.0,344.0,242.0,552.0,821.0,432.0,721.0,873.0,997.0,605.0,205.0,25.0,179.0,170.0,435.0,3.0,1.0,236.0,26.0,182.0
11.0,814.0,803.0,481.0,618.0,420.0,154.0,381.0,802.0,498.0,787.0,867.0,839.0,636.0,306.0,37.0,230.0,240.0,505.0,2.0,3.0,325.0,35.0,206.0
9.0,718.0,792.0,345.0,691.0,512.0,105.0,283.0,796.0,570.0,712.0,835.0,747.0,651.0,335.0,51.0,263.0,280.0,564.0,8.0,5.0,362.0,64.0,302.0
5.0,644.0,810.0,220.0,680.0,512.0,65.0,215.0,770.0,627.0,749.0,733.0,693.0,673.0,396.0,83.0,320.0,337.0,588.0,7.0,6.0,445.0,76.0,346.0
4.0,545.0,718.0,176.0,723.0,638.0,46.0,137.0,693.0,645.0,709.0,648.0,546.0,736.0,498.0,96.0,396.0,401.0,600.0,13.0,6.0,520.0,97.0,409.0
2.0,433.0,643.0,137.0,689.0,652.0,30.0,104.0,643.0,694.0,667.0,552.0,458.0,741.0,557.0,172.0,449.0,475.0,678.0,32.0,19.0,538.0,160.0,475.0
0.0,325.0,587.0,88.0,685.0,650.0,16.0,83.0,637.0,659.0,620.0,522.0,394.0,698.0,594.0,226.0,529.0,544.0,693.0,33.0,20.0,629.0,233.0,535.0
0.0,285.0,543.0,75.0,651.0,714.0,10.0,47.0,505.0,787.0,596.0,417.0,326.0,667.0,659.0,252.0,612.0,568.0,706.0,50.0,27.0,655.0,251.0,597.0
0.0,235.0,463.0,60.0,655.0,749.0,3.0,48.0,446.0,692.0,524.0,427.0,242.0,616.0,700.0,324.0,631.0,702.0,651.0,87.0,47.0,745.0,333.0,620.0
0.0,161.0,382.0,29.0,581.0,703.0,4.0,24.0,408.0,661.0,504.0,340.0,201.0,568.0,744.0,454.0,703.0,707.0,689.0,118.0,57.0,744.0,477.0,741.0
0.0,135.0,308.0,25.0,540.0,701.0,1.0,16.0,301.0,629.0,403.0,290.0,157.0,515.0,778.0,567.0,855.0,808.0,612.0,178.0,144.0,711.0,511.0,815.0
0.0,84.0,286.0,16.0,453.0,681.0,0.0,6.0,261.0,564.0,331.0,167.0,138.0,455.0,834.0,696.0,882.0,821.0,630.0,236.0,181.0,784.0,677.0,817.0
0.0,68.0,164.0,6.0,451.0,646.0,1.0,7.0,211.0,525.0,280.0,172.0,104.0,371.0,803.0,843.0,869.0,872.0,529.0,359.0,291.0,734.0,857.0,837.0
0.0,49.0,115.0,6.0,313.0,522.0,1.0,2.0,156.0,384.0,207.0,106.0,60.0,324.0,765.0,1089.0,854.0,895.0,464.0,635.0,462.0,687.0,1079.0,825.0
0.0,25.0,82.0,1.0,209.0,458.0,0.0,1.0,93.0,302.0,130.0,65.0,39.0,207.0,644.0,1382.0,796.0,760.0,358.0,994.0,804.0,619.0,1282.0,749.0
0.0,14.0,48.0,1.0,147.0,250.0,0.0,1.0,58.0,205.0,86.0,32.0,18.0,100.0,462.0,1597.0,628.0,605.0,248.0,1541.0,1392.0,476.0,1452.0,639.0
0.0,3.0,30.0,0.0,65.0,142.0,0.0,0.0,24.0,110.0,39.0,16.0,7.0,73.0,297.0,1321.0,393.0,385.0,124.0,2478.0,2400.0,267.0,1391.0,435.0
0.0,2.0,1.0,0.0,30.0,65.0,0.0,0.0,7.0,29.0,8.0,5.0,3.0,14.0,102.0,757.0,143.0,160.0,35.0,3225.0,4135.0,118.0,963.0,198.0
