FC Porto,Benfica,Sporting CP,Santa Clara,Estrela,Arouca,Braga,Académico de Viseu,Moreirense,Gil Vicente,Maritimo,Alverca,Vitória de Guimaraes,FC Famalicao,C.D. Nacional,Rio Ave,Estoril,Casa Pia
3766.0,3540.0,2658.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3307.0,3301.0,3188.0,21.0,1.0,1.0,169.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2592.0,2785.0,3673.0,127.0,9.0,13.0,741.0,0.0,0.0,34.0,0.0,0.0,1.0,21.0,3.0,0.0,1.0,0.0
300.0,336.0,421.0,1755.0,261.0,424.0,5315.0,23.0,31.0,708.0,2.0,29.0,14.0,354.0,20.0,0.0,7.0,0.0
31.0,29.0,54.0,2837.0,786.0,1016.0,1926.0,108.0,148.0,1605.0,11.0,133.0,80.0,989.0,121.0,26.0,100.0,0.0
4.0,7.0,6.0,1874.0,1131.0,1462.0,879.0,188.0,320.0,1767.0,34.0,321.0,202.0,1323.0,252.0,48.0,175.0,7.0
0.0,2.0,0.0,1237.0,1369.0,1426.0,461.0,346.0,489.0,1492.0,75.0,474.0,319.0,1426.0,421.0,102.0,358.0,3.0
0.0,0.0,0.0,842.0,1319.0,1320.0,241.0,556.0,682.0,1204.0,169.0,602.0,452.0,1385.0,551.0,162.0,500.0,15.0
0.0,0.0,0.0,510.0,1267.0,1135.0,116.0,723.0,836.0,945.0,274.0,762.0,644.0,1175.0,733.0,236.0,610.0,34.0
0.0,0.0,0.0,338.0,1022.0,891.0,58.0,916.0,937.0,725.0,381.0,958.0,770.0,885.0,928.0,365.0,780.0,46.0
0.0,0.0,0.0,176.0,844.0,711.0,25.0,1017.0,1006.0,504.0,533.0,997.0,951.0,729.0,1006.0,517.0,914.0,70.0
0.0,0.0,0.0,129.0,648.0,578.0,21.0,1019.0,1024.0,372.0,687.0,1094.0,1022.0,576.0,1034.0,623.0,1047.0,126.0
0.0,0.0,0.0,68.0,490.0,364.0,9.0,1102.0,1048.0,235.0,871.0,1084.0,1097.0,452.0,1050.0,873.0,1054.0,203.0
0.0,0.0,0.0,52.0,369.0,283.0,3.0,1065.0,1017.0,189.0,1089.0,967.0,1123.0,302.0,1112.0,978.0,1093.0,358.0
0.0,0.0,0.0,18.0,239.0,186.0,1.0,1063.0,905.0,96.0,1316.0,927.0,1102.0,209.0,975.0,1287.0,1108.0,568.0
0.0,0.0,0.0,12.0,133.0,120.0,0.0,878.0,753.0,68.0,1664.0,786.0,1022.0,98.0,876.0,1607.0,1046.0,937.0
0.0,0.0,0.0,3.0,81.0,51.0,0.0,674.0,553.0,34.0,1781.0,618.0,841.0,61.0,648.0,1894.0,820.0,1941.0
0.0,0.0,0.0,0.0,31.0,19.0,0.0,322.0,251.0,10.0,1113.0,248.0,360.0,15.0,270.0,1282.0,387.0,5692.0
