SC Freiburg,Borussia Dortmund,FC Augsburg,Bayern Munich,RB Leipzig,SV Elversberg,Bayer Leverkusen,Mainz,Eintracht Frankfurt,Werder Bremen,Schalke 04,FC Cologne,TSG Hoffenheim,VfB Stuttgart,SC Paderborn 07,1. FC Union Berlin,Borussia Mönchengladbach,Hamburg SV
70.0,1755.0,10.0,7791.0,174.0,1.0,109.0,3.0,1.0,0.0,0.0,1.0,20.0,65.0,0.0,0.0,0.0,0.0
564.0,4747.0,128.0,1731.0,1122.0,7.0,764.0,57.0,67.0,11.0,0.0,8.0,179.0,608.0,0.0,1.0,6.0,0.0
1208.0,1739.0,384.0,318.0,2265.0,51.0,1649.0,172.0,248.0,35.0,4.0,56.0,566.0,1279.0,0.0,10.0,12.0,4.0
1511.0,832.0,623.0,107.0,1778.0,112.0,1718.0,355.0,385.0,77.0,11.0,113.0,798.0,1506.0,0.0,36.0,28.0,10.0
1391.0,468.0,882.0,37.0,1392.0,223.0,1545.0,536.0,593.0,150.0,30.0,208.0,982.0,1423.0,0.0,61.0,51.0,28.0
1252.0,242.0,1012.0,11.0,1050.0,363.0,1228.0,685.0,762.0,264.0,45.0,347.0,1164.0,1324.0,0.0,106.0,98.0,47.0
1083.0,105.0,1127.0,2.0,769.0,525.0,960.0,872.0,904.0,378.0,89.0,455.0,1253.0,1023.0,5.0,177.0,198.0,75.0
846.0,64.0,1194.0,1.0,502.0,668.0,759.0,1010.0,1042.0,513.0,143.0,609.0,1106.0,832.0,6.0,277.0,255.0,173.0
693.0,22.0,1037.0,2.0,357.0,833.0,482.0,1180.0,1145.0,610.0,256.0,704.0,987.0,652.0,15.0,397.0,370.0,258.0
516.0,16.0,998.0,0.0,216.0,1019.0,306.0,1035.0,1111.0,899.0,344.0,906.0,834.0,472.0,10.0,509.0,492.0,317.0
329.0,6.0,748.0,0.0,165.0,1061.0,201.0,1067.0,940.0,984.0,531.0,1040.0,648.0,333.0,34.0,709.0,724.0,480.0
232.0,3.0,573.0,0.0,83.0,1135.0,116.0,869.0,802.0,1081.0,679.0,1154.0,516.0,200.0,67.0,941.0,865.0,684.0
129.0,0.0,495.0,0.0,64.0,1015.0,74.0,712.0,698.0,1193.0,919.0,1088.0,389.0,131.0,122.0,1048.0,1013.0,910.0
79.0,0.0,345.0,0.0,41.0,952.0,46.0,555.0,499.0,1103.0,1206.0,1028.0,257.0,68.0,271.0,1272.0,1179.0,1099.0
62.0,1.0,226.0,0.0,14.0,812.0,28.0,402.0,387.0,1050.0,1494.0,912.0,164.0,42.0,433.0,1305.0,1321.0,1347.0
23.0,0.0,136.0,0.0,5.0,660.0,11.0,290.0,270.0,859.0,1660.0,691.0,94.0,29.0,858.0,1415.0,1387.0,1612.0
11.0,0.0,63.0,0.0,3.0,443.0,3.0,162.0,118.0,598.0,1770.0,541.0,34.0,12.0,1859.0,1155.0,1363.0,1865.0
1.0,0.0,19.0,0.0,0.0,120.0,1.0,38.0,28.0,195.0,819.0,139.0,9.0,1.0,6320.0,581.0,638.0,1091.0
