AS Roma,Internazionale,Como,Lazio,Cagliari,AC Milan,Frosinone,Juventus,Sassuolo,Napoli,Atalanta,Lecce,Udinese,Torino,Fiorentina,Bologna,Parma,Monza,Genoa,Venezia
2477.0,5305.0,1659.0,33.0,6.0,117.0,2.0,232.0,11.0,113.0,40.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2885.0,2616.0,2647.0,163.0,28.0,341.0,7.0,682.0,40.0,401.0,173.0,1.0,13.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2215.0,1179.0,2548.0,419.0,75.0,789.0,38.0,1272.0,116.0,879.0,389.0,1.0,49.0,4.0,5.0,20.0,1.0,0.0,1.0,0.0
1174.0,511.0,1443.0,856.0,218.0,1373.0,88.0,1735.0,245.0,1399.0,716.0,9.0,139.0,14.0,21.0,49.0,1.0,0.0,9.0,0.0
606.0,225.0,769.0,1123.0,404.0,1523.0,175.0,1708.0,492.0,1553.0,975.0,22.0,222.0,31.0,31.0,114.0,10.0,1.0,16.0,0.0
322.0,92.0,429.0,1229.0,577.0,1406.0,353.0,1345.0,719.0,1420.0,1239.0,66.0,402.0,67.0,107.0,175.0,11.0,1.0,40.0,0.0
138.0,44.0,256.0,1301.0,788.0,1295.0,445.0,995.0,892.0,1246.0,1252.0,128.0,538.0,110.0,164.0,295.0,24.0,1.0,88.0,0.0
92.0,14.0,116.0,1164.0,977.0,946.0,636.0,735.0,1007.0,939.0,1250.0,220.0,761.0,211.0,255.0,479.0,50.0,5.0,143.0,0.0
52.0,9.0,68.0,1059.0,1051.0,731.0,780.0,507.0,1095.0,721.0,1102.0,335.0,934.0,321.0,319.0,575.0,91.0,9.0,239.0,2.0
25.0,4.0,26.0,839.0,1095.0,477.0,1002.0,332.0,1214.0,483.0,849.0,424.0,1037.0,462.0,484.0,729.0,168.0,17.0,332.0,1.0
11.0,1.0,19.0,583.0,1083.0,399.0,989.0,191.0,1031.0,330.0,682.0,628.0,1104.0,588.0,634.0,929.0,296.0,18.0,481.0,3.0
2.0,0.0,7.0,438.0,976.0,236.0,1094.0,120.0,861.0,233.0,491.0,821.0,1016.0,769.0,792.0,1045.0,388.0,60.0,640.0,11.0
1.0,0.0,6.0,306.0,831.0,169.0,1066.0,81.0,707.0,129.0,333.0,944.0,973.0,929.0,977.0,1112.0,568.0,86.0,763.0,19.0
0.0,0.0,6.0,204.0,654.0,96.0,968.0,37.0,527.0,67.0,217.0,1155.0,867.0,1073.0,1133.0,1079.0,727.0,141.0,1017.0,32.0
0.0,0.0,1.0,142.0,477.0,44.0,840.0,19.0,419.0,49.0,125.0,1230.0,740.0,1242.0,1151.0,1010.0,1021.0,289.0,1140.0,61.0
0.0,0.0,0.0,86.0,360.0,35.0,651.0,7.0,301.0,23.0,92.0,1268.0,491.0,1281.0,1223.0,965.0,1304.0,486.0,1308.0,119.0
0.0,0.0,0.0,37.0,233.0,17.0,463.0,1.0,183.0,8.0,56.0,1203.0,382.0,1287.0,1172.0,704.0,1638.0,916.0,1408.0,292.0
0.0,0.0,0.0,15.0,114.0,5.0,287.0,1.0,100.0,7.0,13.0,958.0,227.0,966.0,932.0,493.0,2058.0,1685.0,1410.0,729.0
0.0,0.0,0.0,2.0,42.0,1.0,102.0,0.0,36.0,0.0,6.0,487.0,87.0,502.0,502.0,202.0,1242.0,3725.0,745.0,2319.0
0.0,0.0,0.0,1.0,11.0,0.0,14.0,0.0,4.0,0.0,0.0,100.0,14.0,143.0,96.0,23.0,402.0,2560.0,220.0,6412.0
