Arsenal,Manchester City,Leeds United,Hull City,Brighton & Hove Albion,Chelsea,Brentford,Liverpool,Everton,Ipswich Town,Nottingham Forest,Newcastle United,Manchester United,Sunderland,AFC Bournemouth,Crystal Palace,Tottenham Hotspur,Fulham,Aston Villa,Coventry City
5325.0,4221.0,31.0,2.0,161.0,30.0,29.0,52.0,21.0,0.0,7.0,8.0,92.0,2.0,13.0,0.0,0.0,2.0,4.0,0.0
3473.0,4146.0,221.0,23.0,586.0,230.0,205.0,327.0,85.0,1.0,84.0,59.0,419.0,18.0,82.0,3.0,4.0,4.0,30.0,0.0
704.0,965.0,796.0,128.0,1673.0,837.0,779.0,1081.0,409.0,1.0,417.0,251.0,1292.0,96.0,375.0,16.0,16.0,52.0,112.0,0.0
272.0,343.0,971.0,226.0,1367.0,955.0,938.0,1157.0,554.0,6.0,535.0,362.0,1302.0,146.0,496.0,35.0,36.0,96.0,203.0,0.0
109.0,156.0,1029.0,273.0,1249.0,943.0,944.0,1011.0,687.0,20.0,642.0,498.0,1090.0,227.0,623.0,72.0,54.0,117.0,256.0,0.0
50.0,80.0,973.0,396.0,989.0,918.0,954.0,1035.0,703.0,24.0,738.0,505.0,966.0,300.0,680.0,112.0,73.0,164.0,340.0,0.0
31.0,38.0,896.0,444.0,851.0,869.0,854.0,891.0,777.0,35.0,786.0,704.0,843.0,365.0,674.0,150.0,136.0,237.0,419.0,0.0
13.0,23.0,826.0,552.0,692.0,819.0,835.0,779.0,784.0,69.0,754.0,660.0,837.0,435.0,798.0,174.0,166.0,282.0,502.0,0.0
13.0,14.0,756.0,606.0,556.0,724.0,767.0,707.0,797.0,100.0,775.0,763.0,648.0,547.0,799.0,258.0,206.0,389.0,575.0,0.0
3.0,8.0,675.0,693.0,466.0,753.0,654.0,672.0,783.0,133.0,814.0,756.0,540.0,583.0,747.0,348.0,320.0,420.0,632.0,0.0
3.0,3.0,610.0,782.0,378.0,642.0,665.0,523.0,754.0,183.0,747.0,783.0,502.0,716.0,778.0,399.0,374.0,489.0,669.0,0.0
3.0,3.0,510.0,747.0,312.0,551.0,574.0,487.0,696.0,267.0,710.0,808.0,392.0,791.0,760.0,525.0,453.0,647.0,764.0,0.0
0.0,0.0,474.0,858.0,245.0,439.0,463.0,400.0,690.0,347.0,659.0,738.0,331.0,836.0,675.0,675.0,591.0,740.0,838.0,1.0
0.0,0.0,376.0,893.0,179.0,406.0,406.0,282.0,603.0,466.0,597.0,770.0,244.0,882.0,680.0,769.0,753.0,904.0,790.0,0.0
0.0,0.0,293.0,868.0,127.0,282.0,353.0,222.0,541.0,682.0,530.0,682.0,195.0,942.0,588.0,973.0,865.0,953.0,903.0,1.0
1.0,0.0,231.0,784.0,80.0,261.0,262.0,156.0,435.0,926.0,477.0,589.0,141.0,946.0,463.0,1127.0,1122.0,1106.0,883.0,10.0
0.0,0.0,170.0,705.0,52.0,202.0,193.0,121.0,328.0,1324.0,336.0,504.0,101.0,873.0,380.0,1283.0,1342.0,1213.0,857.0,16.0
0.0,0.0,120.0,616.0,29.0,99.0,94.0,63.0,248.0,1998.0,253.0,355.0,47.0,771.0,237.0,1514.0,1621.0,1162.0,720.0,53.0
0.0,0.0,41.0,397.0,8.0,39.0,31.0,34.0,105.0,3208.0,135.0,197.0,17.0,503.0,149.0,1499.0,1802.0,985.0,495.0,355.0
0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,210.0,4.0,8.0,1.0,21.0,3.0,68.0,66.0,38.0,8.0,9564.0
