Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Red Bull Bragantino,Coritiba,Vitória,Botafogo,Atlético-MG,Internacional,Vasco da Gama,Grêmio,Cruzeiro,Santos,Corinthians,Mirassol,Remo,Chapecoense
8029.0,1690.0,168.0,68.0,39.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626.0,5925.0,1131.0,738.0,438.0,55.0,38.0,18.0,5.0,0.0,3.0,6.0,5.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
260.0,1565.0,3108.0,2555.0,1587.0,278.0,276.0,137.0,17.0,15.0,25.0,57.0,40.0,63.0,8.0,9.0,0.0,0.0,0.0,0.0
66.0,527.0,2444.0,2569.0,2065.0,685.0,627.0,291.0,62.0,73.0,91.0,126.0,130.0,196.0,24.0,18.0,5.0,0.0,1.0,0.0
16.0,182.0,1483.0,1698.0,2041.0,1164.0,1157.0,621.0,154.0,171.0,188.0,285.0,278.0,435.0,57.0,44.0,22.0,2.0,2.0,0.0
3.0,80.0,755.0,949.0,1302.0,1492.0,1515.0,963.0,287.0,307.0,341.0,572.0,475.0,671.0,110.0,100.0,68.0,5.0,5.0,0.0
0.0,22.0,395.0,588.0,843.0,1428.0,1406.0,1141.0,445.0,504.0,515.0,710.0,690.0,835.0,196.0,149.0,112.0,12.0,9.0,0.0
0.0,5.0,225.0,327.0,585.0,1255.0,1215.0,1185.0,533.0,654.0,605.0,918.0,878.0,916.0,237.0,234.0,180.0,23.0,25.0,0.0
0.0,4.0,141.0,205.0,402.0,995.0,1017.0,1069.0,712.0,819.0,790.0,968.0,954.0,937.0,328.0,336.0,262.0,28.0,33.0,0.0
0.0,0.0,73.0,120.0,261.0,758.0,779.0,1000.0,839.0,916.0,827.0,1043.0,1009.0,972.0,480.0,418.0,366.0,76.0,63.0,0.0
0.0,0.0,35.0,76.0,181.0,614.0,581.0,850.0,964.0,997.0,925.0,1017.0,1015.0,1012.0,565.0,547.0,445.0,113.0,63.0,0.0
0.0,0.0,15.0,55.0,116.0,434.0,495.0,700.0,1005.0,987.0,993.0,963.0,975.0,874.0,702.0,743.0,635.0,172.0,136.0,0.0
0.0,0.0,13.0,28.0,59.0,329.0,321.0,620.0,1023.0,1050.0,1038.0,906.0,907.0,823.0,807.0,845.0,810.0,230.0,190.0,1.0
0.0,0.0,7.0,13.0,46.0,210.0,255.0,498.0,1089.0,980.0,1079.0,716.0,792.0,700.0,914.0,1049.0,972.0,378.0,299.0,3.0
0.0,0.0,4.0,7.0,23.0,140.0,146.0,375.0,963.0,853.0,934.0,643.0,700.0,604.0,1084.0,1229.0,1217.0,579.0,494.0,5.0
0.0,0.0,2.0,3.0,10.0,93.0,105.0,259.0,849.0,717.0,700.0,493.0,534.0,462.0,1279.0,1382.0,1461.0,901.0,741.0,9.0
0.0,0.0,1.0,1.0,2.0,50.0,41.0,165.0,613.0,535.0,580.0,340.0,378.0,281.0,1414.0,1304.0,1560.0,1487.0,1232.0,16.0
0.0,0.0,0.0,0.0,0.0,15.0,17.0,85.0,331.0,299.0,263.0,184.0,166.0,167.0,1117.0,1038.0,1238.0,2634.0,2314.0,132.0
0.0,0.0,0.0,0.0,0.0,3.0,7.0,23.0,106.0,119.0,99.0,50.0,71.0,38.0,656.0,527.0,607.0,3064.0,3975.0,655.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,21.0,28.0,40.0,296.0,418.0,9179.0
