Arsenal,Manchester City,Manchester United,Liverpool,Aston Villa,AFC Bournemouth,Brentford,Brighton & Hove Albion,Chelsea,Everton,Fulham,Sunderland,Newcastle United,Leeds United,Crystal Palace,Nottingham Forest,Tottenham Hotspur,West Ham United,Burnley,Wolverhampton Wanderers
9076.0,924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
924.0,9076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9771.0,172.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,228.0,6613.0,3151.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,3092.0,6441.0,140.0,104.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,113.0,332.0,2849.0,1941.0,3497.0,344.0,344.0,546.0,28.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,9.0,19.0,2465.0,2418.0,2553.0,685.0,735.0,958.0,126.0,27.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,1781.0,2470.0,1731.0,1189.0,1249.0,1172.0,300.0,92.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1287.0,1533.0,1120.0,1879.0,1742.0,1495.0,670.0,236.0,14.0,22.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1038.0,980.0,507.0,1926.0,2097.0,1806.0,861.0,597.0,93.0,75.0,20.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,411.0,465.0,270.0,1914.0,1976.0,1920.0,1265.0,1202.0,291.0,130.0,156.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,21.0,80.0,80.0,1207.0,1088.0,1162.0,2336.0,2158.0,901.0,402.0,565.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,7.0,18.0,609.0,516.0,655.0,2087.0,2601.0,1528.0,852.0,1125.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,212.0,207.0,220.0,1484.0,1732.0,2469.0,1494.0,2155.0,24.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,43.0,59.0,733.0,922.0,2598.0,2664.0,2817.0,118.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,110.0,422.0,1941.0,4154.0,2905.0,409.0,47.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,159.0,188.0,253.0,7214.0,2180.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2234.0,7760.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7794.0,2206.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2206.0,7794.0
