Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Athletic Club,Real Sociedad,Osasuna,Rayo Vallecano,Valencia,Espanyol,Elche,Mallorca,Girona,Sevilla,Levante,Alavés,Real Oviedo
9999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9996.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,9393.0,604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,604.0,9395.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,9731.0,246.0,6.0,1.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,257.0,7518.0,762.0,448.0,796.0,39.0,175.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,11.0,1487.0,2530.0,1402.0,2889.0,588.0,937.0,25.0,57.0,21.0,41.0,12.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,486.0,2235.0,1921.0,2353.0,1150.0,1352.0,91.0,141.0,91.0,146.0,32.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,199.0,1727.0,2075.0,1638.0,1564.0,1736.0,188.0,280.0,213.0,239.0,124.0,9.0,0.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,53.0,1341.0,1811.0,1010.0,1894.0,1830.0,296.0,486.0,464.0,529.0,244.0,18.0,0.0,24.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,806.0,1176.0,678.0,2070.0,1761.0,473.0,773.0,823.0,852.0,411.0,76.0,1.0,90.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,387.0,600.0,294.0,1226.0,1029.0,929.0,1237.0,1652.0,1484.0,708.0,161.0,25.0,267.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,151.0,346.0,154.0,711.0,575.0,1204.0,1437.0,1714.0,1687.0,1156.0,361.0,56.0,448.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,51.0,161.0,112.0,449.0,322.0,1690.0,1548.0,1433.0,1557.0,1318.0,622.0,115.0,622.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,53.0,40.0,221.0,195.0,1792.0,1473.0,1224.0,1393.0,1403.0,913.0,279.0,1011.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,20.0,78.0,71.0,1577.0,1133.0,1053.0,1017.0,1647.0,1428.0,550.0,1418.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,13.0,1087.0,795.0,688.0,607.0,1445.0,2318.0,996.0,2039.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,523.0,515.0,460.0,290.0,1090.0,2555.0,2193.0,2361.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,121.0,164.0,157.0,410.0,1536.0,5740.0,1686.0,61.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,25.0,9928.0
