Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Corinthians,Red Bull Bragantino,Botafogo,Coritiba,Atlético-MG,São Paulo,Vitória,Grêmio,Mirassol,Internacional,Santos,Vasco da Gama,Remo,Chapecoense
5668.0,4308.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4172.0,5492.0,257.0,50.0,10.0,2.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.0,187.0,5439.0,1866.0,809.0,297.0,196.0,116.0,696.0,19.0,163.0,47.0,0.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0
9.0,10.0,2101.0,2633.0,1403.0,791.0,628.0,321.0,1368.0,76.0,463.0,130.0,8.0,16.0,39.0,0.0,2.0,1.0,1.0,0.0
1.0,2.0,987.0,1822.0,1548.0,1222.0,948.0,553.0,1611.0,155.0,745.0,250.0,11.0,64.0,63.0,6.0,5.0,7.0,0.0,0.0
0.0,1.0,567.0,1297.0,1462.0,1308.0,1119.0,782.0,1498.0,248.0,989.0,428.0,28.0,104.0,136.0,15.0,7.0,9.0,2.0,0.0
0.0,0.0,310.0,868.0,1277.0,1362.0,1298.0,912.0,1267.0,452.0,1100.0,639.0,44.0,169.0,222.0,24.0,20.0,30.0,6.0,0.0
0.0,0.0,174.0,578.0,1095.0,1251.0,1233.0,1133.0,1084.0,582.0,1218.0,773.0,99.0,286.0,316.0,62.0,53.0,47.0,16.0,0.0
0.0,0.0,87.0,390.0,825.0,1123.0,1217.0,1211.0,868.0,784.0,1182.0,981.0,155.0,441.0,425.0,125.0,73.0,82.0,31.0,0.0
0.0,0.0,32.0,214.0,633.0,853.0,964.0,1275.0,605.0,1053.0,1114.0,1196.0,264.0,584.0,662.0,215.0,111.0,162.0,63.0,0.0
0.0,0.0,17.0,144.0,422.0,680.0,805.0,1138.0,389.0,1241.0,1005.0,1235.0,396.0,832.0,846.0,316.0,187.0,244.0,103.0,0.0
0.0,0.0,4.0,74.0,242.0,467.0,599.0,935.0,287.0,1317.0,728.0,1214.0,610.0,1054.0,1114.0,491.0,325.0,378.0,161.0,0.0
0.0,0.0,2.0,33.0,133.0,284.0,417.0,630.0,144.0,1203.0,527.0,1013.0,802.0,1355.0,1231.0,759.0,508.0,636.0,323.0,0.0
0.0,0.0,0.0,19.0,75.0,198.0,260.0,414.0,84.0,1043.0,340.0,785.0,1021.0,1329.0,1281.0,1088.0,721.0,809.0,532.0,1.0
0.0,0.0,0.0,11.0,38.0,81.0,183.0,287.0,45.0,792.0,224.0,548.0,1258.0,1181.0,1191.0,1210.0,1007.0,1207.0,737.0,0.0
0.0,0.0,0.0,0.0,17.0,48.0,80.0,148.0,24.0,491.0,115.0,373.0,1421.0,1028.0,963.0,1528.0,1288.0,1381.0,1091.0,4.0
0.0,0.0,0.0,0.0,7.0,23.0,40.0,93.0,9.0,291.0,51.0,234.0,1433.0,757.0,769.0,1503.0,1558.0,1654.0,1566.0,12.0
0.0,0.0,0.0,0.0,4.0,8.0,10.0,38.0,4.0,180.0,28.0,114.0,1377.0,503.0,474.0,1467.0,1835.0,1696.0,2221.0,41.0
0.0,0.0,0.0,0.0,0.0,2.0,2.0,14.0,2.0,70.0,7.0,40.0,1055.0,285.0,254.0,1161.0,2246.0,1616.0,3049.0,197.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,18.0,7.0,5.0,29.0,54.0,41.0,98.0,9745.0
