Excelsior,Go Ahead Eagles,AZ Alkmaar,Ajax Amsterdam,FC Groningen,Telstar,Feyenoord Rotterdam,Heerenveen,Fortuna Sittard,PSV Eindhoven,NEC Nijmegen,FC Utrecht,Sparta Rotterdam,FC Twente,ADO Den Haag,PEC Zwolle,Willem II,SC Cambuur
7.0,42.0,125.0,1238.0,52.0,14.0,1179.0,58.0,0.0,6734.0,221.0,53.0,0.0,277.0,0.0,0.0,0.0,0.0
47.0,224.0,469.0,2557.0,231.0,74.0,2386.0,254.0,3.0,1878.0,702.0,282.0,0.0,893.0,0.0,0.0,0.0,0.0
106.0,423.0,743.0,1948.0,457.0,146.0,2026.0,460.0,9.0,772.0,1145.0,508.0,0.0,1256.0,0.0,0.0,1.0,0.0
189.0,634.0,891.0,1403.0,665.0,287.0,1463.0,733.0,14.0,328.0,1311.0,739.0,0.0,1340.0,3.0,0.0,0.0,0.0
279.0,776.0,1073.0,976.0,819.0,408.0,1005.0,937.0,26.0,151.0,1314.0,934.0,2.0,1298.0,0.0,1.0,1.0,0.0
468.0,966.0,1128.0,625.0,1022.0,565.0,677.0,1027.0,56.0,68.0,1190.0,1021.0,4.0,1169.0,9.0,4.0,1.0,0.0
573.0,1052.0,1132.0,499.0,1100.0,630.0,449.0,1102.0,94.0,39.0,1101.0,1126.0,9.0,1073.0,11.0,2.0,7.0,1.0
787.0,1110.0,1077.0,318.0,1201.0,875.0,348.0,1051.0,164.0,17.0,928.0,1229.0,11.0,825.0,28.0,6.0,21.0,4.0
1055.0,1147.0,958.0,211.0,1173.0,1068.0,220.0,1155.0,278.0,6.0,726.0,1137.0,31.0,720.0,57.0,21.0,26.0,11.0
1278.0,1141.0,893.0,125.0,1092.0,1293.0,136.0,1076.0,507.0,6.0,590.0,1049.0,98.0,485.0,106.0,34.0,73.0,18.0
1551.0,1020.0,698.0,56.0,916.0,1519.0,69.0,936.0,809.0,0.0,409.0,884.0,174.0,357.0,299.0,89.0,155.0,59.0
1590.0,823.0,452.0,32.0,715.0,1498.0,31.0,690.0,1388.0,1.0,229.0,624.0,406.0,196.0,599.0,190.0,387.0,149.0
1087.0,404.0,244.0,10.0,348.0,915.0,9.0,322.0,2295.0,0.0,88.0,280.0,914.0,87.0,1191.0,494.0,870.0,442.0
570.0,151.0,79.0,1.0,137.0,433.0,2.0,130.0,1701.0,0.0,39.0,89.0,1576.0,18.0,1808.0,1013.0,1438.0,815.0
252.0,65.0,22.0,0.0,47.0,159.0,0.0,44.0,1232.0,0.0,6.0,28.0,1850.0,5.0,1812.0,1495.0,1761.0,1222.0
95.0,15.0,9.0,1.0,21.0,75.0,0.0,17.0,766.0,0.0,0.0,14.0,1833.0,1.0,1681.0,1852.0,1881.0,1739.0
55.0,7.0,7.0,0.0,4.0,31.0,0.0,6.0,420.0,0.0,1.0,3.0,1669.0,0.0,1376.0,2297.0,1874.0,2250.0
11.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,238.0,0.0,0.0,0.0,1423.0,0.0,1020.0,2502.0,1504.0,3290.0
