Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Athletic Club,Real Sociedad,Osasuna,Rayo Vallecano,Valencia,Espanyol,Elche,Mallorca,Girona,Alavés,Sevilla,Levante,Real Oviedo
9999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9997.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,9386.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,612.0,9388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9649.0,226.0,5.0,3.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,321.0,6816.0,521.0,355.0,1639.0,231.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,26.0,1959.0,1778.0,980.0,3546.0,1019.0,596.0,16.0,33.0,14.0,28.0,5.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,620.0,2336.0,1795.0,1991.0,1747.0,1161.0,62.0,104.0,52.0,105.0,23.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,262.0,1985.0,2092.0,1233.0,1911.0,1722.0,108.0,210.0,172.0,200.0,91.0,12.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,84.0,1603.0,2004.0,747.0,1896.0,1899.0,211.0,399.0,418.0,491.0,212.0,29.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,30.0,1071.0,1540.0,387.0,1556.0,2092.0,449.0,694.0,817.0,825.0,433.0,74.0,30.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,460.0,693.0,186.0,877.0,1170.0,965.0,1213.0,1751.0,1551.0,771.0,270.0,79.0,11.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,182.0,337.0,90.0,439.0,626.0,1349.0,1559.0,1763.0,1873.0,1155.0,457.0,156.0,14.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,48.0,147.0,39.0,221.0,344.0,1748.0,1690.0,1604.0,1687.0,1359.0,759.0,297.0,57.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,44.0,16.0,79.0,191.0,1892.0,1652.0,1319.0,1429.0,1658.0,1112.0,451.0,147.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,8.0,22.0,75.0,1819.0,1283.0,1006.0,1023.0,1982.0,1665.0,820.0,285.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,1033.0,797.0,731.0,527.0,1596.0,2803.0,1765.0,732.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,332.0,302.0,217.0,606.0,2074.0,4003.0,2107.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,34.0,51.0,43.0,109.0,730.0,2341.0,6381.0,289.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,49.0,264.0,9671.0
