Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Red Bull Bragantino,Coritiba,Vitória,Botafogo,Atlético-MG,Internacional,Vasco da Gama,Grêmio,Cruzeiro,Santos,Corinthians,Mirassol,Remo,Chapecoense
7580.0,2062.0,203.0,98.0,54.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978.0,5604.0,1101.0,763.0,422.0,42.0,45.0,28.0,0.0,3.0,2.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
339.0,1501.0,3131.0,2446.0,1540.0,291.0,323.0,174.0,18.0,20.0,23.0,58.0,48.0,61.0,12.0,10.0,5.0,0.0,0.0,0.0
89.0,581.0,2381.0,2481.0,2074.0,641.0,644.0,414.0,69.0,76.0,63.0,149.0,148.0,132.0,28.0,25.0,3.0,0.0,2.0,0.0
10.0,170.0,1440.0,1716.0,2201.0,1202.0,1093.0,712.0,147.0,166.0,158.0,275.0,294.0,275.0,48.0,64.0,26.0,0.0,3.0,0.0
3.0,58.0,769.0,1025.0,1308.0,1492.0,1484.0,1091.0,291.0,355.0,337.0,507.0,514.0,449.0,109.0,124.0,74.0,6.0,4.0,0.0
1.0,12.0,426.0,589.0,828.0,1350.0,1413.0,1259.0,473.0,547.0,475.0,767.0,696.0,637.0,159.0,239.0,112.0,8.0,9.0,0.0
0.0,5.0,238.0,355.0,556.0,1195.0,1239.0,1211.0,603.0,670.0,660.0,932.0,824.0,751.0,257.0,296.0,163.0,21.0,24.0,0.0
0.0,4.0,138.0,199.0,368.0,1000.0,977.0,1057.0,762.0,793.0,773.0,1009.0,980.0,915.0,321.0,405.0,239.0,33.0,27.0,0.0
0.0,2.0,90.0,134.0,222.0,817.0,812.0,925.0,816.0,950.0,858.0,991.0,942.0,909.0,507.0,519.0,372.0,81.0,53.0,0.0
0.0,1.0,43.0,78.0,160.0,648.0,632.0,818.0,973.0,951.0,913.0,949.0,1022.0,962.0,535.0,658.0,482.0,99.0,76.0,0.0
0.0,0.0,19.0,57.0,105.0,436.0,466.0,628.0,1043.0,1006.0,999.0,947.0,945.0,988.0,672.0,800.0,596.0,163.0,130.0,0.0
0.0,0.0,8.0,22.0,62.0,326.0,336.0,551.0,1078.0,983.0,1013.0,863.0,904.0,945.0,777.0,914.0,800.0,225.0,192.0,1.0
0.0,0.0,8.0,20.0,55.0,230.0,205.0,436.0,1027.0,934.0,993.0,771.0,770.0,862.0,902.0,1106.0,1009.0,398.0,274.0,0.0
0.0,0.0,3.0,11.0,20.0,153.0,158.0,291.0,914.0,881.0,925.0,644.0,694.0,773.0,1156.0,1143.0,1236.0,587.0,406.0,5.0
0.0,0.0,2.0,5.0,14.0,102.0,103.0,211.0,764.0,708.0,807.0,529.0,555.0,599.0,1294.0,1277.0,1456.0,867.0,694.0,13.0
0.0,0.0,0.0,1.0,6.0,46.0,44.0,125.0,596.0,529.0,592.0,356.0,354.0,419.0,1424.0,1156.0,1614.0,1537.0,1173.0,28.0
0.0,0.0,0.0,0.0,4.0,21.0,22.0,53.0,312.0,315.0,297.0,185.0,210.0,243.0,1151.0,857.0,1217.0,2659.0,2347.0,107.0
0.0,0.0,0.0,0.0,1.0,6.0,3.0,16.0,110.0,109.0,106.0,63.0,95.0,71.0,627.0,382.0,564.0,3044.0,4109.0,694.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,1.0,2.0,5.0,20.0,25.0,32.0,272.0,477.0,9152.0
