Arsenal,Manchester City,Manchester United,Liverpool,Aston Villa,AFC Bournemouth,Brentford,Brighton & Hove Albion,Chelsea,Fulham,Everton,Sunderland,Newcastle United,Leeds United,Crystal Palace,Nottingham Forest,Tottenham Hotspur,West Ham United,Burnley,Wolverhampton Wanderers
8284.0,1716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716.0,8284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9780.0,167.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,220.0,6606.0,3162.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3047.0,6334.0,140.0,105.0,214.0,145.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,166.0,410.0,2482.0,1435.0,2859.0,1826.0,424.0,374.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,13.0,39.0,2175.0,1863.0,2500.0,1835.0,833.0,618.0,105.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,2.0,1868.0,2196.0,1833.0,1677.0,1092.0,1007.0,213.0,97.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1490.0,2112.0,1350.0,1486.0,1474.0,1370.0,442.0,241.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1206.0,1383.0,757.0,1265.0,1913.0,1978.0,803.0,540.0,94.0,54.0,7.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,581.0,740.0,374.0,940.0,2104.0,2231.0,1283.0,1284.0,271.0,146.0,46.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,55.0,143.0,94.0,526.0,1300.0,1355.0,2635.0,2318.0,944.0,457.0,173.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,20.0,17.0,236.0,665.0,736.0,2384.0,2842.0,1716.0,944.0,435.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,49.0,171.0,233.0,1542.0,1705.0,3173.0,2002.0,1079.0,38.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,79.0,518.0,760.0,2452.0,3750.0,2224.0,163.0,26.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,51.0,192.0,1214.0,2480.0,4731.0,1060.0,265.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,118.0,127.0,1159.0,6466.0,2126.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,146.0,2269.0,7578.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7736.0,2264.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2264.0,7736.0
