Coventry City,Middlesbrough,Ipswich Town,Millwall,Hull City,Southampton,Wrexham,Derby County,Watford,Norwich City,Birmingham City,Queens Park Rangers,Preston North End,Swansea City,Stoke City,Bristol City,Sheffield United,Charlton Athletic,Blackburn Rovers,West Bromwich Albion,Portsmouth,Leicester City,Oxford United,Sheffield Wednesday
9886.0,49.0,62.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108.0,4314.0,4737.0,765.0,42.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,3892.0,3423.0,2080.0,250.0,305.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1396.0,1281.0,4537.0,1096.0,1322.0,311.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,289.0,356.0,1761.0,2809.0,3123.0,1270.0,362.0,22.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,52.0,117.0,670.0,3078.0,2704.0,2294.0,925.0,85.0,56.0,10.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,22.0,159.0,1830.0,1578.0,3473.0,2109.0,398.0,206.0,94.0,34.0,14.0,7.0,35.0,5.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,23.0,735.0,701.0,1832.0,3819.0,1191.0,723.0,331.0,147.0,64.0,60.0,154.0,46.0,143.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,2.0,128.0,195.0,522.0,1543.0,2669.0,1760.0,990.0,429.0,282.0,221.0,453.0,190.0,502.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,25.0,33.0,169.0,644.0,1974.0,1931.0,1269.0,667.0,550.0,448.0,834.0,373.0,848.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.0,8.0,63.0,291.0,1290.0,1466.0,1422.0,898.0,793.0,673.0,1168.0,552.0,1022.0,345.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,14.0,141.0,894.0,1161.0,1406.0,1091.0,874.0,774.0,1243.0,705.0,1238.0,453.0,1.0,2.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,69.0,598.0,891.0,1180.0,1150.0,1074.0,948.0,1357.0,856.0,1217.0,631.0,6.0,19.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,404.0,670.0,1058.0,1171.0,1164.0,1160.0,1256.0,1047.0,1184.0,814.0,8.0,27.0,4.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,230.0,498.0,871.0,1216.0,1246.0,1241.0,1207.0,1158.0,1164.0,1037.0,22.0,75.0,18.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,152.0,336.0,653.0,1170.0,1308.0,1463.0,938.0,1447.0,999.0,1276.0,38.0,155.0,25.0,36.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,194.0,434.0,1077.0,1290.0,1456.0,743.0,1558.0,843.0,1743.0,110.0,322.0,76.0,77.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,90.0,224.0,796.0,1002.0,1216.0,460.0,1513.0,607.0,2294.0,357.0,874.0,193.0,308.0,43.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,51.0,137.0,287.0,290.0,123.0,455.0,179.0,735.0,1962.0,2924.0,901.0,1602.0,343.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,12.0,48.0,38.0,22.0,87.0,27.0,219.0,2316.0,2580.0,1556.0,2175.0,914.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,6.0,1.0,61.0,2339.0,1788.0,2017.0,2154.0,1621.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,1900.0,912.0,2364.0,2085.0,2726.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.0,320.0,2843.0,1552.0,4344.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
