Bayern Munich,Borussia Dortmund,VfB Stuttgart,RB Leipzig,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,1. FC Union Berlin,FC Augsburg,Mainz,Hamburg SV,Borussia Mönchengladbach,Werder Bremen,FC Cologne,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9996.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,9839.0,107.0,19.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,136.0,5065.0,2725.0,1806.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,19.0,2757.0,3866.0,2500.0,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1522.0,2455.0,3813.0,2207.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,549.0,934.0,1848.0,6592.0,62.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,3.0,72.0,6068.0,3258.0,244.0,138.0,100.0,67.0,44.0,3.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,2805.0,4928.0,786.0,422.0,549.0,277.0,181.0,18.0,31.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,742.0,1219.0,2454.0,1344.0,2033.0,951.0,907.0,136.0,199.0,15.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,218.0,412.0,2089.0,1634.0,2126.0,1468.0,1266.0,326.0,425.0,36.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,74.0,129.0,1617.0,1677.0,1803.0,1762.0,1507.0,573.0,744.0,107.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,23.0,31.0,1193.0,1593.0,1356.0,1865.0,1592.0,999.0,1111.0,220.0,17.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,813.0,1386.0,1012.0,1539.0,1703.0,1407.0,1664.0,409.0,55.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,509.0,1075.0,613.0,1178.0,1545.0,2022.0,2129.0,812.0,113.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,596.0,317.0,683.0,933.0,2989.0,2104.0,1774.0,367.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,131.0,88.0,201.0,292.0,1374.0,1376.0,4902.0,1556.0,25.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,9.0,30.0,152.0,213.0,1678.0,7549.0,359.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,46.0,336.0,9615.0
