Internazionale,AC Milan,Napoli,Como,Juventus,AS Roma,Atalanta,Lazio,Bologna,Sassuolo,Udinese,Parma,Genoa,Torino,Cagliari,Fiorentina,Cremonese,Lecce,Hellas Verona,Pisa
9725.0,197.0,63.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254.0,5847.0,2624.0,1159.0,99.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,2556.0,3830.0,2879.0,534.0,179.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1081.0,2380.0,3905.0,1755.0,842.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,282.0,853.0,1500.0,4501.0,2544.0,319.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,36.0,243.0,505.0,2687.0,5338.0,1182.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,7.0,37.0,422.0,1063.0,8028.0,303.0,105.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,17.0,375.0,6091.0,1913.0,855.0,735.0,0.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,51.0,2183.0,3858.0,2167.0,1612.0,15.0,52.0,55.0,3.0,3.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,964.0,2541.0,3196.0,2700.0,74.0,254.0,201.0,15.0,45.0,0.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,1335.0,2717.0,3593.0,248.0,837.0,604.0,79.0,161.0,4.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,217.0,719.0,949.0,1258.0,3161.0,2033.0,509.0,980.0,59.0,83.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,218.0,292.0,1976.0,2314.0,2361.0,986.0,1461.0,163.0,204.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,78.0,84.0,2348.0,1563.0,1843.0,1461.0,1877.0,324.0,413.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,18.0,2080.0,1012.0,1444.0,1862.0,2045.0,701.0,812.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1418.0,552.0,948.0,2480.0,1766.0,1445.0,1377.0,1.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,485.0,204.0,397.0,1731.0,1173.0,3114.0,2852.0,5.0,38.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,48.0,108.0,869.0,482.0,4042.0,4125.0,19.0,209.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,143.0,119.0,3504.0,6225.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6471.0,3521.0
