Paris Saint-Germain,Lens,Marseille,Lyon,Lille,AS Monaco,Stade Rennais,Strasbourg,Toulouse,Lorient,Brest,Angers,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
9324.0,676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
675.0,9220.0,89.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,98.0,6457.0,841.0,1462.0,940.0,182.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,2011.0,2427.0,2933.0,1966.0,541.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,879.0,2715.0,2418.0,2394.0,1159.0,430.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,402.0,2175.0,1954.0,2414.0,2048.0,971.0,12.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,141.0,1420.0,953.0,1550.0,3579.0,2133.0,71.0,132.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,21.0,383.0,256.0,674.0,2255.0,4497.0,598.0,1021.0,284.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,33.0,14.0,51.0,208.0,1192.0,2886.0,3787.0,1609.0,75.0,138.0,6.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,5.0,0.0,6.0,21.0,464.0,3220.0,2948.0,2693.0,227.0,385.0,26.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,154.0,2517.0,1648.0,3743.0,724.0,1075.0,98.0,33.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,572.0,358.0,1209.0,2974.0,3824.0,705.0,315.0,22.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,113.0,77.0,380.0,3746.0,2957.0,1611.0,957.0,157.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,53.0,1721.0,1255.0,3589.0,2648.0,711.0,3.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,490.0,331.0,2998.0,4093.0,2053.0,26.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,28.0,957.0,1917.0,6419.0,581.0,59.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,611.0,7291.0,2058.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,2099.0,7874.0
