Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Athletic Club,Osasuna,Espanyol,Valencia,Girona,Rayo Vallecano,Sevilla,Alavés,Elche,Mallorca,Levante,Real Oviedo
8469.0,1530.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1529.0,8448.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,6265.0,3711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3710.0,6277.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,7.0,6964.0,1503.0,951.0,187.0,78.0,219.0,49.0,18.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1857.0,3797.0,2070.0,717.0,354.0,748.0,202.0,137.0,44.0,62.0,4.0,5.0,2.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,723.0,2405.0,2414.0,1352.0,672.0,1290.0,498.0,272.0,152.0,196.0,6.0,15.0,2.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,274.0,1146.0,1708.0,1785.0,1140.0,1833.0,853.0,477.0,293.0,391.0,23.0,54.0,13.0,10.0,0.0,0.0
0.0,0.0,0.0,0.0,116.0,585.0,1125.0,1745.0,1478.0,1698.0,1110.0,710.0,493.0,684.0,48.0,116.0,70.0,21.0,1.0,0.0
0.0,0.0,0.0,0.0,38.0,311.0,713.0,1457.0,1522.0,1370.0,1457.0,1018.0,753.0,924.0,73.0,190.0,116.0,52.0,6.0,0.0
0.0,0.0,0.0,0.0,12.0,144.0,432.0,1093.0,1426.0,1044.0,1476.0,1293.0,977.0,1190.0,158.0,408.0,211.0,123.0,13.0,0.0
0.0,0.0,0.0,0.0,3.0,58.0,286.0,745.0,1229.0,748.0,1447.0,1463.0,1261.0,1310.0,282.0,608.0,336.0,201.0,23.0,0.0
0.0,0.0,0.0,0.0,0.0,33.0,147.0,438.0,948.0,509.0,1175.0,1393.0,1499.0,1373.0,477.0,992.0,588.0,372.0,56.0,0.0
0.0,0.0,0.0,0.0,0.0,14.0,95.0,284.0,612.0,317.0,881.0,1265.0,1425.0,1317.0,796.0,1370.0,910.0,594.0,119.0,1.0
0.0,0.0,0.0,0.0,0.0,3.0,46.0,122.0,333.0,135.0,489.0,943.0,1313.0,1037.0,1330.0,1698.0,1330.0,952.0,267.0,2.0
0.0,0.0,0.0,0.0,0.0,1.0,9.0,57.0,149.0,61.0,227.0,565.0,903.0,739.0,1866.0,1676.0,1738.0,1419.0,578.0,12.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,52.0,23.0,102.0,300.0,563.0,458.0,2154.0,1457.0,1954.0,1847.0,1039.0,35.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,4.0,28.0,121.0,265.0,239.0,1869.0,1059.0,1769.0,2558.0,1945.0,131.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,24.0,53.0,68.0,875.0,333.0,895.0,1722.0,5397.0,625.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,39.0,19.0,66.0,125.0,556.0,9194.0
