Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Red Bull Bragantino,Vasco da Gama,Coritiba,Vitória,Cruzeiro,Botafogo,Atlético-MG,Internacional,Santos,Corinthians,Grêmio,Mirassol,Remo,Chapecoense
6453.0,3320.0,140.0,61.0,22.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3043.0,5477.0,837.0,345.0,179.0,24.0,20.0,22.0,21.0,5.0,4.0,3.0,2.0,12.0,3.0,1.0,2.0,0.0,0.0,0.0
400.0,871.0,3762.0,2088.0,1392.0,252.0,208.0,231.0,296.0,76.0,74.0,59.0,40.0,107.0,80.0,32.0,31.0,1.0,0.0,0.0
77.0,224.0,2121.0,2442.0,1791.0,510.0,502.0,501.0,571.0,132.0,203.0,171.0,132.0,293.0,169.0,81.0,77.0,3.0,0.0,0.0
21.0,70.0,1192.0,1698.0,1725.0,785.0,753.0,735.0,819.0,259.0,290.0,316.0,235.0,441.0,313.0,189.0,151.0,5.0,3.0,0.0
2.0,27.0,719.0,1001.0,1278.0,1004.0,899.0,914.0,909.0,423.0,425.0,462.0,347.0,634.0,475.0,248.0,221.0,9.0,3.0,0.0
4.0,5.0,397.0,717.0,914.0,1053.0,930.0,911.0,933.0,506.0,535.0,556.0,438.0,757.0,632.0,352.0,319.0,26.0,15.0,0.0
0.0,3.0,296.0,506.0,669.0,973.0,954.0,950.0,994.0,613.0,595.0,637.0,524.0,775.0,644.0,454.0,367.0,28.0,18.0,0.0
0.0,2.0,180.0,359.0,548.0,840.0,936.0,889.0,934.0,682.0,627.0,743.0,586.0,861.0,739.0,549.0,443.0,55.0,25.0,2.0
0.0,1.0,140.0,231.0,409.0,852.0,836.0,818.0,807.0,790.0,685.0,886.0,657.0,841.0,785.0,589.0,557.0,80.0,36.0,0.0
0.0,0.0,86.0,195.0,312.0,803.0,759.0,790.0,742.0,804.0,712.0,880.0,726.0,778.0,827.0,746.0,663.0,103.0,74.0,0.0
0.0,0.0,56.0,126.0,238.0,687.0,701.0,658.0,669.0,869.0,789.0,897.0,814.0,830.0,810.0,817.0,768.0,170.0,100.0,1.0
0.0,0.0,33.0,96.0,179.0,602.0,645.0,651.0,604.0,919.0,829.0,839.0,903.0,755.0,894.0,907.0,750.0,229.0,164.0,1.0
0.0,0.0,19.0,52.0,143.0,489.0,564.0,574.0,522.0,916.0,826.0,888.0,889.0,748.0,882.0,970.0,961.0,323.0,230.0,4.0
0.0,0.0,10.0,38.0,96.0,424.0,483.0,500.0,444.0,878.0,925.0,776.0,950.0,685.0,791.0,1055.0,1040.0,545.0,354.0,6.0
0.0,0.0,10.0,25.0,60.0,327.0,360.0,377.0,337.0,806.0,879.0,776.0,1045.0,614.0,755.0,1078.0,1173.0,816.0,529.0,33.0
0.0,0.0,1.0,13.0,31.0,241.0,259.0,274.0,234.0,697.0,861.0,591.0,928.0,470.0,633.0,1002.0,1250.0,1380.0,1044.0,91.0
0.0,0.0,1.0,6.0,11.0,103.0,155.0,156.0,130.0,445.0,514.0,371.0,568.0,285.0,392.0,675.0,854.0,2872.0,2153.0,309.0
0.0,0.0,0.0,0.0,3.0,28.0,34.0,45.0,32.0,170.0,220.0,135.0,199.0,104.0,162.0,234.0,336.0,2743.0,4329.0,1226.0
0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,10.0,7.0,14.0,17.0,9.0,14.0,21.0,37.0,612.0,923.0,8327.0
