Arsenal,Manchester City,Manchester United,Liverpool,Aston Villa,AFC Bournemouth,Brentford,Brighton & Hove Albion,Chelsea,Everton,Fulham,Sunderland,Newcastle United,Leeds United,Crystal Palace,Nottingham Forest,Tottenham Hotspur,West Ham United,Burnley,Wolverhampton Wanderers
9046.0,954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
954.0,9042.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,9737.0,207.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,258.0,6624.0,3107.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,3040.0,6487.0,158.0,102.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,124.0,335.0,3030.0,1846.0,3513.0,283.0,308.0,524.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.0,18.0,2452.0,2361.0,2631.0,746.0,717.0,898.0,144.0,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1717.0,2575.0,1676.0,1182.0,1275.0,1162.0,300.0,99.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1253.0,1552.0,1033.0,1831.0,1839.0,1526.0,650.0,263.0,22.0,31.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,923.0,1020.0,566.0,1997.0,2043.0,1821.0,860.0,579.0,107.0,56.0,28.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,428.0,466.0,281.0,1911.0,1994.0,1914.0,1227.0,1247.0,264.0,139.0,129.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,32.0,66.0,70.0,1224.0,1087.0,1220.0,2264.0,2179.0,881.0,404.0,573.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,619.0,521.0,625.0,2213.0,2570.0,1430.0,829.0,1171.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,186.0,177.0,244.0,1507.0,1667.0,2525.0,1568.0,2099.0,21.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,36.0,61.0,647.0,959.0,2599.0,2699.0,2851.0,115.0,12.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,154.0,404.0,1996.0,4079.0,2907.0,401.0,51.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,172.0,180.0,234.0,7254.0,2154.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,2209.0,7781.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7653.0,2347.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2347.0,7653.0
