Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Red Bull Bragantino,Coritiba,Vitória,Botafogo,Atlético-MG,Internacional,Vasco da Gama,Grêmio,Cruzeiro,Santos,Corinthians,Mirassol,Remo,Chapecoense
7884.0,1824.0,172.0,79.0,33.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762.0,5777.0,1124.0,781.0,413.0,65.0,41.0,16.0,1.0,1.0,1.0,10.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
287.0,1513.0,3112.0,2566.0,1613.0,276.0,278.0,133.0,14.0,14.0,29.0,41.0,40.0,77.0,3.0,3.0,1.0,0.0,0.0,0.0
50.0,553.0,2443.0,2531.0,2101.0,630.0,671.0,340.0,56.0,67.0,78.0,136.0,122.0,183.0,18.0,17.0,3.0,0.0,1.0,0.0
10.0,223.0,1526.0,1707.0,2083.0,1138.0,1121.0,612.0,134.0,165.0,192.0,313.0,267.0,399.0,54.0,30.0,24.0,2.0,0.0,0.0
5.0,65.0,706.0,957.0,1342.0,1537.0,1525.0,917.0,297.0,333.0,338.0,536.0,525.0,651.0,105.0,100.0,52.0,9.0,0.0,0.0
2.0,26.0,401.0,539.0,860.0,1434.0,1416.0,1147.0,455.0,512.0,495.0,726.0,695.0,795.0,190.0,158.0,123.0,13.0,13.0,0.0
0.0,11.0,250.0,349.0,534.0,1235.0,1207.0,1176.0,567.0,681.0,640.0,865.0,822.0,913.0,268.0,256.0,178.0,28.0,20.0,0.0
0.0,5.0,120.0,222.0,361.0,956.0,1087.0,1023.0,747.0,829.0,804.0,976.0,970.0,930.0,316.0,331.0,242.0,31.0,50.0,0.0
0.0,2.0,68.0,104.0,252.0,757.0,789.0,1001.0,871.0,897.0,872.0,1033.0,1039.0,985.0,415.0,447.0,341.0,78.0,48.0,1.0
0.0,1.0,35.0,80.0,169.0,598.0,564.0,936.0,969.0,952.0,995.0,965.0,997.0,958.0,588.0,551.0,465.0,101.0,76.0,0.0
0.0,0.0,17.0,45.0,102.0,507.0,449.0,712.0,1068.0,998.0,1035.0,924.0,974.0,905.0,683.0,681.0,647.0,145.0,108.0,0.0
0.0,0.0,17.0,23.0,69.0,308.0,320.0,571.0,1080.0,976.0,1034.0,878.0,885.0,867.0,836.0,891.0,813.0,229.0,202.0,1.0
0.0,0.0,6.0,10.0,39.0,245.0,214.0,484.0,1010.0,961.0,995.0,785.0,796.0,724.0,1016.0,1009.0,1004.0,370.0,328.0,4.0
0.0,0.0,3.0,1.0,15.0,152.0,153.0,394.0,943.0,878.0,815.0,641.0,709.0,621.0,1112.0,1226.0,1302.0,586.0,445.0,4.0
0.0,0.0,0.0,5.0,12.0,93.0,99.0,283.0,788.0,766.0,761.0,523.0,501.0,471.0,1330.0,1314.0,1404.0,918.0,721.0,11.0
0.0,0.0,0.0,1.0,1.0,40.0,35.0,165.0,572.0,542.0,515.0,400.0,372.0,317.0,1330.0,1395.0,1542.0,1513.0,1226.0,34.0
0.0,0.0,0.0,0.0,1.0,22.0,19.0,69.0,316.0,307.0,301.0,187.0,212.0,157.0,1139.0,1012.0,1200.0,2640.0,2294.0,124.0
0.0,0.0,0.0,0.0,0.0,4.0,8.0,20.0,110.0,117.0,96.0,60.0,69.0,39.0,577.0,551.0,626.0,3070.0,4064.0,589.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,20.0,28.0,33.0,267.0,404.0,9232.0
