Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Atlético-MG,Coritiba,Red Bull Bragantino,Santos,São Paulo,Vitória,Corinthians,Botafogo,Grêmio,Mirassol,Vasco da Gama,Internacional,Remo,Chapecoense
3073.0,6925.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6829.0,3044.0,90.0,27.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.0,30.0,5229.0,2433.0,1008.0,904.0,262.0,7.0,17.0,1.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.0,2526.0,3079.0,1739.0,1783.0,642.0,35.0,61.0,20.0,47.0,0.0,2.0,59.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1229.0,2162.0,2302.0,2310.0,1259.0,139.0,206.0,75.0,104.0,6.0,10.0,189.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,0.0,596.0,1336.0,2092.0,2114.0,1984.0,330.0,488.0,223.0,261.0,27.0,47.0,464.0,1.0,35.0,2.0,0.0,0.0,0.0
0.0,0.0,216.0,581.0,1457.0,1525.0,2332.0,730.0,966.0,469.0,547.0,49.0,132.0,867.0,7.0,104.0,14.0,4.0,0.0,0.0
0.0,0.0,77.0,226.0,697.0,710.0,1421.0,1348.0,1517.0,817.0,1011.0,121.0,297.0,1403.0,27.0,279.0,37.0,12.0,0.0,0.0
0.0,0.0,24.0,100.0,354.0,362.0,891.0,1495.0,1586.0,1047.0,1339.0,223.0,501.0,1461.0,53.0,438.0,97.0,28.0,1.0,0.0
0.0,0.0,9.0,40.0,202.0,167.0,552.0,1472.0,1526.0,1181.0,1408.0,360.0,719.0,1434.0,109.0,607.0,152.0,59.0,3.0,0.0
0.0,0.0,2.0,11.0,95.0,70.0,336.0,1432.0,1158.0,1347.0,1403.0,523.0,992.0,1199.0,187.0,821.0,245.0,172.0,7.0,0.0
0.0,0.0,0.0,3.0,30.0,37.0,166.0,1133.0,908.0,1326.0,1198.0,779.0,1268.0,1010.0,362.0,1047.0,429.0,285.0,19.0,0.0
0.0,0.0,0.0,2.0,12.0,8.0,89.0,804.0,660.0,1193.0,944.0,1059.0,1401.0,782.0,543.0,1322.0,667.0,476.0,38.0,0.0
0.0,0.0,0.0,0.0,6.0,3.0,44.0,554.0,435.0,936.0,705.0,1425.0,1426.0,501.0,824.0,1448.0,920.0,705.0,68.0,0.0
0.0,0.0,0.0,0.0,2.0,1.0,20.0,283.0,244.0,665.0,503.0,1559.0,1221.0,327.0,1228.0,1326.0,1279.0,1186.0,156.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,160.0,135.0,395.0,295.0,1526.0,952.0,165.0,1675.0,1096.0,1740.0,1537.0,322.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,73.0,217.0,169.0,1318.0,638.0,87.0,1936.0,822.0,1941.0,2058.0,679.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17.0,75.0,56.0,851.0,316.0,33.0,2052.0,494.0,1760.0,2457.0,1845.0,26.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,13.0,6.0,174.0,78.0,7.0,981.0,150.0,713.0,1015.0,6499.0,359.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,4.0,6.0,363.0,9611.0
