Arsenal,Manchester City,Hull City,Chelsea,Brentford,Liverpool,Everton,Ipswich Town,Newcastle United,Leeds United,Nottingham Forest,Brighton & Hove Albion,Manchester United,Sunderland,AFC Bournemouth,Crystal Palace,Tottenham Hotspur,Fulham,Aston Villa,Coventry City
6138.0,3320.0,1.0,58.0,59.0,73.0,16.0,0.0,23.0,12.0,16.0,52.0,216.0,2.0,13.0,0.0,0.0,1.0,0.0,0.0
2858.0,4504.0,22.0,269.0,285.0,414.0,132.0,1.0,157.0,149.0,93.0,290.0,684.0,24.0,89.0,4.0,2.0,10.0,13.0,0.0
631.0,1174.0,160.0,849.0,847.0,1150.0,465.0,5.0,555.0,442.0,382.0,923.0,1728.0,109.0,385.0,29.0,15.0,44.0,107.0,0.0
206.0,469.0,246.0,970.0,996.0,1202.0,585.0,7.0,647.0,565.0,585.0,1003.0,1432.0,177.0,507.0,48.0,39.0,102.0,214.0,0.0
83.0,233.0,329.0,937.0,928.0,1059.0,666.0,19.0,759.0,680.0,659.0,1041.0,1147.0,260.0,643.0,77.0,54.0,138.0,288.0,0.0
42.0,117.0,435.0,903.0,946.0,974.0,659.0,33.0,813.0,734.0,689.0,984.0,950.0,266.0,685.0,104.0,82.0,194.0,390.0,0.0
20.0,72.0,509.0,904.0,858.0,883.0,781.0,36.0,778.0,756.0,716.0,865.0,822.0,346.0,740.0,158.0,127.0,237.0,392.0,0.0
12.0,42.0,560.0,853.0,776.0,779.0,765.0,60.0,804.0,749.0,765.0,809.0,686.0,438.0,694.0,220.0,174.0,309.0,504.0,1.0
4.0,24.0,643.0,741.0,721.0,670.0,774.0,92.0,769.0,744.0,781.0,779.0,565.0,516.0,731.0,265.0,248.0,367.0,565.0,1.0
5.0,16.0,686.0,657.0,709.0,589.0,808.0,120.0,761.0,769.0,756.0,607.0,452.0,599.0,782.0,345.0,271.0,460.0,607.0,1.0
1.0,15.0,733.0,560.0,632.0,512.0,748.0,187.0,714.0,698.0,754.0,591.0,325.0,723.0,812.0,428.0,362.0,505.0,698.0,2.0
0.0,5.0,772.0,535.0,501.0,443.0,699.0,247.0,649.0,748.0,727.0,518.0,296.0,738.0,795.0,499.0,490.0,613.0,720.0,5.0
0.0,4.0,831.0,448.0,477.0,360.0,662.0,335.0,606.0,710.0,665.0,408.0,228.0,808.0,681.0,629.0,580.0,749.0,816.0,3.0
0.0,2.0,865.0,379.0,395.0,305.0,611.0,459.0,517.0,641.0,643.0,329.0,161.0,939.0,620.0,790.0,700.0,815.0,813.0,16.0
0.0,3.0,790.0,335.0,295.0,213.0,532.0,630.0,469.0,529.0,578.0,242.0,114.0,934.0,592.0,939.0,942.0,979.0,850.0,34.0
0.0,0.0,746.0,267.0,223.0,165.0,423.0,931.0,383.0,403.0,486.0,232.0,95.0,957.0,493.0,1087.0,1098.0,1082.0,867.0,62.0
0.0,0.0,721.0,185.0,165.0,114.0,329.0,1319.0,288.0,331.0,324.0,181.0,56.0,860.0,336.0,1291.0,1346.0,1175.0,831.0,148.0
0.0,0.0,567.0,101.0,125.0,68.0,208.0,1871.0,204.0,208.0,244.0,105.0,31.0,754.0,258.0,1461.0,1543.0,1144.0,716.0,392.0
0.0,0.0,351.0,47.0,55.0,24.0,128.0,2869.0,91.0,118.0,121.0,39.0,12.0,462.0,130.0,1352.0,1564.0,930.0,524.0,1183.0
0.0,0.0,33.0,2.0,7.0,3.0,9.0,779.0,13.0,14.0,16.0,2.0,0.0,88.0,14.0,274.0,363.0,146.0,85.0,8152.0
