West Ham United,Swansea City,West Bromwich Albion,Middlesbrough,Queens Park Rangers,Charlton Athletic,Southampton,Birmingham City,Stoke City,Bristol City,Norwich City,Millwall,Sheffield United,Wolverhampton Wanderers,Blackburn Rovers,Lincoln City,Watford,Portsmouth,Wrexham,Bolton Wanderers,Cardiff City,Derby County,Preston North End,Burnley
7178.0,109.0,27.0,566.0,2.0,1.0,638.0,17.0,7.0,12.0,42.0,85.0,19.0,1285.0,1.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0
1739.0,482.0,144.0,1710.0,50.0,20.0,1958.0,149.0,32.0,107.0,197.0,351.0,112.0,2873.0,5.0,0.0,7.0,6.0,43.0,0.0,0.0,9.0,0.0,6.0
612.0,759.0,310.0,1897.0,162.0,49.0,1992.0,300.0,98.0,240.0,456.0,650.0,250.0,1995.0,18.0,2.0,20.0,21.0,95.0,0.0,0.0,47.0,1.0,26.0
270.0,1032.0,483.0,1575.0,231.0,123.0,1584.0,482.0,177.0,404.0,637.0,946.0,378.0,1261.0,53.0,2.0,45.0,42.0,167.0,0.0,0.0,65.0,3.0,40.0
117.0,1099.0,649.0,1107.0,368.0,175.0,1103.0,679.0,273.0,501.0,805.0,1049.0,509.0,853.0,105.0,4.0,62.0,85.0,245.0,0.0,2.0,118.0,14.0,78.0
40.0,1042.0,725.0,849.0,476.0,272.0,845.0,762.0,376.0,609.0,856.0,980.0,634.0,509.0,157.0,5.0,90.0,112.0,346.0,0.0,1.0,171.0,22.0,121.0
24.0,920.0,779.0,601.0,549.0,324.0,524.0,842.0,428.0,686.0,874.0,949.0,662.0,386.0,208.0,38.0,172.0,161.0,405.0,6.0,2.0,238.0,34.0,188.0
7.0,833.0,811.0,485.0,585.0,453.0,389.0,791.0,493.0,699.0,839.0,823.0,748.0,248.0,236.0,34.0,218.0,214.0,482.0,4.0,6.0,308.0,45.0,249.0
8.0,713.0,848.0,321.0,643.0,479.0,304.0,760.0,631.0,748.0,748.0,746.0,722.0,170.0,344.0,49.0,250.0,249.0,542.0,6.0,2.0,370.0,57.0,290.0
3.0,619.0,740.0,256.0,713.0,504.0,186.0,784.0,638.0,704.0,733.0,635.0,727.0,137.0,407.0,76.0,334.0,336.0,581.0,9.0,7.0,448.0,81.0,342.0
2.0,480.0,708.0,187.0,688.0,638.0,132.0,698.0,630.0,759.0,640.0,573.0,690.0,96.0,430.0,113.0,391.0,413.0,618.0,17.0,11.0,532.0,114.0,440.0
0.0,449.0,636.0,143.0,745.0,628.0,104.0,675.0,696.0,655.0,641.0,483.0,724.0,48.0,517.0,141.0,459.0,435.0,682.0,18.0,8.0,558.0,125.0,430.0
0.0,392.0,609.0,101.0,651.0,733.0,76.0,568.0,725.0,591.0,475.0,404.0,728.0,48.0,601.0,185.0,516.0,549.0,685.0,35.0,20.0,575.0,209.0,524.0
0.0,287.0,557.0,61.0,665.0,720.0,40.0,541.0,688.0,661.0,449.0,312.0,625.0,34.0,674.0,275.0,595.0,578.0,697.0,54.0,31.0,639.0,239.0,578.0
0.0,224.0,444.0,47.0,632.0,741.0,44.0,457.0,663.0,572.0,400.0,284.0,506.0,24.0,729.0,338.0,687.0,653.0,671.0,84.0,51.0,738.0,334.0,677.0
0.0,181.0,417.0,45.0,591.0,708.0,30.0,389.0,647.0,494.0,363.0,201.0,441.0,8.0,769.0,436.0,739.0,769.0,742.0,107.0,67.0,779.0,426.0,651.0
0.0,124.0,340.0,21.0,530.0,732.0,18.0,321.0,639.0,434.0,270.0,165.0,421.0,13.0,751.0,544.0,825.0,866.0,602.0,187.0,120.0,774.0,524.0,779.0
0.0,97.0,252.0,12.0,470.0,699.0,19.0,266.0,629.0,389.0,207.0,131.0,357.0,4.0,806.0,678.0,879.0,844.0,612.0,242.0,201.0,746.0,625.0,835.0
0.0,64.0,197.0,9.0,432.0,637.0,6.0,192.0,497.0,258.0,151.0,98.0,293.0,2.0,856.0,834.0,900.0,854.0,562.0,411.0,290.0,791.0,854.0,812.0
0.0,44.0,153.0,6.0,322.0,537.0,5.0,143.0,418.0,205.0,99.0,77.0,184.0,4.0,765.0,1109.0,875.0,870.0,471.0,571.0,468.0,682.0,1097.0,895.0
0.0,33.0,92.0,1.0,267.0,398.0,2.0,99.0,302.0,157.0,63.0,36.0,129.0,1.0,661.0,1369.0,805.0,821.0,371.0,937.0,776.0,590.0,1318.0,772.0
0.0,15.0,52.0,0.0,151.0,260.0,1.0,56.0,185.0,74.0,31.0,16.0,85.0,1.0,488.0,1553.0,622.0,607.0,217.0,1541.0,1395.0,447.0,1559.0,644.0
0.0,2.0,19.0,0.0,63.0,135.0,0.0,19.0,84.0,32.0,18.0,5.0,48.0,0.0,298.0,1389.0,367.0,376.0,116.0,2538.0,2496.0,262.0,1318.0,415.0
0.0,0.0,8.0,0.0,14.0,34.0,0.0,10.0,44.0,9.0,6.0,1.0,8.0,0.0,121.0,826.0,140.0,139.0,41.0,3233.0,4046.0,113.0,1001.0,206.0
