FC Porto,Benfica,Sporting CP,Santa Clara,Arouca,Estrela,Académico de Viseu,Gil Vicente,Braga,Maritimo,Alverca,Vitória de Guimaraes,C.D. Nacional,Moreirense,FC Famalicao,Rio Ave,Estoril,Casa Pia
4082.0,2754.0,3125.0,2.0,1.0,1.0,0.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3210.0,3239.0,3371.0,13.0,3.0,1.0,0.0,10.0,150.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2433.0,3523.0,3120.0,92.0,44.0,20.0,0.0,99.0,649.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,1.0,0.0
237.0,419.0,332.0,1320.0,910.0,341.0,26.0,1258.0,4565.0,12.0,34.0,24.0,33.0,14.0,422.0,8.0,45.0,0.0
31.0,50.0,47.0,2011.0,1507.0,788.0,96.0,1870.0,2057.0,56.0,146.0,86.0,102.0,90.0,898.0,24.0,140.0,1.0
6.0,13.0,4.0,1767.0,1629.0,1039.0,248.0,1711.0,1095.0,114.0,243.0,180.0,257.0,164.0,1204.0,42.0,283.0,1.0
0.0,0.0,1.0,1427.0,1433.0,1233.0,339.0,1413.0,672.0,200.0,400.0,295.0,428.0,301.0,1363.0,81.0,412.0,2.0
1.0,2.0,0.0,1041.0,1240.0,1295.0,513.0,1082.0,359.0,336.0,616.0,473.0,577.0,403.0,1282.0,161.0,612.0,7.0
0.0,0.0,0.0,769.0,973.0,1231.0,694.0,804.0,209.0,457.0,719.0,616.0,673.0,592.0,1261.0,278.0,700.0,24.0
0.0,0.0,0.0,556.0,698.0,1023.0,885.0,600.0,103.0,645.0,893.0,759.0,854.0,692.0,958.0,354.0,930.0,50.0
0.0,0.0,0.0,365.0,522.0,836.0,957.0,409.0,55.0,779.0,1029.0,885.0,1017.0,854.0,788.0,493.0,943.0,68.0
0.0,0.0,0.0,247.0,405.0,666.0,1062.0,311.0,29.0,948.0,1036.0,983.0,1058.0,925.0,585.0,626.0,1007.0,112.0
0.0,0.0,0.0,170.0,245.0,526.0,1131.0,179.0,14.0,1071.0,1054.0,1046.0,1058.0,1014.0,426.0,798.0,1067.0,201.0
0.0,0.0,0.0,102.0,184.0,401.0,1109.0,108.0,6.0,1163.0,1022.0,1099.0,1029.0,1104.0,334.0,1028.0,1003.0,308.0
0.0,0.0,0.0,59.0,112.0,280.0,1049.0,77.0,5.0,1230.0,966.0,1148.0,953.0,1172.0,226.0,1281.0,942.0,500.0
0.0,0.0,0.0,48.0,60.0,174.0,864.0,42.0,0.0,1260.0,887.0,1052.0,925.0,1169.0,137.0,1610.0,870.0,902.0
0.0,0.0,0.0,9.0,29.0,115.0,703.0,20.0,0.0,1164.0,624.0,958.0,723.0,1047.0,72.0,1984.0,736.0,1816.0
0.0,0.0,0.0,2.0,5.0,30.0,324.0,4.0,0.0,565.0,331.0,394.0,313.0,459.0,24.0,1232.0,309.0,6008.0
