Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Real Sociedad,Athletic Club,Osasuna,Rayo Vallecano,Sevilla,Elche,Valencia,Espanyol,Mallorca,Girona,Alavés,Levante,Real Oviedo
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9996.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,9874.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,122.0,9878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,8952.0,1046.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1046.0,8568.0,187.0,37.0,124.0,4.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,333.0,3251.0,2766.0,1693.0,761.0,1098.0,2.0,3.0,30.0,6.0,48.0,7.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,47.0,2212.0,2540.0,2213.0,1236.0,1420.0,8.0,21.0,84.0,34.0,131.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,1672.0,2050.0,2152.0,1639.0,1692.0,14.0,64.0,166.0,125.0,287.0,131.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1289.0,1328.0,1813.0,2100.0,1858.0,67.0,150.0,327.0,239.0,526.0,281.0,22.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,896.0,699.0,1106.0,2236.0,1922.0,180.0,471.0,550.0,453.0,944.0,462.0,77.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,356.0,290.0,511.0,1030.0,972.0,481.0,1343.0,1052.0,1011.0,1815.0,944.0,163.0,32.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,104.0,189.0,264.0,484.0,490.0,948.0,1509.0,1361.0,1182.0,1672.0,1286.0,438.0,73.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,28.0,81.0,96.0,303.0,271.0,1306.0,1567.0,1464.0,1386.0,1388.0,1208.0,785.0,117.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,25.0,138.0,147.0,1509.0,1486.0,1447.0,1606.0,1129.0,1257.0,943.0,292.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,55.0,65.0,2028.0,1317.0,1275.0,1395.0,912.0,1353.0,1181.0,414.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,27.0,2276.0,1146.0,1163.0,1192.0,553.0,1259.0,1768.0,601.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1047.0,756.0,896.0,1161.0,346.0,1287.0,2887.0,1610.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,167.0,185.0,210.0,248.0,471.0,1726.0,6815.0,44.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,42.0,9949.0
