Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Red Bull Bragantino,Coritiba,Vitória,Cruzeiro,Internacional,Botafogo,Atlético-MG,Vasco da Gama,Grêmio,Santos,Corinthians,Mirassol,Remo,Chapecoense
7593.0,1824.0,428.0,99.0,38.0,3.0,5.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1837.0,5176.0,1717.0,684.0,361.0,60.0,40.0,53.0,7.0,25.0,31.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
409.0,1893.0,3386.0,1961.0,1235.0,265.0,190.0,301.0,73.0,75.0,137.0,11.0,13.0,15.0,23.0,8.0,5.0,0.0,0.0,0.0
117.0,682.0,2032.0,2489.0,1839.0,614.0,504.0,647.0,202.0,218.0,350.0,52.0,57.0,74.0,99.0,16.0,7.0,0.0,1.0,0.0
34.0,248.0,1085.0,1730.0,2082.0,989.0,823.0,973.0,332.0,358.0,664.0,112.0,117.0,189.0,203.0,43.0,18.0,0.0,0.0,0.0
6.0,105.0,613.0,1076.0,1362.0,1241.0,1154.0,1186.0,552.0,601.0,865.0,208.0,225.0,330.0,341.0,96.0,34.0,3.0,2.0,0.0
2.0,31.0,331.0,741.0,952.0,1266.0,1236.0,1249.0,703.0,686.0,1009.0,320.0,312.0,491.0,465.0,147.0,51.0,5.0,3.0,0.0
1.0,16.0,184.0,416.0,684.0,1145.0,1181.0,1154.0,834.0,762.0,1070.0,466.0,493.0,650.0,614.0,207.0,112.0,7.0,4.0,0.0
1.0,17.0,91.0,307.0,474.0,1005.0,1061.0,1029.0,896.0,887.0,1089.0,619.0,567.0,775.0,684.0,284.0,167.0,28.0,19.0,0.0
0.0,8.0,63.0,185.0,330.0,878.0,942.0,860.0,925.0,906.0,1072.0,763.0,679.0,917.0,763.0,400.0,235.0,48.0,26.0,0.0
0.0,0.0,26.0,126.0,221.0,715.0,820.0,677.0,1037.0,923.0,838.0,895.0,798.0,1038.0,927.0,517.0,335.0,64.0,43.0,0.0
0.0,0.0,23.0,64.0,173.0,564.0,648.0,573.0,989.0,889.0,791.0,986.0,982.0,1056.0,960.0,628.0,501.0,91.0,82.0,0.0
0.0,0.0,10.0,65.0,111.0,431.0,495.0,465.0,947.0,833.0,608.0,1101.0,1105.0,1022.0,1038.0,791.0,643.0,179.0,156.0,0.0
0.0,0.0,6.0,30.0,63.0,358.0,392.0,334.0,838.0,772.0,528.0,1097.0,1104.0,1011.0,1054.0,1052.0,869.0,276.0,215.0,1.0
0.0,0.0,5.0,16.0,44.0,242.0,245.0,240.0,652.0,756.0,392.0,1083.0,1189.0,878.0,1016.0,1316.0,1112.0,445.0,366.0,3.0
0.0,0.0,0.0,8.0,20.0,133.0,157.0,131.0,540.0,598.0,279.0,1024.0,1103.0,678.0,829.0,1505.0,1621.0,774.0,591.0,9.0
0.0,0.0,0.0,3.0,8.0,68.0,75.0,85.0,296.0,427.0,187.0,704.0,748.0,534.0,611.0,1513.0,2134.0,1414.0,1166.0,27.0
0.0,0.0,0.0,0.0,3.0,15.0,27.0,24.0,139.0,220.0,68.0,387.0,390.0,268.0,274.0,1007.0,1485.0,3025.0,2550.0,118.0
0.0,0.0,0.0,0.0,0.0,7.0,5.0,12.0,38.0,64.0,18.0,164.0,112.0,71.0,95.0,451.0,642.0,3357.0,4329.0,635.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,1.0,1.0,19.0,29.0,284.0,447.0,9207.0
