Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Corinthians,Red Bull Bragantino,Botafogo,Coritiba,Atlético-MG,São Paulo,Vitória,Grêmio,Mirassol,Internacional,Santos,Vasco da Gama,Remo,Chapecoense
5969.0,4000.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3906.0,5774.0,249.0,41.0,9.0,2.0,1.0,5.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117.0,206.0,5258.0,1951.0,824.0,297.0,190.0,139.0,746.0,24.0,188.0,50.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
7.0,17.0,2110.0,2672.0,1389.0,751.0,555.0,344.0,1447.0,73.0,466.0,109.0,2.0,19.0,34.0,2.0,0.0,2.0,1.0,0.0
1.0,2.0,1075.0,1844.0,1543.0,1193.0,796.0,603.0,1646.0,185.0,723.0,263.0,5.0,40.0,65.0,4.0,5.0,6.0,1.0,0.0
0.0,1.0,607.0,1274.0,1473.0,1382.0,1076.0,729.0,1535.0,322.0,924.0,364.0,26.0,109.0,151.0,13.0,6.0,6.0,2.0,0.0
0.0,0.0,319.0,809.0,1254.0,1454.0,1204.0,986.0,1241.0,487.0,1100.0,595.0,57.0,184.0,235.0,41.0,15.0,17.0,2.0,0.0
0.0,0.0,187.0,589.0,1079.0,1273.0,1267.0,1068.0,1030.0,662.0,1172.0,790.0,81.0,281.0,375.0,64.0,34.0,35.0,13.0,0.0
0.0,0.0,89.0,351.0,821.0,1064.0,1232.0,1206.0,808.0,890.0,1197.0,1018.0,148.0,407.0,468.0,128.0,68.0,82.0,23.0,0.0
0.0,0.0,46.0,199.0,607.0,806.0,1029.0,1174.0,566.0,1161.0,1152.0,1186.0,218.0,612.0,727.0,183.0,139.0,132.0,63.0,0.0
0.0,0.0,18.0,120.0,419.0,687.0,932.0,1068.0,413.0,1216.0,988.0,1225.0,361.0,821.0,897.0,325.0,189.0,227.0,94.0,0.0
0.0,0.0,7.0,83.0,264.0,403.0,688.0,952.0,264.0,1317.0,787.0,1154.0,528.0,1114.0,1077.0,523.0,307.0,374.0,158.0,0.0
0.0,0.0,5.0,39.0,165.0,299.0,452.0,709.0,141.0,1166.0,537.0,1070.0,724.0,1354.0,1261.0,765.0,466.0,554.0,293.0,0.0
0.0,0.0,2.0,13.0,82.0,188.0,259.0,415.0,92.0,913.0,355.0,781.0,1089.0,1300.0,1294.0,1136.0,743.0,831.0,507.0,0.0
0.0,0.0,0.0,10.0,45.0,101.0,163.0,270.0,30.0,711.0,205.0,588.0,1338.0,1182.0,1149.0,1327.0,968.0,1126.0,786.0,1.0
0.0,0.0,0.0,2.0,21.0,64.0,88.0,175.0,15.0,436.0,132.0,382.0,1460.0,1037.0,929.0,1444.0,1290.0,1442.0,1074.0,9.0
0.0,0.0,0.0,0.0,5.0,27.0,42.0,93.0,8.0,266.0,46.0,239.0,1515.0,730.0,705.0,1515.0,1566.0,1609.0,1622.0,12.0
0.0,0.0,0.0,0.0,0.0,7.0,19.0,50.0,5.0,130.0,21.0,126.0,1354.0,531.0,420.0,1447.0,1927.0,1756.0,2176.0,31.0
0.0,0.0,0.0,0.0,0.0,2.0,7.0,14.0,1.0,41.0,6.0,59.0,1066.0,268.0,208.0,1053.0,2208.0,1738.0,3079.0,250.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,6.0,1.0,30.0,69.0,63.0,106.0,9697.0
