Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Athletic Club,Real Sociedad,Osasuna,Rayo Vallecano,Espanyol,Valencia,Elche,Mallorca,Girona,Alavés,Sevilla,Levante,Real Oviedo
500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,470.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,30.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,440.0,31.0,18.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,44.0,227.0,119.0,21.0,75.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,11.0,118.0,129.0,54.0,126.0,43.0,8.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,70.0,97.0,91.0,131.0,71.0,12.0,16.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,31.0,75.0,120.0,83.0,92.0,24.0,28.0,3.0,26.0,12.0,5.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,16.0,43.0,95.0,41.0,129.0,61.0,40.0,12.0,35.0,19.0,8.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,8.0,69.0,17.0,75.0,83.0,63.0,16.0,66.0,62.0,29.0,7.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,9.0,28.0,11.0,33.0,82.0,89.0,42.0,82.0,61.0,41.0,18.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,2.0,17.0,4.0,26.0,66.0,77.0,59.0,83.0,94.0,43.0,22.0,5.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,12.0,49.0,66.0,84.0,63.0,94.0,67.0,43.0,13.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,46.0,46.0,107.0,54.0,74.0,87.0,56.0,16.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,39.0,98.0,47.0,41.0,94.0,103.0,30.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,19.0,62.0,22.0,28.0,93.0,119.0,93.0,39.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,14.0,11.0,11.0,27.0,103.0,206.0,109.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,5.0,28.0,122.0,309.0,29.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,24.0,465.0
