Excelsior,Go Ahead Eagles,AZ Alkmaar,Ajax Amsterdam,FC Groningen,Telstar,Feyenoord Rotterdam,Heerenveen,Fortuna Sittard,PSV Eindhoven,NEC Nijmegen,FC Utrecht,Sparta Rotterdam,FC Twente,ADO Den Haag,PEC Zwolle,Willem II,SC Cambuur
5.0,46.0,119.0,1188.0,58.0,8.0,1200.0,61.0,0.0,6794.0,181.0,60.0,0.0,280.0,0.0,0.0,0.0,0.0
34.0,213.0,449.0,2630.0,218.0,61.0,2358.0,258.0,0.0,1915.0,745.0,278.0,0.0,841.0,0.0,0.0,0.0,0.0
97.0,406.0,710.0,2042.0,428.0,157.0,1995.0,463.0,2.0,753.0,1143.0,536.0,0.0,1267.0,0.0,0.0,1.0,0.0
204.0,617.0,893.0,1368.0,660.0,275.0,1490.0,737.0,12.0,300.0,1251.0,770.0,0.0,1421.0,0.0,0.0,2.0,0.0
318.0,789.0,1027.0,922.0,812.0,415.0,978.0,866.0,34.0,131.0,1355.0,977.0,0.0,1370.0,4.0,1.0,1.0,0.0
452.0,977.0,1089.0,642.0,1026.0,558.0,680.0,984.0,57.0,51.0,1218.0,1050.0,3.0,1202.0,7.0,0.0,3.0,1.0
604.0,1038.0,1183.0,458.0,1110.0,708.0,481.0,1130.0,84.0,30.0,1110.0,1041.0,8.0,995.0,11.0,0.0,6.0,3.0
775.0,1146.0,1077.0,282.0,1186.0,914.0,315.0,1141.0,176.0,22.0,889.0,1154.0,25.0,842.0,27.0,9.0,17.0,3.0
1023.0,1156.0,1036.0,215.0,1155.0,1022.0,225.0,1202.0,262.0,1.0,761.0,1137.0,36.0,644.0,67.0,12.0,37.0,9.0
1197.0,1197.0,913.0,142.0,1101.0,1307.0,148.0,1100.0,493.0,1.0,551.0,1065.0,64.0,502.0,100.0,30.0,78.0,11.0
1535.0,1045.0,681.0,68.0,1031.0,1487.0,83.0,940.0,787.0,1.0,411.0,845.0,174.0,335.0,275.0,76.0,176.0,50.0
1687.0,771.0,479.0,33.0,671.0,1472.0,38.0,653.0,1393.0,1.0,237.0,620.0,429.0,187.0,580.0,188.0,407.0,154.0
1079.0,372.0,220.0,7.0,325.0,893.0,8.0,301.0,2307.0,0.0,106.0,293.0,932.0,93.0,1246.0,504.0,875.0,439.0
545.0,138.0,86.0,3.0,138.0,422.0,1.0,103.0,1773.0,0.0,36.0,122.0,1611.0,13.0,1754.0,1009.0,1430.0,816.0
261.0,58.0,25.0,0.0,62.0,194.0,0.0,43.0,1190.0,0.0,5.0,41.0,1828.0,8.0,1756.0,1465.0,1799.0,1265.0
125.0,20.0,10.0,0.0,15.0,73.0,0.0,13.0,769.0,0.0,1.0,8.0,1846.0,0.0,1724.0,1793.0,1861.0,1742.0
46.0,11.0,3.0,0.0,4.0,27.0,0.0,3.0,429.0,0.0,0.0,2.0,1688.0,0.0,1394.0,2340.0,1789.0,2264.0
13.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,232.0,0.0,0.0,1.0,1356.0,0.0,1055.0,2573.0,1518.0,3243.0
