FC Porto,Benfica,Sporting CP,Santa Clara,Arouca,Braga,Académico de Viseu,Estrela,Moreirense,Gil Vicente,Maritimo,Alverca,FC Famalicao,Vitória de Guimaraes,C.D. Nacional,Rio Ave,Casa Pia,Estoril
5958.0,2129.0,1887.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2656.0,3765.0,3376.0,15.0,2.0,179.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
1259.0,3548.0,4138.0,131.0,26.0,793.0,5.0,5.0,1.0,39.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0
116.0,484.0,527.0,1635.0,472.0,5027.0,132.0,82.0,29.0,569.0,2.0,44.0,852.0,16.0,7.0,0.0,0.0,6.0
10.0,58.0,57.0,2619.0,1118.0,2029.0,426.0,331.0,128.0,1168.0,19.0,195.0,1737.0,36.0,35.0,10.0,2.0,22.0
0.0,13.0,12.0,1916.0,1397.0,1026.0,719.0,547.0,292.0,1417.0,46.0,336.0,1957.0,134.0,83.0,16.0,3.0,86.0
1.0,3.0,1.0,1353.0,1464.0,445.0,1035.0,847.0,441.0,1501.0,120.0,577.0,1604.0,221.0,164.0,50.0,17.0,156.0
0.0,0.0,2.0,897.0,1359.0,243.0,1299.0,1066.0,567.0,1388.0,200.0,747.0,1232.0,366.0,270.0,92.0,30.0,242.0
0.0,0.0,0.0,560.0,1169.0,131.0,1273.0,1252.0,773.0,1151.0,332.0,963.0,876.0,549.0,401.0,120.0,54.0,396.0
0.0,0.0,0.0,376.0,952.0,55.0,1198.0,1242.0,1033.0,857.0,457.0,1054.0,639.0,704.0,572.0,238.0,99.0,524.0
0.0,0.0,0.0,259.0,658.0,27.0,1031.0,1158.0,1103.0,663.0,691.0,1167.0,399.0,960.0,708.0,330.0,158.0,688.0
0.0,0.0,0.0,113.0,517.0,9.0,867.0,968.0,1164.0,450.0,843.0,1184.0,304.0,1041.0,870.0,547.0,228.0,895.0
0.0,0.0,0.0,68.0,361.0,8.0,713.0,837.0,1124.0,347.0,983.0,1029.0,156.0,1198.0,1062.0,666.0,391.0,1057.0
0.0,0.0,0.0,30.0,231.0,1.0,508.0,652.0,975.0,208.0,1241.0,888.0,88.0,1225.0,1188.0,946.0,595.0,1224.0
0.0,0.0,0.0,21.0,125.0,1.0,372.0,414.0,896.0,117.0,1303.0,715.0,57.0,1158.0,1358.0,1196.0,946.0,1321.0
0.0,0.0,0.0,4.0,85.0,1.0,235.0,308.0,751.0,70.0,1477.0,555.0,24.0,1051.0,1253.0,1545.0,1375.0,1266.0
0.0,0.0,0.0,1.0,51.0,1.0,138.0,197.0,482.0,39.0,1321.0,372.0,12.0,835.0,1187.0,2063.0,2064.0,1237.0
0.0,0.0,0.0,1.0,13.0,0.0,49.0,94.0,241.0,13.0,965.0,174.0,3.0,506.0,842.0,2181.0,4038.0,880.0
