AS Roma,Internazionale,Lazio,Cagliari,AC Milan,Frosinone,Juventus,Como,Napoli,Sassuolo,Atalanta,Lecce,Udinese,Torino,Parma,Monza,Fiorentina,Bologna,Genoa,Venezia
2416.0,5625.0,72.0,8.0,269.0,11.0,560.0,918.0,106.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
3066.0,2363.0,258.0,40.0,745.0,43.0,1173.0,1827.0,375.0,22.0,79.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
1826.0,1060.0,568.0,123.0,1315.0,131.0,1774.0,2199.0,726.0,34.0,201.0,0.0,17.0,2.0,0.0,0.0,12.0,12.0,0.0,0.0
1157.0,514.0,876.0,254.0,1573.0,290.0,1813.0,1779.0,1142.0,117.0,388.0,2.0,43.0,7.0,4.0,0.0,10.0,28.0,3.0,0.0
712.0,243.0,1265.0,463.0,1541.0,434.0,1597.0,1270.0,1355.0,207.0,664.0,8.0,97.0,20.0,15.0,4.0,35.0,64.0,6.0,0.0
402.0,106.0,1353.0,692.0,1448.0,711.0,1174.0,823.0,1546.0,341.0,866.0,23.0,209.0,55.0,21.0,5.0,74.0,131.0,20.0,0.0
202.0,56.0,1465.0,938.0,1074.0,971.0,765.0,520.0,1364.0,590.0,1187.0,35.0,325.0,91.0,36.0,5.0,132.0,210.0,34.0,0.0
127.0,17.0,1238.0,1181.0,758.0,1137.0,518.0,303.0,1116.0,802.0,1285.0,75.0,498.0,195.0,91.0,22.0,202.0,359.0,76.0,0.0
46.0,9.0,896.0,1250.0,529.0,1244.0,265.0,188.0,835.0,1036.0,1306.0,126.0,748.0,301.0,155.0,47.0,327.0,560.0,132.0,0.0
30.0,6.0,715.0,1199.0,333.0,1147.0,186.0,94.0,554.0,1154.0,1096.0,264.0,909.0,489.0,297.0,69.0,449.0,776.0,232.0,1.0
11.0,1.0,490.0,1097.0,173.0,1081.0,82.0,48.0,369.0,1196.0,879.0,389.0,1073.0,632.0,426.0,111.0,644.0,977.0,320.0,1.0
5.0,0.0,316.0,875.0,108.0,860.0,45.0,15.0,212.0,1179.0,653.0,534.0,1183.0,795.0,547.0,219.0,904.0,1083.0,464.0,3.0
0.0,0.0,199.0,640.0,64.0,660.0,23.0,9.0,126.0,983.0,520.0,686.0,1104.0,1050.0,795.0,317.0,1025.0,1140.0,653.0,6.0
0.0,0.0,126.0,498.0,37.0,444.0,18.0,2.0,87.0,759.0,352.0,1011.0,1018.0,1105.0,947.0,478.0,1170.0,1103.0,835.0,10.0
0.0,0.0,91.0,338.0,18.0,365.0,5.0,5.0,45.0,601.0,224.0,1139.0,905.0,1227.0,1160.0,672.0,1201.0,1012.0,968.0,24.0
0.0,0.0,44.0,201.0,9.0,212.0,0.0,0.0,26.0,436.0,155.0,1330.0,748.0,1162.0,1380.0,896.0,1146.0,903.0,1290.0,62.0
0.0,0.0,19.0,112.0,4.0,145.0,2.0,0.0,8.0,273.0,82.0,1431.0,550.0,1110.0,1378.0,1392.0,1111.0,758.0,1473.0,152.0
0.0,0.0,5.0,64.0,1.0,75.0,0.0,0.0,6.0,181.0,34.0,1481.0,332.0,989.0,1440.0,2000.0,842.0,534.0,1614.0,402.0
0.0,0.0,3.0,26.0,1.0,39.0,0.0,0.0,2.0,83.0,14.0,1265.0,222.0,654.0,1093.0,2890.0,642.0,308.0,1547.0,1211.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,201.0,14.0,116.0,215.0,873.0,74.0,37.0,332.0,8128.0
