Borussia Dortmund,Bayern Munich,SC Freiburg,FC Augsburg,Bayer Leverkusen,Mainz,SV Elversberg,Werder Bremen,RB Leipzig,Eintracht Frankfurt,Schalke 04,SC Paderborn 07,FC Cologne,TSG Hoffenheim,VfB Stuttgart,Hamburg SV,1. FC Union Berlin,Borussia Mönchengladbach
1459.0,8399.0,20.0,2.0,64.0,3.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0
6203.0,1437.0,412.0,42.0,911.0,69.0,5.0,4.0,526.0,24.0,0.0,0.0,5.0,54.0,308.0,0.0,0.0,0.0
1452.0,130.0,1388.0,278.0,2858.0,377.0,42.0,59.0,1717.0,153.0,1.0,0.0,35.0,348.0,1145.0,6.0,4.0,7.0
485.0,26.0,1618.0,482.0,2007.0,638.0,125.0,154.0,1892.0,346.0,6.0,2.0,72.0,634.0,1473.0,19.0,8.0,13.0
210.0,5.0,1550.0,702.0,1338.0,865.0,249.0,253.0,1595.0,560.0,29.0,8.0,149.0,880.0,1523.0,39.0,15.0,30.0
113.0,3.0,1310.0,898.0,1053.0,1083.0,374.0,380.0,1288.0,651.0,68.0,26.0,254.0,1036.0,1300.0,76.0,35.0,52.0
44.0,0.0,1057.0,1068.0,639.0,1131.0,527.0,544.0,985.0,927.0,100.0,43.0,379.0,1124.0,1120.0,123.0,72.0,117.0
16.0,0.0,799.0,1205.0,445.0,1144.0,678.0,721.0,664.0,1051.0,143.0,71.0,517.0,1151.0,909.0,210.0,135.0,141.0
8.0,0.0,615.0,1070.0,275.0,1125.0,889.0,901.0,476.0,1063.0,239.0,137.0,700.0,1065.0,693.0,343.0,166.0,235.0
6.0,0.0,418.0,1048.0,183.0,970.0,1007.0,1008.0,330.0,1107.0,376.0,199.0,826.0,928.0,502.0,454.0,286.0,352.0
3.0,0.0,314.0,830.0,97.0,776.0,1094.0,1147.0,200.0,1020.0,489.0,324.0,999.0,803.0,387.0,614.0,393.0,510.0
0.0,0.0,221.0,715.0,71.0,620.0,1147.0,1168.0,122.0,899.0,675.0,440.0,1051.0,628.0,241.0,764.0,527.0,711.0
1.0,0.0,116.0,584.0,28.0,458.0,1003.0,958.0,89.0,720.0,930.0,669.0,1134.0,526.0,161.0,983.0,766.0,874.0
0.0,0.0,77.0,444.0,13.0,312.0,902.0,888.0,42.0,564.0,1158.0,906.0,1048.0,353.0,109.0,1131.0,943.0,1110.0
0.0,0.0,44.0,316.0,9.0,206.0,759.0,717.0,22.0,425.0,1295.0,1215.0,962.0,218.0,65.0,1260.0,1221.0,1266.0
0.0,0.0,22.0,187.0,5.0,123.0,588.0,555.0,13.0,275.0,1532.0,1524.0,769.0,144.0,26.0,1371.0,1443.0,1423.0
0.0,0.0,15.0,99.0,4.0,65.0,413.0,340.0,5.0,150.0,1524.0,1897.0,669.0,74.0,12.0,1374.0,1755.0,1604.0
0.0,0.0,4.0,30.0,0.0,35.0,198.0,203.0,3.0,65.0,1435.0,2539.0,431.0,32.0,6.0,1233.0,2231.0,1555.0
