Manchester City,Arsenal,Brighton & Hove Albion,Brentford,Leeds United,Liverpool,Everton,Hull City,Newcastle United,Chelsea,Ipswich Town,Manchester United,Nottingham Forest,Sunderland,Crystal Palace,Aston Villa,AFC Bournemouth,Coventry City,Fulham,Tottenham Hotspur
5633.0,3697.0,311.0,80.0,21.0,118.0,18.0,2.0,4.0,20.0,0.0,75.0,7.0,1.0,0.0,6.0,7.0,0.0,0.0,0.0
3029.0,4213.0,1073.0,377.0,116.0,468.0,103.0,2.0,59.0,115.0,0.0,337.0,24.0,7.0,3.0,36.0,33.0,0.0,5.0,0.0
817.0,1208.0,2201.0,1072.0,533.0,1425.0,426.0,39.0,305.0,430.0,0.0,1010.0,126.0,46.0,21.0,151.0,161.0,0.0,25.0,4.0
293.0,426.0,1730.0,1302.0,770.0,1425.0,633.0,65.0,493.0,652.0,5.0,1231.0,238.0,76.0,28.0,274.0,276.0,0.0,66.0,17.0
115.0,234.0,1271.0,1208.0,880.0,1301.0,798.0,143.0,579.0,771.0,8.0,1233.0,388.0,149.0,61.0,372.0,361.0,0.0,95.0,33.0
58.0,99.0,940.0,1097.0,1024.0,1127.0,860.0,203.0,682.0,835.0,14.0,1101.0,454.0,228.0,114.0,446.0,509.0,0.0,164.0,45.0
30.0,57.0,708.0,990.0,945.0,964.0,931.0,263.0,727.0,898.0,21.0,976.0,578.0,269.0,140.0,611.0,583.0,0.0,218.0,91.0
13.0,29.0,510.0,809.0,940.0,777.0,942.0,351.0,852.0,844.0,43.0,891.0,680.0,389.0,182.0,642.0,682.0,0.0,322.0,102.0
4.0,17.0,394.0,727.0,880.0,636.0,878.0,460.0,891.0,859.0,62.0,737.0,723.0,508.0,277.0,691.0,746.0,0.0,366.0,144.0
6.0,9.0,274.0,573.0,770.0,490.0,876.0,599.0,849.0,830.0,95.0,597.0,821.0,584.0,337.0,787.0,794.0,1.0,500.0,208.0
1.0,5.0,195.0,503.0,644.0,391.0,729.0,667.0,866.0,790.0,119.0,471.0,818.0,680.0,435.0,908.0,892.0,2.0,604.0,280.0
1.0,2.0,143.0,369.0,601.0,296.0,675.0,795.0,777.0,696.0,207.0,407.0,849.0,763.0,570.0,877.0,869.0,5.0,704.0,394.0
0.0,3.0,95.0,298.0,505.0,199.0,621.0,892.0,715.0,602.0,308.0,305.0,846.0,848.0,707.0,846.0,859.0,6.0,810.0,535.0
0.0,1.0,67.0,212.0,427.0,162.0,498.0,978.0,624.0,528.0,391.0,262.0,832.0,903.0,899.0,817.0,785.0,11.0,918.0,685.0
0.0,0.0,33.0,179.0,366.0,109.0,361.0,1000.0,539.0,399.0,615.0,168.0,775.0,1015.0,1035.0,707.0,757.0,27.0,1072.0,843.0
0.0,0.0,30.0,92.0,233.0,59.0,283.0,1041.0,415.0,297.0,929.0,92.0,704.0,981.0,1117.0,668.0,642.0,54.0,1160.0,1203.0
0.0,0.0,16.0,68.0,191.0,30.0,186.0,1000.0,312.0,221.0,1287.0,69.0,528.0,996.0,1373.0,557.0,468.0,147.0,1133.0,1418.0
0.0,0.0,7.0,29.0,104.0,15.0,141.0,858.0,210.0,145.0,2012.0,25.0,362.0,868.0,1410.0,374.0,346.0,352.0,991.0,1751.0
0.0,0.0,2.0,13.0,47.0,7.0,35.0,547.0,92.0,65.0,3071.0,13.0,225.0,604.0,1106.0,208.0,203.0,1173.0,731.0,1858.0
0.0,0.0,0.0,2.0,3.0,1.0,6.0,95.0,9.0,3.0,813.0,0.0,22.0,85.0,185.0,22.0,27.0,8222.0,116.0,389.0
