Flamengo,Palmeiras,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Atlético-MG,Santos,Coritiba,Red Bull Bragantino,São Paulo,Botafogo,Vitória,Corinthians,Mirassol,Vasco da Gama,Grêmio,Internacional,Remo,Chapecoense
8026.0,1968.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960.0,7873.0,108.0,40.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,141.0,4802.0,3386.0,504.0,1068.0,70.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,17.0,2955.0,3491.0,1264.0,1893.0,283.0,37.0,5.0,22.0,24.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1378.0,1926.0,2650.0,2885.0,735.0,128.0,29.0,100.0,98.0,67.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,554.0,811.0,3070.0,2431.0,1655.0,364.0,89.0,377.0,341.0,272.0,5.0,4.0,21.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,146.0,241.0,1455.0,1106.0,2838.0,1024.0,336.0,1068.0,890.0,712.0,16.0,30.0,68.0,68.0,1.0,1.0,0.0,0.0
0.0,0.0,49.0,71.0,602.0,401.0,1775.0,1483.0,685.0,1569.0,1610.0,1233.0,51.0,92.0,214.0,157.0,5.0,3.0,0.0,0.0
0.0,0.0,4.0,18.0,264.0,136.0,1131.0,1524.0,997.0,1728.0,1669.0,1454.0,145.0,220.0,366.0,315.0,17.0,12.0,0.0,0.0
0.0,0.0,2.0,10.0,112.0,48.0,666.0,1510.0,1334.0,1427.0,1597.0,1483.0,260.0,385.0,562.0,515.0,65.0,24.0,0.0,0.0
0.0,0.0,0.0,2.0,45.0,11.0,377.0,1290.0,1551.0,1196.0,1252.0,1460.0,424.0,609.0,858.0,733.0,115.0,77.0,0.0,0.0
0.0,0.0,0.0,0.0,24.0,6.0,249.0,1012.0,1608.0,941.0,937.0,1228.0,615.0,874.0,1050.0,1058.0,234.0,162.0,2.0,0.0
0.0,0.0,0.0,1.0,3.0,2.0,120.0,726.0,1337.0,642.0,686.0,847.0,886.0,1253.0,1399.0,1335.0,465.0,296.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,61.0,450.0,927.0,504.0,447.0,587.0,1220.0,1467.0,1552.0,1504.0,734.0,529.0,18.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,28.0,235.0,623.0,256.0,265.0,370.0,1575.0,1659.0,1476.0,1477.0,1083.0,923.0,30.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,151.0,319.0,119.0,128.0,206.0,1896.0,1542.0,1190.0,1271.0,1623.0,1460.0,86.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,52.0,134.0,42.0,47.0,62.0,1708.0,1173.0,812.0,922.0,2365.0,2347.0,324.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,4.0,9.0,10.0,1109.0,600.0,399.0,553.0,2685.0,3385.0,1169.0,46.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,91.0,30.0,84.0,601.0,766.0,7527.0,810.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,15.0,842.0,9135.0
