AS Monaco,Lyon,Paris FC,Lille,Stade Rennais,Paris Saint-Germain,Angers,Strasbourg,Le Mans,AJ Auxerre,Brest,Lorient,Toulouse,Nice,Lens,Troyes,Marseille,Le Havre AC
1627.0,1383.0,323.0,851.0,303.0,4976.0,0.0,127.0,0.0,1.0,4.0,13.0,11.0,0.0,322.0,0.0,59.0,0.0
1978.0,1768.0,644.0,1289.0,731.0,2245.0,12.0,293.0,7.0,12.0,12.0,44.0,51.0,2.0,750.0,0.0,162.0,0.0
1671.0,1684.0,915.0,1501.0,922.0,1197.0,27.0,462.0,17.0,40.0,41.0,82.0,99.0,4.0,1058.0,0.0,274.0,6.0
1380.0,1298.0,1012.0,1452.0,1153.0,687.0,46.0,702.0,27.0,81.0,64.0,130.0,216.0,14.0,1249.0,0.0,478.0,11.0
1068.0,1067.0,1185.0,1238.0,1223.0,403.0,85.0,865.0,49.0,126.0,113.0,265.0,307.0,22.0,1331.0,0.0,624.0,29.0
721.0,878.0,1169.0,1047.0,1202.0,233.0,165.0,1142.0,96.0,206.0,204.0,366.0,450.0,35.0,1238.0,1.0,794.0,53.0
550.0,719.0,1177.0,854.0,1100.0,128.0,229.0,1178.0,129.0,324.0,327.0,511.0,583.0,75.0,1040.0,0.0,998.0,78.0
372.0,461.0,992.0,631.0,1045.0,70.0,356.0,1124.0,250.0,449.0,485.0,705.0,795.0,130.0,923.0,3.0,1073.0,136.0
284.0,306.0,764.0,447.0,802.0,32.0,525.0,1090.0,346.0,582.0,677.0,847.0,980.0,211.0,696.0,7.0,1163.0,241.0
153.0,179.0,623.0,289.0,542.0,17.0,700.0,893.0,555.0,803.0,790.0,1059.0,1144.0,316.0,478.0,13.0,1067.0,379.0
88.0,115.0,466.0,193.0,393.0,5.0,894.0,682.0,716.0,957.0,1003.0,1114.0,1138.0,496.0,349.0,38.0,893.0,460.0
53.0,60.0,293.0,107.0,239.0,4.0,980.0,518.0,921.0,1105.0,1120.0,1097.0,1110.0,654.0,260.0,62.0,741.0,676.0
38.0,46.0,195.0,42.0,155.0,1.0,1124.0,373.0,1070.0,1103.0,1208.0,979.0,933.0,947.0,161.0,112.0,605.0,908.0
7.0,24.0,119.0,29.0,101.0,2.0,1212.0,257.0,1203.0,1169.0,1143.0,917.0,766.0,1138.0,71.0,256.0,440.0,1146.0
9.0,10.0,61.0,12.0,52.0,0.0,1275.0,158.0,1367.0,1123.0,1000.0,777.0,630.0,1399.0,52.0,395.0,305.0,1375.0
1.0,2.0,43.0,14.0,25.0,0.0,1128.0,82.0,1447.0,931.0,896.0,606.0,462.0,1714.0,15.0,783.0,205.0,1646.0
0.0,0.0,17.0,3.0,12.0,0.0,917.0,49.0,1229.0,751.0,667.0,391.0,247.0,1974.0,6.0,1731.0,102.0,1904.0
0.0,0.0,2.0,1.0,0.0,0.0,325.0,5.0,571.0,237.0,246.0,97.0,78.0,869.0,1.0,6599.0,17.0,952.0
