Swansea City,West Ham United,Middlesbrough,Wolverhampton Wanderers,West Bromwich Albion,Queens Park Rangers,Stoke City,Bristol City,Charlton Athletic,Birmingham City,Millwall,Lincoln City,Southampton,Wrexham,Bolton Wanderers,Blackburn Rovers,Norwich City,Sheffield United,Portsmouth,Watford,Cardiff City,Derby County,Preston North End,Burnley
173.0,5942.0,473.0,2784.0,13.0,1.0,12.0,12.0,1.0,18.0,77.0,0.0,460.0,9.0,0.0,1.0,14.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0
604.0,2515.0,1195.0,3551.0,75.0,43.0,44.0,89.0,7.0,100.0,275.0,2.0,1309.0,44.0,0.0,4.0,100.0,26.0,2.0,3.0,0.0,6.0,0.0,6.0
1103.0,881.0,1953.0,1682.0,214.0,130.0,167.0,222.0,27.0,286.0,662.0,2.0,2023.0,195.0,0.0,16.0,254.0,106.0,22.0,11.0,0.0,26.0,0.0,18.0
1386.0,330.0,1685.0,842.0,391.0,256.0,330.0,379.0,47.0,511.0,964.0,8.0,1716.0,303.0,0.0,53.0,428.0,180.0,46.0,29.0,1.0,68.0,8.0,39.0
1292.0,158.0,1298.0,456.0,584.0,330.0,457.0,533.0,122.0,646.0,1094.0,15.0,1208.0,447.0,7.0,81.0,608.0,319.0,73.0,51.0,3.0,122.0,19.0,77.0
1083.0,86.0,968.0,257.0,682.0,495.0,588.0,672.0,135.0,785.0,1022.0,34.0,921.0,482.0,7.0,156.0,674.0,430.0,125.0,64.0,6.0,181.0,25.0,122.0
991.0,35.0,695.0,171.0,715.0,573.0,596.0,759.0,211.0,843.0,940.0,54.0,636.0,608.0,21.0,217.0,697.0,494.0,165.0,116.0,11.0,247.0,36.0,169.0
760.0,24.0,509.0,97.0,792.0,649.0,702.0,775.0,262.0,780.0,881.0,88.0,483.0,660.0,29.0,253.0,818.0,530.0,232.0,129.0,22.0,279.0,54.0,192.0
589.0,11.0,346.0,54.0,771.0,682.0,697.0,775.0,322.0,788.0,760.0,139.0,329.0,768.0,54.0,328.0,789.0,596.0,254.0,222.0,28.0,373.0,60.0,265.0
491.0,8.0,233.0,34.0,784.0,663.0,682.0,718.0,444.0,774.0,662.0,164.0,228.0,736.0,58.0,375.0,773.0,660.0,330.0,264.0,57.0,456.0,91.0,315.0
352.0,3.0,188.0,29.0,738.0,667.0,713.0,716.0,460.0,714.0,509.0,219.0,176.0,706.0,99.0,457.0,704.0,746.0,396.0,328.0,53.0,502.0,155.0,370.0
313.0,2.0,148.0,13.0,663.0,725.0,702.0,629.0,516.0,685.0,460.0,257.0,158.0,739.0,123.0,499.0,672.0,685.0,457.0,352.0,79.0,537.0,140.0,446.0
248.0,1.0,93.0,13.0,642.0,668.0,654.0,660.0,560.0,571.0,377.0,292.0,99.0,655.0,163.0,587.0,600.0,722.0,520.0,448.0,125.0,604.0,180.0,518.0
176.0,4.0,69.0,5.0,566.0,647.0,635.0,579.0,669.0,497.0,316.0,355.0,79.0,636.0,202.0,672.0,560.0,684.0,587.0,477.0,163.0,629.0,250.0,543.0
148.0,0.0,49.0,6.0,481.0,602.0,537.0,511.0,672.0,463.0,256.0,460.0,55.0,586.0,269.0,692.0,477.0,648.0,647.0,593.0,224.0,628.0,350.0,646.0
100.0,0.0,30.0,2.0,425.0,609.0,505.0,423.0,756.0,375.0,226.0,556.0,42.0,522.0,355.0,674.0,472.0,602.0,673.0,613.0,308.0,701.0,366.0,665.0
50.0,0.0,30.0,0.0,387.0,483.0,466.0,373.0,728.0,320.0,153.0,675.0,29.0,475.0,384.0,762.0,338.0,558.0,728.0,704.0,370.0,756.0,489.0,742.0
54.0,0.0,16.0,1.0,289.0,435.0,407.0,324.0,772.0,259.0,128.0,760.0,19.0,384.0,533.0,738.0,284.0,498.0,828.0,762.0,492.0,723.0,607.0,687.0
35.0,0.0,15.0,1.0,269.0,384.0,345.0,283.0,752.0,201.0,86.0,857.0,10.0,320.0,652.0,753.0,217.0,402.0,771.0,832.0,600.0,715.0,703.0,797.0
30.0,0.0,3.0,1.0,189.0,324.0,286.0,223.0,720.0,150.0,66.0,949.0,7.0,254.0,841.0,697.0,198.0,384.0,780.0,877.0,750.0,630.0,859.0,782.0
9.0,0.0,3.0,0.0,148.0,254.0,196.0,167.0,635.0,110.0,42.0,1026.0,6.0,197.0,1073.0,704.0,135.0,290.0,720.0,853.0,1062.0,556.0,1053.0,761.0
7.0,0.0,1.0,1.0,94.0,197.0,149.0,100.0,509.0,56.0,27.0,1092.0,5.0,138.0,1350.0,556.0,96.0,246.0,691.0,896.0,1312.0,517.0,1256.0,704.0
4.0,0.0,0.0,0.0,56.0,124.0,91.0,53.0,429.0,44.0,11.0,1070.0,2.0,93.0,1670.0,436.0,71.0,115.0,536.0,777.0,1816.0,450.0,1501.0,651.0
2.0,0.0,0.0,0.0,32.0,59.0,39.0,25.0,244.0,24.0,6.0,926.0,0.0,43.0,2110.0,289.0,21.0,74.0,416.0,599.0,2518.0,291.0,1797.0,485.0
