Barcelona,Atlético Madrid,Real Betis,Real Madrid,Sevilla,Alavés,Deportivo La Coruña,Real Sociedad,Villarreal,Athletic Club,Getafe,Rayo Vallecano,Osasuna,Celta Vigo,Espanyol,Racing Santander,Levante,Elche,Valencia,Málaga
9218.0,106.0,23.0,645.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
695.0,1865.0,677.0,6517.0,20.0,16.0,1.0,21.0,159.0,6.0,1.0,3.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0
76.0,4255.0,2204.0,2007.0,140.0,131.0,22.0,167.0,745.0,59.0,12.0,53.0,9.0,99.0,2.0,0.0,12.0,4.0,3.0,0.0
11.0,2115.0,3241.0,571.0,500.0,388.0,104.0,458.0,1580.0,180.0,62.0,196.0,58.0,383.0,48.0,0.0,57.0,42.0,6.0,0.0
0.0,871.0,1708.0,176.0,961.0,750.0,238.0,893.0,2167.0,432.0,175.0,416.0,135.0,691.0,123.0,0.0,156.0,81.0,27.0,0.0
0.0,421.0,880.0,49.0,1100.0,1054.0,389.0,1136.0,1498.0,673.0,248.0,592.0,252.0,987.0,204.0,2.0,262.0,192.0,61.0,0.0
0.0,179.0,477.0,20.0,1167.0,1031.0,532.0,1092.0,1102.0,752.0,407.0,696.0,350.0,1022.0,347.0,8.0,384.0,318.0,116.0,0.0
0.0,80.0,310.0,5.0,1102.0,1018.0,621.0,1057.0,759.0,842.0,529.0,773.0,451.0,979.0,403.0,13.0,501.0,390.0,167.0,0.0
0.0,44.0,201.0,3.0,1004.0,889.0,722.0,937.0,553.0,871.0,582.0,845.0,560.0,987.0,510.0,43.0,562.0,460.0,226.0,1.0
0.0,19.0,114.0,3.0,828.0,830.0,814.0,857.0,416.0,900.0,708.0,888.0,601.0,837.0,604.0,53.0,625.0,597.0,302.0,4.0
0.0,22.0,59.0,2.0,708.0,828.0,796.0,727.0,311.0,883.0,724.0,812.0,679.0,812.0,783.0,78.0,720.0,651.0,402.0,3.0
0.0,11.0,46.0,2.0,650.0,668.0,877.0,592.0,230.0,806.0,876.0,785.0,785.0,682.0,794.0,129.0,792.0,798.0,472.0,5.0
0.0,6.0,27.0,0.0,535.0,613.0,853.0,563.0,181.0,768.0,881.0,797.0,860.0,600.0,878.0,145.0,890.0,815.0,579.0,9.0
0.0,2.0,15.0,0.0,405.0,535.0,867.0,415.0,119.0,697.0,917.0,759.0,924.0,543.0,905.0,249.0,954.0,915.0,756.0,23.0
0.0,2.0,11.0,0.0,331.0,435.0,828.0,370.0,74.0,674.0,917.0,718.0,982.0,438.0,979.0,390.0,895.0,1007.0,908.0,41.0
0.0,2.0,2.0,0.0,251.0,326.0,823.0,300.0,50.0,549.0,928.0,598.0,974.0,362.0,993.0,594.0,974.0,1100.0,1084.0,90.0
0.0,0.0,3.0,0.0,166.0,261.0,681.0,205.0,34.0,464.0,857.0,520.0,1003.0,311.0,994.0,952.0,924.0,1017.0,1423.0,185.0
0.0,0.0,1.0,0.0,90.0,169.0,513.0,147.0,13.0,297.0,736.0,368.0,831.0,170.0,865.0,1748.0,798.0,967.0,1830.0,457.0
0.0,0.0,1.0,0.0,36.0,53.0,279.0,56.0,2.0,127.0,382.0,158.0,463.0,74.0,497.0,3821.0,430.0,541.0,1338.0,1742.0
0.0,0.0,0.0,0.0,6.0,5.0,40.0,7.0,0.0,20.0,58.0,23.0,82.0,5.0,70.0,1775.0,64.0,105.0,300.0,7440.0
