Coventry City,Ipswich Town,Middlesbrough,Millwall,Hull City,Southampton,Wrexham,Derby County,Norwich City,Watford,Bristol City,Queens Park Rangers,Stoke City,Preston North End,Swansea City,Birmingham City,Sheffield United,Charlton Athletic,Blackburn Rovers,West Bromwich Albion,Portsmouth,Leicester City,Oxford United,Sheffield Wednesday
9943.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,7453.0,1687.0,649.0,16.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1527.0,4654.0,2805.0,182.0,825.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,685.0,2600.0,3931.0,715.0,2020.0,25.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,239.0,866.0,2074.0,2266.0,4028.0,189.0,331.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,38.0,179.0,501.0,4883.0,2236.0,816.0,1236.0,97.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,14.0,39.0,1476.0,604.0,3242.0,3925.0,513.0,60.0,48.0,66.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,407.0,136.0,4038.0,3114.0,1350.0,286.0,262.0,252.0,64.0,22.0,31.0,33.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,54.0,12.0,1255.0,989.0,3203.0,1266.0,1285.0,923.0,384.0,158.0,181.0,219.0,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,342.0,263.0,1938.0,2052.0,1644.0,1456.0,807.0,380.0,349.0,505.0,178.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,76.0,93.0,1213.0,1990.0,1543.0,1487.0,1113.0,647.0,547.0,773.0,364.0,153.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,729.0,1466.0,1433.0,1493.0,1351.0,885.0,743.0,1046.0,535.0,282.0,5.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,441.0,1061.0,1283.0,1304.0,1492.0,1083.0,960.0,1168.0,813.0,382.0,4.0,3.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,806.0,980.0,1097.0,1403.0,1257.0,1226.0,1323.0,1030.0,587.0,18.0,9.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,485.0,740.0,864.0,1191.0,1367.0,1482.0,1387.0,1367.0,894.0,45.0,24.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,336.0,498.0,633.0,1061.0,1456.0,1621.0,1318.0,1638.0,1181.0,125.0,59.0,6.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,150.0,229.0,339.0,720.0,1448.0,1526.0,1289.0,1924.0,1828.0,304.0,181.0,26.0,9.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,39.0,45.0,80.0,342.0,1091.0,1157.0,803.0,1497.0,3324.0,850.0,552.0,112.0,90.0,15.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,59.0,190.0,164.0,119.0,488.0,909.0,4058.0,2471.0,521.0,781.0,235.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,8.0,14.0,109.0,269.0,2568.0,3646.0,1191.0,1422.0,750.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,73.0,1390.0,1950.0,2302.0,2268.0,2007.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,516.0,879.0,2603.0,2595.0,3400.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,116.0,225.0,3232.0,2834.0,3592.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
