Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Osasuna,Espanyol,Athletic Club,Girona,Rayo Vallecano,Valencia,Alavés,Mallorca,Sevilla,Elche,Levante,Real Oviedo
9622.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378.0,9591.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,31.0,5854.0,4115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4111.0,5865.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.0,14.0,4755.0,3443.0,1212.0,404.0,117.0,17.0,7.0,11.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,2822.0,3633.0,1858.0,1102.0,329.0,90.0,68.0,48.0,35.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1561.0,1891.0,2779.0,1954.0,867.0,283.0,210.0,180.0,197.0,65.0,4.0,6.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,574.0,653.0,2041.0,2557.0,1681.0,743.0,533.0,478.0,494.0,191.0,29.0,23.0,2.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,176.0,248.0,1030.0,1811.0,2030.0,1265.0,1050.0,927.0,894.0,394.0,77.0,77.0,14.0,6.0,1.0,0.0
0.0,0.0,0.0,0.0,76.0,82.0,571.0,1069.0,1688.0,1651.0,1438.0,1197.0,1250.0,629.0,136.0,157.0,31.0,25.0,0.0,0.0
0.0,0.0,0.0,0.0,20.0,35.0,275.0,561.0,1194.0,1674.0,1625.0,1543.0,1436.0,930.0,289.0,270.0,57.0,89.0,2.0,0.0
0.0,0.0,0.0,0.0,2.0,5.0,128.0,328.0,937.0,1527.0,1608.0,1584.0,1463.0,1267.0,509.0,387.0,107.0,146.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,65.0,129.0,580.0,1237.0,1490.0,1426.0,1375.0,1512.0,839.0,711.0,270.0,355.0,11.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,30.0,67.0,349.0,822.0,1025.0,1210.0,1176.0,1821.0,1326.0,1090.0,450.0,610.0,21.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,151.0,443.0,591.0,743.0,849.0,1410.0,1949.0,1651.0,997.0,1086.0,99.0,12.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,58.0,177.0,262.0,424.0,486.0,964.0,1941.0,2030.0,1697.0,1673.0,236.0,42.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,58.0,79.0,176.0,251.0,547.0,1549.0,1934.0,2559.0,2103.0,601.0,127.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,14.0,51.0,76.0,229.0,1086.0,1276.0,2724.0,2617.0,1531.0,380.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,26.0,248.0,335.0,987.0,1044.0,5589.0,1762.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,52.0,103.0,245.0,1907.0,7674.0
