Bayern Munich,Borussia Dortmund,RB Leipzig,VfB Stuttgart,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,Mainz,1. FC Union Berlin,FC Augsburg,Hamburg SV,Borussia Mönchengladbach,Werder Bremen,FC Cologne,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9996.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,9983.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,13.0,6234.0,2509.0,696.0,548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2627.0,4127.0,1751.0,1495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,862.0,2147.0,3783.0,3206.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,266.0,1214.0,3762.0,4733.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,8.0,18.0,6244.0,2862.0,518.0,128.0,154.0,49.0,17.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2565.0,4592.0,1589.0,559.0,423.0,147.0,113.0,7.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,824.0,1640.0,3403.0,1671.0,1263.0,549.0,505.0,54.0,89.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,258.0,617.0,2245.0,2282.0,1927.0,1235.0,895.0,188.0,331.0,22.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,69.0,209.0,1193.0,1977.0,1992.0,1940.0,1356.0,419.0,756.0,89.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,63.0,616.0,1484.0,1748.0,2191.0,1644.0,845.0,1194.0,196.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,296.0,1040.0,1283.0,1808.0,2017.0,1285.0,1746.0,484.0,24.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,623.0,824.0,1213.0,1833.0,2080.0,2225.0,1010.0,80.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,194.0,324.0,694.0,1198.0,3210.0,2080.0,1962.0,309.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,42.0,59.0,172.0,407.0,1781.0,1414.0,4862.0,1234.0,27.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,15.0,130.0,157.0,1350.0,7746.0,597.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.0,601.0,9373.0
