Palmeiras,São Paulo,Fluminense,Flamengo,Bahia,Athletico Paranaense,Coritiba,Atlético-MG,Red Bull Bragantino,Botafogo,Grêmio,Vasco da Gama,Internacional,Vitória,Santos,Corinthians,Chapecoense,Remo,Cruzeiro,Mirassol
6739.0,1516.0,583.0,911.0,157.0,36.0,4.0,40.0,8.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1919.0,3181.0,1617.0,2149.0,657.0,147.0,39.0,213.0,19.0,18.0,16.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
776.0,2327.0,2165.0,2453.0,1102.0,332.0,123.0,447.0,109.0,47.0,46.0,22.0,42.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0
375.0,1387.0,2136.0,1853.0,1721.0,614.0,305.0,877.0,250.0,131.0,101.0,84.0,143.0,4.0,11.0,8.0,0.0,0.0,0.0,0.0
126.0,754.0,1481.0,1180.0,1987.0,1080.0,543.0,1322.0,440.0,276.0,257.0,178.0,297.0,25.0,31.0,17.0,0.0,1.0,3.0,2.0
38.0,447.0,871.0,627.0,1465.0,1426.0,838.0,1501.0,800.0,485.0,477.0,365.0,481.0,31.0,86.0,45.0,2.0,8.0,1.0,6.0
15.0,203.0,477.0,352.0,963.0,1344.0,1128.0,1548.0,988.0,664.0,687.0,476.0,765.0,83.0,148.0,108.0,5.0,15.0,17.0,14.0
7.0,98.0,314.0,218.0,717.0,1260.0,1215.0,1143.0,1184.0,901.0,814.0,645.0,869.0,148.0,235.0,149.0,11.0,27.0,20.0,25.0
4.0,46.0,153.0,116.0,486.0,1022.0,1243.0,944.0,1218.0,960.0,949.0,882.0,1012.0,216.0,360.0,243.0,12.0,50.0,55.0,29.0
1.0,25.0,99.0,76.0,326.0,800.0,1140.0,634.0,1187.0,1041.0,1026.0,1009.0,1174.0,326.0,503.0,358.0,25.0,94.0,85.0,71.0
0.0,7.0,41.0,36.0,210.0,638.0,985.0,486.0,975.0,1108.0,1139.0,1112.0,1119.0,441.0,749.0,524.0,48.0,143.0,112.0,127.0
0.0,7.0,32.0,17.0,90.0,489.0,789.0,345.0,870.0,1138.0,1093.0,1135.0,1043.0,604.0,874.0,747.0,87.0,209.0,220.0,211.0
0.0,0.0,18.0,8.0,63.0,334.0,571.0,208.0,694.0,956.0,1022.0,1116.0,949.0,834.0,1105.0,965.0,134.0,373.0,336.0,314.0
0.0,2.0,8.0,4.0,32.0,226.0,466.0,156.0,469.0,788.0,802.0,977.0,742.0,1104.0,1232.0,1206.0,251.0,503.0,483.0,549.0
0.0,0.0,4.0,0.0,16.0,124.0,290.0,81.0,361.0,586.0,621.0,781.0,542.0,1273.0,1303.0,1285.0,393.0,818.0,736.0,786.0
0.0,0.0,0.0,0.0,7.0,68.0,154.0,29.0,223.0,398.0,424.0,558.0,365.0,1333.0,1140.0,1356.0,701.0,1099.0,1004.0,1141.0
0.0,0.0,1.0,0.0,1.0,37.0,92.0,16.0,112.0,232.0,273.0,340.0,238.0,1290.0,924.0,1143.0,1068.0,1439.0,1434.0,1360.0
0.0,0.0,0.0,0.0,0.0,15.0,51.0,8.0,59.0,166.0,163.0,193.0,129.0,1093.0,681.0,892.0,1545.0,1663.0,1688.0,1654.0
0.0,0.0,0.0,0.0,0.0,4.0,18.0,2.0,27.0,75.0,67.0,87.0,55.0,758.0,429.0,634.0,2154.0,1804.0,1910.0,1976.0
0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,7.0,28.0,22.0,33.0,14.0,436.0,185.0,317.0,3563.0,1754.0,1896.0,1735.0
