Internazionale,Napoli,AC Milan,Como,Juventus,AS Roma,Atalanta,Bologna,Lazio,Sassuolo,Udinese,Torino,Parma,Genoa,Fiorentina,Cagliari,Cremonese,Lecce,Hellas Verona,Pisa
9918.0,66.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,5731.0,3294.0,633.0,260.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2902.0,3890.0,2014.0,1134.0,49.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,974.0,1782.0,4212.0,2512.0,412.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,300.0,875.0,2399.0,4415.0,1462.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,27.0,132.0,673.0,1383.0,5107.0,2676.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,11.0,69.0,296.0,2943.0,6514.0,71.0,76.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,24.0,134.0,3673.0,3922.0,1647.0,583.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,3195.0,3164.0,2459.0,1089.0,63.0,5.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,2091.0,1907.0,3444.0,2181.0,262.0,37.0,43.0,31.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,841.0,1968.0,4708.0,902.0,217.0,251.0,197.0,16.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,81.0,366.0,1084.0,3235.0,1288.0,2122.0,1501.0,226.0,9.0,21.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,78.0,267.0,2449.0,2143.0,2435.0,2022.0,472.0,49.0,74.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,78.0,1646.0,2609.0,2179.0,2177.0,970.0,126.0,198.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,948.0,2359.0,1823.0,2255.0,1739.0,394.0,471.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,1146.0,855.0,1295.0,3732.0,1319.0,1218.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,186.0,253.0,433.0,1982.0,3680.0,3394.0,0.0,25.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,27.0,83.0,860.0,4328.0,4518.0,20.0,154.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,95.0,101.0,3717.0,6086.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6263.0,3733.0
